,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.69520,0.53910,1.21670,39.27310,17.70150,17.70150,28.36810,13.55530,11.01000,0.46510,8.05590,45.30860,15.35700,-29.10070,5.12030,7.07830,30.64470,1.3351,0.9134
2021-12-31,0.70820,0.51530,1.06400,40.34790,18.38160,18.38160,29.60960,13.94510,11.42450,0.45260,8.88390,41.08550,14.39140,-31.47500,5.17850,6.97560,28.30930,0.9962,0.5775
2020-12-31,0.66690,0.50800,1.05250,39.91790,16.83250,16.83250,28.24520,11.25410,9.52570,0.43330,9.30410,39.22990,11.42210,-25.98980,4.13760,5.61930,26.62740,0.4239,0.4639
2019-12-31,0.52400,0.48860,1.06990,38.84690,17.35250,17.35250,28.25020,12.58130,10.42100,0.45400,9.14770,39.90070,13.22270,-29.44820,4.73380,6.76220,25.47330,0.4752,-0.0387
2018-12-31,0.57540,0.49090,1.05150,38.75050,17.28730,17.28730,28.38290,13.15520,10.32680,0.46450,9.10570,40.08460,13.08530,-29.00670,4.79990,6.66140,24.58760,1.1932,0.9275
2017-12-31,0.54530,0.48440,1.02840,38.11080,16.61600,16.61600,27.73090,12.76800,12.73120,0.47480,9.07990,40.19850,16.06560,-36.59090,6.04810,8.28270,24.00090,0.271,0.0347
2016-12-31,0.70890,0.49870,0.99550,38.60050,16.37780,16.37780,27.77780,10.28900,6.52560,0.45510,9.43680,38.67850,7.97020,-16.79170,2.97240,3.99560,22.66850,0.5853,0.5504
2015-12-31,0.67050,0.49190,0.96870,39.45580,17.10150,17.10150,28.62100,13.12010,8.22710,0.44390,9.46620,38.55830,9.64950,-20.75620,3.65410,4.90330,22.50170,0.5081,0.1863
2014-12-31,0.76180,0.47650,0.91140,35.89790,14.00730,14.00730,25.19510,10.05650,6.22040,0.43810,9.46180,38.57600,7.07170,-16.20050,2.72670,3.70240,21.96710,0.0118,0.0609
2013-12-31,0.82810,0.46970,0.88770,37.80950,14.37890,14.37890,25.71280,10.11260,6.99640,0.42190,9.45010,38.62400,7.45120,-18.79830,2.95300,3.95140,21.93700,0.1465,0.1658
2012-12-31,0.72640,0.47780,0.91760,38.34050,16.26700,16.26700,27.68440,10.14870,7.04330,0.41380,9.70390,37.61370,7.42440,-17.11340,2.91640,3.87690,21.33950,-0.5651,-0.5538
2011-12-31,0.66700,0.47270,0.90090,40.61810,18.95180,18.95180,30.20050,11.06200,7.19160,0.41900,9.92120,36.79000,7.66460,-17.45820,3.01200,4.04180,20.77160,0.9559,0.5338
2010-12-31,0.46560,0.42770,0.85920,41.22320,18.98580,18.98580,30.26300,10.81840,6.24800,0.41650,9.77990,37.32130,6.46590,-15.57850,2.60770,3.70060,20.45580,0.0574,0.1763
2009-12-31,0.49630,0.45900,0.92010,40.91790,19.38990,19.38990,31.08020,10.54990,6.03720,0.41960,9.47760,38.51170,6.56130,-13.79170,2.54090,3.54980,19.12330,3.6654,1.5801
