,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,3.46740,0.20810,0.26670,48.54660,26.86970,26.86970,29.09990,26.76730,20.29250,0.64430,2.23760,5.15470,70.80980,20.73720,29.34390,13.39350,16.42080,84.96690,-5.1169,-5.34
2021-12-31,3.10870,0.21960,0.28550,49.64250,26.42290,26.42290,28.88760,25.56210,19.29680,0.62900,2.66380,5.36390,68.04690,20.01520,30.20530,12.44730,15.62000,78.67860,-0.8306,-0.9027
2020-12-31,2.64660,0.23510,0.37710,48.67090,24.50940,24.50940,27.20110,23.24840,17.45300,0.54790,2.47020,4.76970,76.52550,16.80450,24.82910,9.85770,12.85420,71.09900,6.3371,6.9207
2019-12-31,2.51210,0.21630,0.33510,49.43700,25.79890,25.79890,28.27610,24.72120,18.59250,0.65510,2.48030,4.69010,77.82430,20.72990,31.28770,12.49140,16.24600,62.77770,-1.2741,-1.4477
2018-12-31,2.32870,0.23270,0.36310,49.99070,25.55940,25.55940,28.07500,24.32430,18.17570,0.69620,2.77630,4.72970,77.17230,22.32410,35.09960,12.95710,17.12840,56.07880,2.9581,2.7577
2017-12-31,1.77600,0.20230,0.39930,49.52400,23.92530,23.92530,26.45310,22.29240,15.12650,0.70240,2.91330,4.77330,76.46700,19.25110,31.88630,10.90090,15.35740,52.43080,0.6853,0.5254
2016-12-31,1.90400,0.21200,0.38330,49.86010,25.10200,25.10200,27.59740,23.36170,15.92820,0.72630,3.24220,4.99400,73.08720,21.23560,35.98480,11.84790,16.73450,45.47370,1.1166,1.2039
2015-12-31,2.66910,0.26170,0.36210,49.16190,22.81080,22.81080,25.27140,21.19120,14.27760,0.77410,3.42410,5.20140,70.17390,20.18350,33.93750,11.32740,14.90100,41.84660,1.7615,1.8105
2014-12-31,2.58610,0.27940,0.41310,48.33570,20.88970,20.88970,23.31510,19.24830,12.87180,0.76050,3.56130,5.24180,69.63250,19.41760,35.67240,10.02530,13.99290,38.29260,0.1776,-0.1201
2013-12-31,2.51080,0.28730,0.45630,48.18910,19.17880,19.17880,21.68820,17.21580,11.46080,0.74370,3.64550,5.09420,71.65060,16.88420,32.66730,8.75180,12.03290,36.65770,1.0522,1.3036
2012-12-31,2.83270,0.34790,0.53630,47.31270,17.57720,17.57720,20.18790,15.66430,10.41900,0.75290,3.82950,5.24060,69.64810,17.29520,38.16110,8.06190,11.27840,31.22480,3.4017,3.0774
2011-12-31,2.62200,0.38480,0.63600,46.87480,16.64560,16.64560,19.25930,14.46640,9.68050,0.77710,3.92420,5.56160,65.62890,18.34160,50.39060,7.72690,11.28340,26.57450,-0.215,-0.4549
2010-12-31,2.00370,0.40470,0.83370,46.23930,12.65270,12.65270,15.42840,10.59100,7.12050,0.70230,4.27470,5.35730,68.13090,13.74250,46.70860,5.17510,8.18070,24.13810,-3.5907,-3.2406
2009-12-31,2.26530,0.40860,0.81710,44.76610,10.61160,10.61160,13.76930,8.68990,5.68040,0.68530,4.75030,5.28170,69.10670,11.00640,50.40340,4.16840,6.50900,22.60980,5.9948,4.905
