,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.25270,0.33820,10.04500,10.04500,27.23670,9.09340,7.65100,0.31870,13.18180,16.40780,2.45600,9.85030,92.89100,-2.032,-2.0914
2021-12-31,0.20150,0.25240,13.78100,13.78100,30.76460,12.80450,10.44060,0.28900,12.67700,14.90250,3.03990,10.12250,119.76370,3.3983,3.7306
2020-12-31,0.18320,0.22430,11.18160,11.18160,28.57320,10.12160,8.37370,0.27390,9.23600,10.82790,2.30980,7.54380,115.69330,5.7612,5.7252
2019-12-31,0.20180,0.25280,11.02560,11.02560,28.01050,9.93640,8.24230,0.28680,10.10680,12.10970,2.38100,8.06740,101.53820,3.6094,3.4758
2018-12-31,0.22280,0.28670,10.94050,10.94050,28.05960,9.77810,8.26890,0.29050,11.02040,13.55580,2.42050,8.56470,86.85130,1.3456,1.283
2017-12-31,0.21690,0.27690,10.72240,10.72240,27.94960,9.44570,7.06180,0.27930,8.66380,10.57720,1.98680,6.78500,87.43920,-0.4687,-0.5154
2016-12-31,0.21700,0.27720,15.98550,15.98550,33.40090,14.67150,10.83080,0.27560,12.97960,15.55770,3.00660,10.16250,83.05080,4.4176,4.6444
2015-12-31,0.21190,0.26880,19.06770,19.06770,36.60640,17.67670,12.73170,0.26770,14.57330,17.41620,3.43270,11.48550,79.74990,0.1573,-0.1381
2014-12-31,0.20360,0.25560,20.08540,20.08540,37.55060,18.72750,13.48720,0.26360,14.86550,17.64730,3.58180,11.83900,77.08260,0.5875,0.7769
2013-12-31,0.20380,0.25590,20.25890,20.25890,38.15820,18.88050,13.92080,0.25230,14.81290,17.64930,3.53810,11.79440,70.14430,1.9087,1.8666
2012-12-31,0.20000,0.25000,13.76850,13.76850,32.17170,12.29990,9.53380,0.24530,9.73430,11.41790,2.35660,7.78780,67.31590,3.1282,3.0414
2011-12-31,0.21250,0.26980,6.83020,6.83020,25.21420,5.31320,5.55690,0.24330,5.82590,6.89590,1.36360,4.58790,62.31420,-1.1714,-1.2848
2010-12-31,0.20600,0.25950,18.69230,18.69230,37.06590,17.14720,12.69510,0.23770,12.65790,14.88340,3.04380,10.02310,58.61710,-1.1116,-1.1287
2009-12-31,0.19230,0.23810,20.63610,20.63610,39.31520,19.08830,14.67590,0.22530,13.24990,15.43770,3.30600,10.67110,52.69080,7.4411,7.4147
