,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.69130,0.55970,1.48880,54.58250,20.04920,20.04920,31.74610,18.05280,14.67170,0.22920,5.40070,5.27790,69.15580,12.16710,16.46120,3.36670,5.34330,36.82720,0.0926,0.0407
2021-12-31,0.70790,0.54890,1.40280,60.18520,20.62170,20.62170,33.54020,18.02310,15.63610,0.21330,5.20760,5.52300,66.08710,11.71630,16.10940,3.33050,5.27050,35.23170,-0.5119,-0.5555
2020-12-31,0.50220,0.52380,1.34030,67.97020,23.55940,23.55940,37.03550,19.73710,16.56930,0.19560,4.38800,6.02070,60.62420,11.29970,15.78770,3.24460,5.36560,33.80250,-0.4677,-0.3385
2019-12-31,0.65780,0.52230,1.24190,64.39230,20.35600,20.35600,32.66870,16.74440,15.07360,0.21520,4.87230,6.39450,57.08050,11.09820,15.75580,3.24650,5.28610,32.50940,-0.3108,-0.7733
2018-12-31,0.67460,0.50380,1.19880,62.26450,19.12100,19.12100,30.13480,16.02060,13.79390,0.22940,5.28620,5.99540,60.88010,10.80790,15.61880,3.16800,5.34620,31.19490,1.1639,0.6652
2017-12-31,0.57210,0.47960,1.16240,63.09340,23.22150,23.22150,33.66280,20.76750,15.73770,0.24210,5.23710,5.66260,64.45780,12.73490,18.71460,3.81410,6.60640,30.07780,-0.0857,-2.2954
2016-12-31,0.89190,0.50550,1.13560,64.57050,22.70120,22.70120,32.90690,20.16380,12.56640,0.24810,4.50540,6.01780,60.65340,10.52880,15.89790,3.12120,5.18920,28.38970,1.895,2.4644
2015-12-31,0.81460,0.51230,1.19480,62.19940,21.10160,21.10160,30.94780,18.12490,10.77440,0.20190,3.26070,5.76130,63.35350,7.39820,11.30930,2.18120,3.59530,27.51240,-0.5262,-1.7175
2014-12-31,0.77470,0.48380,1.17130,54.78580,22.25490,22.25490,30.59980,19.03500,11.77280,0.33530,5.64000,7.76670,46.99550,13.33800,14.70740,3.95500,6.83810,19.73290,-0.0945,-0.2941
2013-12-31,1.03660,0.50580,1.22970,59.56850,23.90130,23.90130,32.66430,20.28100,12.77720,0.30600,5.54680,11.13050,32.79270,13.66880,15.14070,3.91760,6.70720,18.86770,0.3219,0.1751
2012-12-31,0.88290,0.51670,1.26290,61.27540,23.55640,23.55640,32.30970,20.07820,12.86500,0.29730,4.55890,14.88400,24.52300,13.21130,14.67130,3.82430,6.33810,18.18690,0.8224,1.176
2011-12-31,1.04520,0.53600,1.33130,57.68550,19.77760,19.77760,27.27580,17.31230,11.72880,0.32360,4.96960,8.89280,41.04460,12.93870,14.43780,3.69930,5.95720,17.32720,0.7964,0.5252
2010-12-31,0.77340,0.50640,1.32110,55.94530,19.28380,19.28380,22.11540,16.75910,10.86260,0.32180,4.88370,9.81200,37.19920,11.95130,13.40180,3.47940,5.85230,16.39430,0.7577,1.0578
2009-12-31,0.80740,0.51860,1.38900,51.92030,16.10140,16.10140,18.93490,14.41640,9.32480,0.32300,5.21480,13.72920,26.58580,10.53300,11.90660,2.95880,5.02740,15.38520,2.666,-0.716
