,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.17750,0.82840,5.21710,18.39870,-23.36600,-23.36600,-29.08500,-29.50980,0.07980,2.36680,1.70090,52.91180,-26.89580,-42.85090,-2.57020,-3.75700,6.73500,1.7451,-1.2548
2022-09-30,1.29240,0.78720,4.06610,24.59330,17.01130,17.01130,17.01130,11.60740,0.09600,2.74050,2.02970,44.34240,9.64740,16.79220,1.18070,1.73820,8.17580,1.0244,-0.3051
2022-06-30,1.15600,0.79800,4.40470,18.29110,-5.19820,-5.19820,-5.19820,-5.81550,0.08530,2.88750,1.83760,48.97660,-3.38730,-6.70610,-0.37700,-0.56600,7.26630,0.6521,-0.754
2022-03-31,1.06760,0.79240,4.29610,18.58350,9.25670,9.25670,9.25670,4.03230,0.08230,3.37500,1.87260,48.06100,4.41180,8.78270,0.49350,0.75290,7.05840,0.64280,-0.43460
2021-12-31,1.13190,0.79150,4.09440,20.18050,-55.19860,-55.19860,-55.19860,-22.81590,0.08400,3.66060,1.95350,46.07220,-35.66640,-68.55670,-4.03480,-6.07330,6.84920,0.9164,-0.1033
2021-09-30,1.22160,0.76260,3.47170,25.03290,19.30170,19.30170,19.30170,11.29780,0.08670,3.94450,2.16860,41.50200,10.27330,13.01660,1.38450,1.99740,8.64540,1.0394,0.3707
2021-06-30,1.27510,0.77570,3.70740,26.96300,-4.81480,-4.81480,-4.81480,1.03700,0.07770,4.43150,1.96510,45.80000,-1.86040,-2.39150,-0.23320,-0.33660,8.09960,0.5202,-0.3199
2021-03-31,1.24220,0.76430,3.50810,25.19920,0.34160,0.34160,0.34160,-5.61670,0.07490,4.41930,1.96350,45.83680,-0.62700,-0.77850,-0.08240,-0.12060,8.50720,0.37990,-0.26880
2020-12-31,1.00970,0.79630,4.21210,35.39060,22.61720,22.61720,22.61720,12.42190,0.07400,3.58790,1.96920,45.70310,8.49580,14.15960,1.15890,1.73060,7.09380,0.986,0.2092
2020-09-30,1.01870,0.82730,5.24090,29.70530,-20.27510,-20.27510,-20.27510,-13.08450,0.07430,3.77430,1.81270,49.65030,-11.80950,-20.04170,-1.40370,-2.04000,6.12360,1.9052,1.2842
2020-06-30,1.09510,0.80640,4.60430,23.63550,11.86290,11.86290,4.73610,-3.74380,0.06410,3.35910,1.56790,57.40190,,,,,6.98110,0.6747,0.0679
2020-03-31,1.05870,0.80000,4.47110,21.68520,15.56890,15.56890,13.68690,6.15910,0.06850,3.97180,1.61690,55.66300,4.85480,7.15850,0.67070,0.97100,7.09420,0.55840,-0.28140
2019-12-31,1.02650,0.77780,3.85790,23.03580,8.10370,8.10370,4.31920,-3.20860,0.07220,3.84190,1.64370,54.75530,-2.29490,-3.24240,-0.35660,-0.50990,7.87560,1.036,-0.1634
2019-09-30,1.09600,0.76850,3.66900,26.70480,16.15240,16.15240,16.15240,8.00000,0.07850,3.88690,1.74650,51.53140,5.53290,7.71020,0.89160,1.28090,8.11280,1.141,0.3134
2019-06-30,1.36490,0.77350,3.61280,20.21750,4.75230,4.75230,4.75230,0.68470,0.07470,3.99400,1.61440,55.74710,1.20700,1.67130,0.19860,0.27350,8.23740,0.4857,-0.3374
2019-03-31,1.34380,0.76550,3.48910,22.11320,13.35850,13.35850,13.35850,5.81130,0.07920,3.56480,1.69440,53.11700,4.12460,5.65120,0.69610,0.96700,8.51140,1.03450,0.27890
2018-12-31,1.14000,0.75890,3.44310,24.63770,18.80240,18.80240,13.19600,4.88180,0.08060,3.42460,1.64390,54.74830,2.76590,3.77220,0.47660,0.66700,8.46140,0.9955,0.1774
2018-09-30,1.23920,0.76010,3.39740,23.65170,11.70250,11.70250,11.70250,3.56010,0.08730,3.85410,1.87880,47.90270,3.36310,4.51760,0.59100,0.80680,8.62000,1.1513,0.2543
2018-06-30,1.32370,0.76440,3.46310,23.65000,13.48050,13.48050,13.48050,11.43080,0.07780,3.32250,1.78290,50.48090,3.95970,5.26190,0.68720,0.93280,8.55140,0.5997,-0.1281
2018-03-31,1.11530,0.76170,3.56310,23.94160,36.42340,36.42340,36.42340,24.96350,0.08410,3.66260,1.82910,49.20440,14.08150,18.95710,2.38850,3.35550,8.35390,0.77680,0.03020
2017-12-31,1.06140,0.78610,4.12070,24.40410,3.17820,3.17820,3.17820,-50.77560,0.07980,3.55520,1.80660,49.81840,-12.83800,-18.18710,-1.87850,-2.74660,7.33660,1.2283,0.3236
2017-09-30,0.98870,0.76190,3.56580,23.76530,11.28850,11.28850,11.28850,5.64430,0.06930,3.11060,1.14260,78.77090,3.80320,5.16710,0.60510,0.90540,9.35660,1.1124,0.4151
2017-06-30,0.98550,0.74970,3.41900,23.84230,8.64910,8.64910,8.64910,2.02830,0.07160,3.14380,1.20250,74.84500,2.33780,3.14160,0.38940,0.58510,9.20040,0.3788,-0.5983
2017-03-31,1.22090,0.75800,3.31770,21.58080,6.08290,6.08290,6.08290,-0.92990,0.07070,3.13800,1.20950,74.41300,1.58260,2.10000,0.26570,0.38300,9.28480,1.07440,0.35510
2016-12-31,1.21580,0.76350,3.41300,256.06700,-107.11300,-107.11300,-107.94980,-397.07110,0.00660,-0.59970,0.16820,535.10460,-2.00000,-2.67860,-0.31560,-0.47300,8.64710,1.0933,0.214
2016-09-30,1.27670,0.77390,3.61150,19.42410,8.30040,8.30040,8.30040,4.94070,0.09550,4.48040,1.70210,52.87690,3.98750,5.24640,0.61980,0.90170,8.75030,1.2278,0.4585
2016-06-30,1.18740,0.77160,3.66300,17.77640,-0.68130,-0.68130,-0.68130,-14.92720,0.08730,4.05340,1.54720,58.16970,-0.14100,-0.18620,-0.02160,-0.03220,8.60850,1.103,0.1639
2016-03-31,1.05710,0.74780,3.32420,15.56100,5.28890,5.28890,5.28890,3.85200,0.08860,4.04990,1.26730,71.01500,1.34220,1.72270,0.22490,0.33850,9.38390,0.96530,
2015-12-31,0.98790,0.74370,3.25410,532.65310,100.00000,100.00000,100.00000,-86.73470,0.00270,-0.63190,0.04260,2114.08200,-0.71300,-0.94140,-0.12060,-0.18270,9.25450,0.8905,0.0144
2015-09-30,1.10500,0.74010,3.20350,18.88130,4.54290,4.54290,4.54290,5.11070,0.09520,4.26420,1.42190,63.29640,3.06450,4.17990,0.53510,0.79650,9.57950,1.3578,0.5648
2015-06-30,1.14510,0.72590,2.93100,20.65100,10.83150,10.83150,10.83150,1.88730,0.09480,3.95230,1.27080,70.82330,3.86790,5.10240,0.71010,1.06000,10.37790,0.2299,-0.5739
2015-03-31,1.16100,0.72520,2.89990,18.09740,8.40860,8.40860,8.40860,3.56430,0.10490,4.61530,1.41930,63.41110,3.61050,4.78430,0.66850,0.99200,10.00860,0.61900,-0.25780
2014-12-31,1.11850,0.71880,2.84750,19.29260,11.86500,11.86500,9.67850,6.62380,0.07980,3.57550,1.14800,78.39550,2.90790,3.81310,0.54660,0.81770,10.40700,0.8306,-0.1162
2014-09-30,1.11510,0.71220,2.78430,17.27090,14.00590,14.00590,13.64560,10.98850,0.11390,4.95820,1.61200,55.83200,6.71420,8.73600,1.30310,1.93270,10.56760,1.0209,0.4084
2014-06-30,1.11100,0.72330,2.89330,18.99790,10.71680,10.71680,9.69610,3.08510,0.10930,4.91830,1.60320,56.13780,3.74270,4.89460,0.71260,1.03550,10.38130,0.3171,-0.3571
2014-03-31,1.01900,0.71750,2.81180,18.62980,2.76870,2.76870,2.76870,-1.36090,0.10400,5.04800,1.64810,54.60820,1.16480,1.51360,0.21720,0.32900,10.53480,0.30520,-0.24590
2013-12-31,1.01120,0.71150,2.75110,17.63160,-2.94740,-2.94740,-3.13160,-5.42110,0.09400,4.57600,1.60810,55.96580,-2.26110,-3.01810,-0.42810,-0.65230,10.58950,0.8988,-0.0482
2013-09-30,1.03020,0.69940,2.64070,23.19820,14.31430,14.31430,11.26130,1.77680,0.09690,4.31650,1.71800,52.38740,4.25560,5.94740,0.82180,1.27930,10.73230,1.153,0.5381
2013-06-30,0.94400,0.69780,2.69890,22.83900,10.31690,10.31690,10.31690,4.23320,0.09660,3.98950,1.63220,55.14070,4.26540,6.16670,0.81550,1.28890,10.47720,0.7528,0.1843
2013-03-31,0.99700,0.70240,2.82700,18.04820,7.46990,7.46990,7.46990,1.97590,0.09710,4.50460,1.57610,57.10120,2.98410,4.33800,0.54080,0.88810,10.37010,0.82510,0.29770
2012-12-31,1.01760,0.70800,2.75770,20.58540,13.13500,13.13500,13.13500,4.23320,0.09880,4.56610,1.62820,55.27580,4.77770,6.91580,0.85820,1.39530,10.09590,0.9923,0.3723
2012-09-30,1.15390,0.71040,2.75140,22.20440,-29.46040,-29.46040,-29.46040,-36.00460,0.10530,4.25630,1.63050,55.19860,-18.24910,-26.44720,-3.45780,-5.28440,10.53400,1.3996,0.6804
2012-06-30,1.18160,0.67160,2.28670,16.94790,4.94010,4.94010,4.91560,3.42380,0.09570,4.11140,1.55590,57.84300,1.44200,2.63820,0.32050,0.47360,12.67550,0.7702,0.1108
2012-03-31,1.19820,0.65660,2.12350,23.37550,17.83690,17.83690,16.76840,7.43570,0.10090,4.39800,1.67680,53.67420,4.90880,8.30510,1.13140,1.68570,13.64420,0.68030,-0.05220
2011-12-31,1.09370,0.66820,2.26330,32.65630,21.40630,21.40630,21.40630,-6.53130,0.07060,2.78060,1.26880,70.93130,4.86180,8.81800,1.04310,1.61320,12.71460,0.7103,-0.0034
