,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.44470,0.58690,1.60990,100.00000,28.03440,28.03440,19.11920,15.78950,0.03350,2.07810,43.30830,1.91080,2.24430,0.52900,0.78940,42.30220,1.8901,-1.956
2022-09-30,0.47750,0.58520,1.52640,100.00000,40.57300,40.57300,33.91870,27.44920,0.03990,3.02230,29.77820,3.82830,4.48980,1.09490,1.58820,42.66690,3.1209,-0.1868
2022-06-30,0.58910,0.59290,1.53550,100.00000,34.89860,34.89860,28.81540,23.26570,0.03530,2.44650,36.78760,2.87980,3.39190,0.82040,1.17230,41.64260,0.2307,-2.9066
2022-03-31,0.51760,0.58110,1.43810,100.00000,29.21620,29.21620,22.92160,18.76490,0.03280,3.16540,28.43230,2.11800,2.49960,0.61490,0.88710,41.04470,0.84620,1.85710
2021-12-31,0.72580,0.58630,1.50520,100.00000,23.13350,23.13350,94.00630,67.82330,0.03650,3.45820,26.02520,8.83800,10.47250,2.47360,3.65600,40.18480,2.2638,1.7857
2021-09-30,0.86230,0.60120,1.61430,100.00000,38.18680,38.18680,31.13550,25.45790,0.04310,3.13790,28.68130,4.04890,5.23740,1.09740,1.61460,37.82170,2.7967,0.3077
2021-06-30,0.91810,0.60730,1.64440,100.00000,33.03300,33.03300,25.12510,20.72070,0.04000,3.21220,28.01800,3.09420,4.03590,0.82960,1.21510,36.86050,1.8736,-0.3791
2021-03-31,0.59810,0.58630,1.63360,100.00000,25.78830,25.78830,17.45500,14.97750,0.03620,3.24090,27.77030,2.02040,2.64940,0.54230,0.83590,36.25800,0.98350,-0.89560
2020-12-31,0.66160,0.59120,1.69570,100.00000,28.49400,28.49400,19.61000,15.70960,0.03730,2.87540,31.30010,2.24670,2.96220,0.58550,0.91850,35.59890,2.4066,-0.3846
2020-09-30,0.87040,0.59540,1.64240,100.00000,40.12980,40.12980,32.62280,24.46710,0.04420,3.01400,29.86100,4.05410,5.33330,1.08220,1.64020,35.92430,2.4949,0.0817
