,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.85930,0.38260,0.76310,74.12560,9.76980,9.76980,6.95040,8.04780,0.11620,0.61720,0.99610,90.35330,2.43670,-4.09170,0.93590,1.50440,11.95570,0.7671,0.7329
2022-09-30,0.81380,0.39560,0.80850,72.84650,11.33670,11.33670,8.39560,14.93350,0.11660,0.58720,1.09150,82.45220,4.67090,-6.80260,1.74340,2.82290,,0.9406,0.8668
2022-06-30,0.95880,0.42400,0.79620,72.16600,5.00420,5.00420,2.29320,3.34230,0.11150,0.48200,1.12060,80.31570,1.00140,-1.51450,0.37280,0.57680,,0.4007,0.3195
2022-03-31,0.99590,0.43580,0.82920,69.17470,7.70850,7.70850,4.85510,3.38890,0.11360,0.46050,1.25860,71.51010,1.06710,-1.56020,0.38690,0.60210,,1.03520,0.96510
2021-12-31,1.16150,0.41730,0.75840,61.49360,-2.43110,-2.43110,-5.29510,-2.88900,0.11400,0.51490,1.16530,77.23170,-0.88070,1.49800,-0.32840,-0.51320,12.67810,0.5702,0.4459
2021-09-30,1.12860,0.41410,0.77550,61.91970,-16.96740,-16.96740,-20.28180,-16.74440,0.09200,0.35690,1.11430,80.76830,-4.13660,6.80180,-1.53980,-2.42370,,0.447,0.3848
2021-06-30,1.22730,0.60570,1.70810,73.34550,13.71050,13.71050,9.29440,6.69100,0.11160,0.46010,1.20140,74.91240,3.50470,-3.41380,0.74690,1.38180,,0.339,0.2296
2021-03-31,0.87090,0.54650,1.34650,74.53550,25.88800,25.88800,21.96720,21.32510,0.11270,0.43570,1.10440,81.49180,10.81270,-8.84180,2.40580,4.90330,,0.73310,0.65130
2020-12-31,0.96240,0.52820,1.25970,79.41970,20.06750,20.06750,15.74900,13.65720,0.11100,0.37900,1.00320,89.70850,6.42670,-5.85870,1.50610,3.03230,5.95660,0.6847,0.5613
2020-09-30,0.95900,0.57300,1.59150,79.17300,17.80180,17.80180,12.96750,9.85100,0.10260,0.37200,1.09630,82.09180,4.78040,-3.48020,1.01540,2.04150,,0.6938,0.607
2020-06-30,0.82110,0.52590,1.39900,84.31870,20.46220,20.46220,15.31470,12.04780,0.10470,0.27620,1.19820,75.11240,5.40340,-4.16600,1.23150,2.56180,,0.3961,0.3515
2020-03-31,0.75230,0.56140,1.46720,77.65190,19.20050,19.20050,14.71510,12.27570,0.11110,0.45470,1.18940,75.66570,6.13950,-3.93270,1.31090,2.69300,,0.05290,-0.01790
2019-12-31,0.85900,0.51870,1.20250,79.32170,8.65850,8.65850,3.60140,4.69690,0.10860,0.43160,1.10220,81.65370,1.89780,-1.54710,0.45130,0.91340,5.56190,0.5335,0.4109
2019-09-30,0.91500,0.55750,1.27630,78.91040,11.81710,11.81710,6.38460,4.66750,0.10870,0.43180,1.16320,77.36970,2.04840,-1.44480,0.47530,0.90650,,0.4204,0.3376
2019-06-30,0.94920,0.53520,1.25960,81.74480,8.46640,8.46640,2.42140,2.23250,0.09410,0.33250,1.04640,86.01240,0.71000,-0.56750,0.17290,0.33000,,0.3397,0.2407
2019-03-31,0.74760,0.59010,1.73450,79.43910,19.97820,19.97820,13.80440,10.79950,0.08990,0.37020,1.01550,88.62320,4.68040,-2.50260,0.92210,1.91830,,-0.15260,-0.21020
2018-12-31,0.95700,0.55280,1.36090,74.48960,16.78350,16.78350,11.37600,16.11350,0.10580,0.56640,1.11000,81.08000,7.18460,-5.14220,1.66360,3.21310,5.54210,0.8776,0.7534
