,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.07210,0.35900,0.64600,46.51110,12.77800,12.77800,10.48840,10.59750,0.08630,0.68060,2.00960,44.78410,1.99840,-4.51200,0.95800,1.28080,89.72110,1.39830,0.66940
2022-09-30,1.04220,0.35450,0.63540,41.88890,8.93330,8.93330,5.26670,5.88890,0.08500,0.81110,2.05390,43.82000,0.88210,-1.91430,0.42130,0.56930,89.22310,3.3848,2.2891
2022-06-30,1.34840,0.36550,0.64190,44.53780,11.57080,11.57080,9.07130,7.28290,0.08720,0.81380,2.09240,43.01230,1.52990,-3.76380,0.73310,0.97070,89.38800,1.3227,0.4769
2022-03-31,1.52500,0.41760,0.75980,45.99880,13.03130,13.03130,10.47700,8.60110,0.09150,0.83060,2.17590,41.36300,1.85120,-3.83510,0.82870,1.07820,86.03300,2.0429,1.2367
2021-12-31,1.23340,0.40380,0.72120,47.05380,14.64600,14.64600,12.71730,13.88300,0.08840,0.82310,2.16720,41.52820,2.35110,-4.51980,1.06440,1.40180,84.84010,1.84850,1.21020
2021-09-30,1.33380,0.41950,0.74380,39.40030,1.95260,1.95260,-3.44030,5.62530,0.07990,0.95040,1.83060,49.16320,-0.44350,0.80880,-0.19490,-0.25740,83.23020,2.8718,1.326
2021-06-30,1.23090,0.39410,0.73470,42.50050,10.67940,10.67940,8.20490,10.89650,0.08480,0.89890,2.21700,40.59480,1.68640,-3.21050,0.74910,1.02170,84.03840,1.9846,1.1425
2021-03-31,1.86010,0.41650,0.71370,45.77140,8.82410,8.82410,6.21560,5.64500,0.08930,0.91920,2.31680,38.84660,1.20440,-2.45220,0.54440,0.70280,85.36580,4.0393,3.1787
2020-12-31,1.35840,0.39470,0.72250,51.40170,23.36780,23.36780,21.76860,18.45720,0.09710,0.91790,2.24260,40.13170,4.06720,-7.92760,1.83200,2.46170,84.88090,5.23010,4.39080
2020-09-30,1.53680,0.42020,0.75450,38.14490,-8.47370,-8.47370,-11.44080,2.80670,0.06930,0.84360,1.56010,57.69050,-1.65800,2.88260,-0.72950,-0.96120,81.94350,3.1828,2.5533
2020-06-30,1.45490,0.41570,0.77930,43.06100,9.31260,9.31260,6.43320,7.18550,0.07140,0.74530,1.93430,46.52920,1.19070,-2.09740,0.53000,0.69570,82.87190,2.8688,2.2114
