,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.04170,1.89450,-2.37880,3.23110,-0.23120,-0.23120,-0.26620,-0.25260,1.15710,2.88510,4.50650,19.97110,5.87700,1.47230,-0.29230,-5.25680,-8.54050,2.2913,1.9541
2022-09-30,1.03600,1.61190,-2.95900,3.25380,0.27620,0.27620,0.22180,0.22180,1.14330,3.01990,4.49340,20.02920,-6.23600,-1.21350,0.25580,3.81570,-6.79390,0.08420,-0.16480
2022-06-30,1.07810,1.17520,-7.52830,3.40740,0.07640,0.07640,-0.05940,0.29300,1.07350,2.90980,4.46010,20.17900,-19.40510,-1.64370,0.31220,3.40030,-2.58610,10.7173,10.2522
2022-03-31,1.07550,1.17080,-8.09810,3.75150,-0.21630,-0.21630,-0.30560,-3.10240,1.06470,2.78540,4.37420,20.57500,200.57720,15.94950,-3.30080,-34.25330,-2.53850,-1.481,-1.7902
2021-12-31,1.14850,0.84210,5.63170,3.55500,-2.08990,-2.08990,-2.14050,0.10780,1.04070,2.93430,4.83280,18.62290,4.89020,-0.64500,0.11220,0.77240,3.61730,4.189,3.9191
2021-09-30,1.12200,0.79320,4.05010,3.73450,0.94390,0.94390,0.83920,0.61640,1.02270,2.87540,4.72520,19.04680,19.48420,-3.15950,0.63270,4.03020,4.91550,-2.23530,-2.46710
2021-06-30,1.12400,0.74940,3.47600,3.46360,0.38040,0.38040,0.27940,0.27240,0.95800,2.81700,4.67820,19.23800,6.41030,-1.38550,0.25870,1.60640,6.16490,2.2619,1.8334
2021-03-31,1.19900,0.78920,3.75200,4.61360,1.20430,1.20430,1.12030,0.30300,0.89520,2.61450,4.50040,19.99820,6.68900,-1.43110,0.27350,1.41030,6.16490,0.9593,0.6172
2020-12-31,1.16940,0.77290,3.40910,4.27530,1.10970,1.10970,1.02790,1.51420,0.92890,2.75320,4.75950,18.90950,31.89870,-6.90260,1.40880,7.24550,6.71770,4.1192,3.7955
2020-09-30,1.12550,0.82520,4.72980,4.39010,-1.59730,-1.59730,-1.69720,-0.64760,0.93620,2.77920,4.52300,19.89840,-17.75440,2.59190,-0.60630,-3.10320,4.84690,0.92150,0.65530
2020-06-30,1.09850,0.79060,3.78070,4.33370,0.73590,0.73590,2.22140,1.78800,0.90000,2.65940,4.43960,20.27200,36.66290,-6.92820,1.61160,7.67790,6.11600,0.8391,0.3722
2020-03-31,1.04770,0.84850,6.02160,4.81400,1.43520,1.43520,1.22070,0.89380,0.95160,2.91010,4.34160,20.72960,29.10450,-3.45060,0.85300,4.40950,4.13010,5.7006,5.3945
2019-12-31,1.03400,0.87060,7.91820,4.31360,0.84060,0.84060,0.70220,0.55370,0.96820,2.75530,4.79890,18.75430,21.95610,-2.09110,0.53600,2.84090,3.43150,2.3558,2.099
2019-09-30,1.05170,0.89070,8.84940,4.49640,-14.09710,-14.09710,-14.31140,-13.18120,0.95310,2.86260,4.55930,19.73970,-544.96120,45.75550,-12.56030,-59.55460,3.08190,-2.20610,-2.44930
2019-06-30,1.06790,0.54490,1.26870,4.47890,0.82460,0.82460,0.63720,0.51940,0.91190,2.78270,4.42150,20.35500,3.06480,-3.54140,0.47360,1.39480,21.17060,1.6318,1.1843
2019-03-31,1.06950,0.55040,1.45700,5.00740,1.22630,1.22630,1.05030,0.84020,0.86320,2.65120,4.47110,20.12920,4.74970,-5.25940,0.72530,2.13550,20.91280,4.9581,4.7025
2018-12-31,1.05320,0.55700,1.49740,4.58400,1.33550,1.33550,1.07840,0.74190,0.93270,2.76210,4.75790,18.91570,4.65000,-4.73860,0.69450,2.05980,20.27850,1.2605,1.0634
2018-09-30,1.06020,0.57500,1.52220,4.73400,2.31730,2.31730,2.09010,1.68400,0.88010,2.68780,4.35700,20.65660,10.04570,-9.61170,1.48460,4.26970,19.71000,1.19280,1.00330
2018-06-30,1.07250,0.56940,1.48750,4.90820,-3.05810,-3.05810,-3.35790,-3.30140,0.88480,2.73110,4.53190,19.85910,-19.24410,18.89790,-2.91860,-8.28650,19.60840,1.7587,1.3207
2018-03-31,1.09740,0.54490,1.27060,5.68790,1.62340,1.62340,1.37960,0.75820,0.81970,2.65170,4.38440,20.52720,3.38290,-3.77160,0.62150,1.53940,24.23790,2.4083,2.159
2017-12-31,1.08920,0.54310,1.28090,5.28900,1.13400,1.13400,0.90090,2.99270,0.82010,2.75710,4.59110,19.60330,13.82070,-15.60690,2.45430,6.31450,24.18730,0.9065,0.5823
2017-09-30,1.05880,0.57530,1.49410,5.12240,0.80270,0.80270,0.54530,0.35230,0.77830,2.55500,3.89420,23.11140,1.74760,-1.42150,0.27900,0.74220,21.25400,3.71380,3.50630
2017-06-30,1.33570,0.57050,1.52240,4.92630,1.32860,1.32860,1.13750,0.83120,0.82180,2.77340,4.09620,21.97170,4.07150,-11.68560,0.69310,1.74890,21.60760,2.2535,1.9654
2017-03-31,1.12560,0.42140,0.81940,5.43040,1.90130,1.90130,1.77240,1.19730,0.93110,2.58510,4.24000,21.22660,5.73140,-14.56900,1.11780,3.31630,21.09180,-0.6162,-0.8698
2016-12-31,1.10180,0.43380,0.86140,4.83260,1.63500,1.63500,1.48110,0.97740,0.94660,2.64780,4.40060,20.45160,5.10960,-11.03920,0.92520,2.89290,20.06650,1.7397,1.3826
2016-09-30,1.11410,0.42950,0.84700,4.96270,1.66980,1.66980,1.54190,0.96440,0.93120,2.78910,4.15660,21.65240,4.74660,-10.70440,0.90100,2.70810,20.40940,0.32300,0.01240
2016-06-30,1.11450,0.42970,0.84290,5.30840,1.97550,1.97550,1.83530,1.05790,0.91980,2.79960,4.23820,21.23530,5.09820,-11.73380,0.98180,2.90720,20.40680,1.9637,1.4126
2016-03-31,1.14990,0.43560,0.82410,5.50840,2.13950,2.13950,1.99600,1.25890,0.90040,2.65560,4.20490,21.40370,5.73550,-15.95040,1.13350,3.23690,20.64420,2.7893,2.4584
