,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.71850,0.58140,1.40110,69.03720,40.53920,40.53920,36.53400,28.52380,0.09220,3.30410,2.65510,33.89730,8.62380,8.99890,2.63010,3.60970,6.12940,0.8317,0.5414
2022-06-30,1.16340,0.54870,1.23350,68.85980,44.63960,44.63960,40.83880,30.87810,0.09450,3.13460,2.56210,35.12710,8.96430,9.36110,2.91830,4.04600,6.13710,0.5774,0.363
2022-03-31,1.45900,0.54830,1.23800,67.59450,37.56230,37.56230,33.07940,25.16850,0.08440,3.15100,2.67270,33.67420,6.51000,6.74150,2.12350,2.94040,6.06880,0.59230,0.44510
2021-12-31,1.73440,0.54520,1.21230,70.17800,39.85990,39.85990,35.16200,27.25420,0.08460,3.01470,2.98520,30.14880,6.91850,7.15760,2.30440,3.14640,6.13140,0.5578,0.4099
2021-09-30,1.71830,0.55130,1.24450,72.11420,43.62090,43.62090,38.85180,29.40460,0.08200,3.02970,2.48270,36.25150,7.34890,7.60950,2.41220,3.29770,5.93870,0.6489,0.4688
2021-06-30,2.34390,0.54710,1.21710,75.85280,56.55520,56.55520,51.17060,39.23080,0.07470,2.49830,2.50840,35.87960,8.73160,8.73160,2.93140,3.95440,5.95880,0.5156,0.4178
2021-03-31,2.39170,0.55340,1.24220,73.33810,39.13970,39.13970,33.30960,25.09780,0.07090,2.51680,2.93940,30.61860,5.36470,5.36470,1.77870,2.39600,5.79170,0.53890,0.40510
2020-12-31,2.19960,0.55430,1.27420,75.39820,43.00890,43.00890,35.18580,26.90270,0.07100,2.30130,3.09760,29.05490,5.79710,5.82510,1.90990,2.58380,5.73090,0.4895,0.3118
2020-09-30,1.84310,0.55880,1.29580,77.75680,43.08910,43.08910,36.55590,27.79460,0.06710,2.32810,2.70200,33.30820,5.78300,5.78300,1.86600,2.55130,5.54720,0.4108,0.2359
2020-06-30,1.61530,0.57010,1.35710,73.96900,36.71840,36.71840,28.91350,22.12860,0.05800,2.38620,2.62210,34.32370,4.10260,4.10260,1.28260,1.76380,5.29940,0.4412,0.2618
2020-03-31,1.72820,0.58090,1.40750,74.53590,41.26090,41.26090,35.48160,26.97020,0.07350,2.82880,2.83230,31.77580,6.47710,6.47710,1.98280,2.71460,5.17680,0.50800,0.35880
2019-12-31,1.52390,0.57410,1.36880,66.30850,40.00000,40.00000,34.00350,26.72440,0.07540,3.72410,2.92600,30.75910,6.49920,6.49920,2.01530,2.76780,5.11250,0.4523,0.2759
