,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.47300,0.89770,13.20220,13.20220,21.67360,19.03340,0.03040,1.41940,2.70530,0.60890,0.71680,61.05930,1.3101,1.9983
2022-06-30,0.44780,0.81080,14.95380,14.95380,7.04530,4.67350,0.03170,0.37790,0.63320,0.17760,0.20000,61.91820,1.7741,1.7741
2022-03-31,0.44140,0.79020,12.52840,12.52840,7.99720,5.59730,0.03070,0.44010,0.73910,0.20970,0.23590,63.96520,0.97420,0.97420
2021-12-31,0.42120,0.72780,11.83410,11.83410,98.48730,95.18180,0.03060,6.14480,10.34600,2.99810,3.41550,64.96420,1.6047,5.0394
2021-09-30,0.44230,0.79290,16.27030,16.27030,13.25970,10.95140,0.03160,0.80150,1.40710,0.38090,0.42860,62.59130,1.3942,1.438
2021-06-30,0.43400,0.76680,16.98040,16.98040,15.86000,11.65120,0.03020,0.72160,1.26070,0.34800,0.39200,64.27480,1.8483,1.9092
2021-03-31,0.41950,0.72260,17.65600,17.65600,36.88800,34.15340,0.03070,2.26900,3.86190,1.11040,1.24890,65.19950,1.16300,3.59450
2020-12-31,0.41900,0.72130,15.08200,15.08200,5.91280,4.15740,0.02950,0.34010,0.58830,0.16500,0.18740,65.81160,2.1309,2.254
2020-09-30,0.41170,0.69980,14.09270,14.09270,1.42480,-3.64700,0.02890,-0.00830,-0.01400,-0.00410,-0.00460,65.72740,1.7384,1.822
2020-06-30,0.41160,0.69960,15.38890,15.38890,8.80850,5.40550,0.02930,0.46760,0.76810,0.22440,0.25280,65.88200,1.6215,1.2207
2020-03-31,0.41630,0.71330,12.15170,12.15170,28.64930,24.63860,0.02490,1.45280,2.35520,0.69070,0.77710,65.16240,1.00970,3.35460
2019-12-31,0.48830,0.95420,17.64310,17.64310,44.14110,40.07520,0.03410,3.80790,4.82160,1.51430,1.68510,50.78050,1.9272,2.2846
2019-09-30,0.51690,1.06980,20.43080,20.43080,8.97740,6.17840,0.03480,0.74160,0.98320,0.29160,0.31970,48.95340,1.3498,1.276
2019-06-30,0.50870,1.03520,18.60300,18.60300,8.23650,3.96330,0.03420,0.65420,0.86130,0.26170,0.28770,50.27590,2.2684,2.0284
2019-03-31,0.13790,0.93600,17.37760,17.37760,15.37890,11.77010,0.03490,1.26970,1.58700,0.51840,0.94980,52.74620,1.68180,1.63820
2018-12-31,0.50550,1.02240,15.78470,15.78470,6.00750,4.01280,0.03270,0.54740,0.80790,0.22130,0.23950,52.60100,1.7029,2.2693
2018-09-30,0.46030,0.85290,18.08570,18.08570,12.05530,8.74830,0.03580,0.94880,1.22140,0.42060,0.45260,52.18220,1.7416,1.9834
2018-06-30,0.45750,0.84340,19.08310,19.08310,11.95890,8.62790,0.03530,0.92340,1.18840,0.41170,0.44290,52.39830,2.1109,2.0232
2018-03-31,0.45550,0.83640,19.32020,19.32020,15.24370,11.59350,0.03450,1.13650,1.46180,0.51010,0.54820,53.12230,1.14760,1.81190
2017-12-31,0.43600,0.78270,16.02280,16.02280,10.96500,7.28780,0.03420,0.81280,1.03990,0.37220,0.40660,53.77650,1.8464,0.1219
2017-09-30,0.43160,0.75930,10.84670,10.84670,2.45420,-0.67880,0.02870,0.12570,0.16020,0.05880,0.06350,54.38960,0.7947,0.8679
2017-06-30,0.56130,1.27950,23.08470,23.08470,14.52500,10.21880,0.04500,1.89700,1.87120,0.63250,0.69380,31.02230,1.8443,1.7138
2017-03-31,0.55020,1.22300,24.93470,24.93470,15.76300,12.01390,0.04470,2.08410,1.96070,0.68590,0.75020,31.78170,1.36560,1.28090
2016-12-31,0.53220,1.13760,26.20060,26.20060,17.06770,13.46810,0.04730,2.33390,2.19530,0.78850,0.87630,32.27470,1.8499,1.8796
2016-09-30,0.53690,1.15940,21.18830,21.18830,41.39810,34.29110,0.04440,5.31670,5.03640,1.80860,1.98220,32.69830,1.5142,-2.1571
2016-06-30,0.58650,1.41840,21.80820,21.80820,10.33060,5.42810,0.04560,1.67830,1.27520,0.45110,0.48700,29.55000,1.4583,1.4554
2016-03-31,0.58070,1.38500,23.42650,23.42650,12.78110,7.75980,0.04410,1.97560,1.51490,0.54570,0.58790,30.28110,1.22510,1.45870
2015-12-31,0.56530,1.30030,8.27470,8.27470,-3.23030,-8.00070,0.04380,-0.51050,-0.39400,-0.14520,-0.15880,30.99040,1.8383,1.4679
2015-09-30,0.54060,1.17670,23.88360,23.88360,13.66920,8.83550,0.04590,2.10650,1.43330,0.60880,0.65850,29.70800,1.298,1.2853
2015-06-30,0.56090,1.27730,25.47090,25.47090,33.45560,27.85070,0.04380,4.85550,3.54730,1.43960,1.55770,28.63970,1.5814,2.2682
2015-03-31,0.55530,1.24890,36.72280,36.72280,30.49610,25.01860,0.04320,4.35360,3.17080,1.30020,1.41000,28.40970,1.02050,1.33840
2014-12-31,0.54420,1.19390,-1.49580,-1.49580,-8.14960,-12.68560,0.04330,-1.21400,-0.88890,-0.36520,-0.40520,28.86050,1.4319,1.4337
2014-09-30,0.53600,1.15500,19.98420,19.98420,31.86400,26.52060,0.04240,4.26000,3.17190,1.33880,1.47190,30.28390,1.123,0.9401
2014-06-30,0.54030,1.17540,23.03000,23.03000,15.53210,10.34010,0.04050,1.98740,1.48350,0.61890,0.68200,30.54060,1.4516,1.7348
2014-03-31,0.56370,1.29200,23.04390,23.04390,12.43120,8.75240,0.03980,1.61590,1.20540,0.47640,0.52590,30.13640,0.90150,0.90150
2013-12-31,0.57640,1.36070,25.74090,25.74090,14.48920,11.28210,0.03960,1.88590,1.52660,0.57820,0.64670,28.38750,1.7669,1.6843
2013-09-30,0.56500,1.29880,22.44710,22.44710,40.54010,36.59770,0.04030,5.14050,4.17000,1.62830,1.81400,28.65620,1.214,0.9827
2013-06-30,0.56730,1.31120,27.50850,27.50850,16.45960,12.95100,0.03960,2.06420,1.66390,0.64910,0.71990,27.90230,1.4394,1.1269
2013-03-31,0.58060,1.38440,27.50960,27.50960,14.75680,11.90310,0.03990,1.76470,1.52810,0.57610,0.64090,26.33630,0.70260,0.08570
2012-12-31,0.55020,1.22300,27.05990,27.05980,15.98490,12.81400,0.03970,1.91050,1.59770,0.63380,0.71870,27.95560,1.7663,0.1766
2012-09-30,0.53630,1.15660,28.34480,28.34480,16.82760,13.31910,0.04020,1.92890,1.61360,0.66870,0.74820,28.61860,0.8153,-9.032
2012-06-30,0.55390,1.24180,29.12340,29.12340,18.16700,13.83620,0.04520,2.55000,1.97090,0.80340,0.87920,24.83210,1.4431,0.5954
2012-03-31,0.55330,1.24260,30.34320,30.34320,17.65300,13.84820,0.04410,2.38760,1.87100,0.76760,0.83580,24.52890,0.65560,-0.51740
2011-12-31,0.53170,1.13940,30.04260,30.04260,17.01070,13.29950,0.04440,2.34740,1.82900,0.77390,0.85660,24.33460,1.2947,0.2604
2011-09-30,0.51950,1.08540,26.19100,26.19100,13.95000,11.66760,0.04690,1.92070,1.46260,0.64690,0.70270,24.75320,0.8028,0.0571
2011-06-30,0.58890,1.43760,28.63960,28.63960,14.35750,11.94190,0.04730,2.15200,1.79150,0.67560,0.73640,21.60720,1.2492,1.0606
