,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.15870,0.36020,0.58610,86.46910,45.37920,45.37920,45.37920,34.84900,0.23060,,2.63560,34.14760,17.26170,18.52940,8.06550,11.04460,16.83030,3.249,-1.4707
2022-06-30,1.55130,0.38720,0.63180,87.04230,44.34770,44.34770,44.34770,34.34060,0.24260,,2.39610,37.56130,18.95170,20.45810,8.35560,11.61380,15.58840,4.0491,3.0454
2022-03-31,1.32470,0.40680,0.68590,83.78800,33.10600,33.10600,33.10600,25.94440,0.17500,,1.90410,47.26650,10.54580,11.46050,4.56880,6.25550,14.27380,2.79180,2.01370
2021-12-31,1.37640,0.40820,0.68960,85.84130,45.58860,45.58860,38.89540,35.24460,0.20320,5.30700,2.76930,32.49940,16.08680,17.48790,7.19140,9.52080,14.17650,2.5318,1.7343
2021-09-30,1.20600,0.41740,0.71650,83.98730,27.81300,27.81300,27.81300,24.17770,0.16460,,2.17030,41.46860,9.31460,10.15890,4.00820,5.42660,13.38410,2.3535,1.6421
2021-06-30,1.00130,0.43240,0.76180,78.77530,12.57760,12.57760,12.57760,10.59160,0.12050,,1.97310,45.61440,3.05800,3.35390,1.30080,1.73570,12.60710,1.5722,0.9254
2021-03-31,1.17730,0.45350,0.85650,77.65850,-1.56100,-1.56100,-1.56100,10.39020,0.10020,,1.63350,55.09760,2.54540,2.79320,1.05590,1.39100,12.57190,0.90940,0.16590
2020-12-31,2.26390,0.58740,1.42370,78.82810,4.68750,4.68750,-8.59380,-7.96880,0.12910,,1.65160,54.49220,-2.41800,-3.22150,-0.73650,-0.99770,7.90310,0.9496,0.3793
2020-09-30,2.03450,0.57720,1.36500,74.60170,-11.90250,-11.90250,-18.08810,-8.62230,0.10330,,2.16430,41.58390,-3.27190,-4.30060,-0.99750,-1.38350,8.21930,1.1326,0.5942
2020-06-30,2.32640,0.56160,1.28120,33.24870,-172.58880,-172.58880,-172.58880,-170.05080,0.03800,,0.76500,117.63960,-20.19090,-26.03850,-6.53660,-8.85080,8.75460,0.3979,-0.4218
2020-03-31,2.60940,0.51530,1.06310,84.76280,-100.95830,-100.95830,-100.95830,-87.01490,0.18730,,3.51350,25.61570,-41.83170,-51.41470,-15.16510,-20.27590,10.54830,1.40320,0.34220
2019-12-31,1.99840,0.42040,0.72530,79.60980,10.63560,10.63560,-1.32160,-40.40280,0.11580,,1.80770,49.78600,0.20270,0.23220,0.08750,0.11750,15.49740,1.3791,0.5137
2019-09-30,1.71650,0.39630,0.65650,83.16150,14.31840,14.31840,10.88200,6.24280,0.12130,,2.21860,40.56700,2.07890,2.38550,0.94480,1.25500,16.91750,1.6038,0.2096
2019-06-30,1.49030,0.38040,0.61400,83.61020,12.12630,12.12630,12.12630,27.40860,0.10850,,2.14490,41.96010,2.15900,2.45410,0.90700,1.33770,17.08770,1.0909,-0.0735
2019-03-31,1.37350,0.42410,0.73640,73.77200,-46.06120,-46.06120,-46.06120,-29.37910,0.05970,,1.03950,86.58020,-4.81100,-5.38770,-2.09110,-2.77070,18.90980,1.02100,0.57710
2018-12-31,1.99330,0.31840,0.48490,108.12980,47.02290,47.02290,64.38930,43.85500,0.13390,,3.22660,27.89310,13.77100,15.00060,6.46530,9.38570,20.45880,0.0788,-1.1441
2018-09-30,1.47550,0.39420,0.67970,80.65860,2.45830,2.45830,-0.69570,117.67160,0.10690,,1.75860,51.17810,1.75320,1.93620,0.77330,1.06200,18.80790,1.2442,0.2136
2018-06-30,1.64980,0.31070,0.47220,78.87620,-25.13010,-25.13010,-25.13010,-22.11240,0.06590,,1.68450,53.42870,-3.86050,-4.13090,-1.70100,-2.66120,24.97180,0.689,0.8641
2018-03-31,1.04390,0.41230,0.72730,75.29570,6.46040,6.46040,-11.14650,-8.96270,0.07500,,1.29680,69.40400,-1.53730,-1.86030,-0.71970,-0.90350,26.11300,1.17310,
2017-12-31,1.44520,0.32360,0.48670,50.43550,51.21950,51.21950,60.88850,-15.94080,-0.03800,,-1.16080,-77.53480,-4.89220,-5.20240,-2.28170,-3.30890,26.86480,-0.7759,-1.2461
2017-09-30,1.63210,0.46530,0.87170,76.82360,11.12260,11.12260,10.70870,9.98450,0.07010,,1.32220,68.07040,1.62560,2.43410,0.70390,0.86930,22.73140,0.9579,0.5258
2017-06-30,1.61370,0.48240,0.93190,78.98380,13.11780,13.11780,9.56120,10.11550,0.08070,,1.73480,51.87990,1.87110,2.87810,0.79060,0.96860,21.53990,0.7793,0.623
2017-03-31,1.52830,0.48730,0.95050,87.13040,12.67250,12.67250,9.15240,8.53280,0.13590,,2.69020,33.45540,2.90240,4.55590,1.21300,1.48810,20.76430,1.42910,0.20110
2016-12-31,1.44190,0.44390,0.79810,186.19870,-182.23500,-182.23500,-182.37820,-123.11370,-0.07300,,-1.54420,-58.28080,27.11840,33.36880,12.03140,15.08130,24.32510,-0.7293,0.3815
2016-09-30,1.56120,0.52240,1.12850,100.00000,34.60900,34.60900,27.82900,23.45850,0.15790,,3.87640,23.21760,10.00900,16.51360,3.75560,4.78040,19.20040,1.3897,6.9798
2016-06-30,1.35950,0.58080,1.42470,100.00000,-60.16880,-60.16880,-70.13670,-63.14310,0.09130,,2.13200,42.21460,-17.52440,-32.83610,-5.73700,-7.34630,17.02100,0.6365,0.4625
2016-03-31,1.13460,0.53720,1.19390,100.00000,-164.62840,-164.62840,-173.33020,-143.74410,0.07420,,2.03060,44.32270,-33.00340,-54.62280,-12.11020,-15.27550,20.05340,0.34810,-4.62660
