,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.35180,0.53100,1.20240,37.54670,13.16330,13.16330,11.23380,9.45960,0.17440,1.27120,1.35180,66.57590,4.96480,-7.70830,1.67320,2.32860,24.89430,1.5271,0.8561
2022-06-30,1.28880,0.53430,1.23430,38.24780,11.89190,11.89190,10.87250,8.61030,0.16920,1.28500,1.34210,67.06140,4.39280,-6.44990,1.47750,2.04560,24.97680,1.128,0.5377
2022-03-31,1.26800,0.53780,1.23300,36.52920,7.79070,7.79070,6.74380,5.26220,0.15510,1.30410,1.30240,69.10280,2.45880,-3.41600,0.82930,1.13650,24.86910,0.59040,0.07530
2021-12-31,1.31910,0.53510,1.20750,39.27660,11.52290,11.52290,10.38760,8.94610,0.15870,1.36960,1.35760,66.29500,4.20920,-6.06370,1.43970,1.95700,25.28090,2.2185,1.4595
2021-09-30,1.72290,0.46010,0.85470,39.27070,14.02670,14.02670,12.11760,9.77170,0.18520,1.46330,1.39290,64.61370,4.72000,-16.00190,1.83310,2.54860,24.29100,2.1494,1.5759
2021-06-30,1.90510,0.49900,0.99850,41.69540,14.15880,14.15880,12.63790,9.82700,0.17060,1.30000,1.35680,66.33260,4.65540,-13.27970,1.69210,2.33240,23.54530,1.7417,1.2455
2021-03-31,1.80560,0.51410,1.06170,40.65860,10.30500,10.30500,9.10230,6.71060,0.15840,1.27100,1.26980,70.87700,3.10910,-7.10360,1.07920,1.51090,22.10600,1.02250,0.66930
2020-12-31,1.74520,0.51820,1.07820,41.92090,13.57450,13.57450,12.33160,9.79680,0.16910,1.38520,1.34810,66.76090,5.07300,-11.30680,1.73560,2.44430,21.70630,2.211,1.7922
2020-09-30,1.60700,0.52430,1.14310,41.37680,13.62880,13.62880,9.66340,8.15610,0.16680,1.37410,1.30070,69.19200,4.12110,-8.50270,1.37760,1.96040,21.19620,1.5945,1.2009
2020-06-30,1.60060,0.53410,1.23710,39.09600,7.14900,7.14900,5.52560,-75.77170,0.14850,1.33120,1.19070,75.58370,2.18840,-4.46190,0.71280,1.01960,20.63840,1.3317,0.9799
2020-03-31,1.51200,0.43220,0.87830,43.05110,12.45450,12.45450,11.36530,9.38220,0.13520,1.12450,1.05770,85.09270,3.29550,-14.87670,1.30710,1.87120,30.63830,1.27070,0.76860
2019-12-31,1.32990,0.40640,0.72810,47.62530,17.44320,17.44320,16.24550,16.12920,0.12760,1.28980,1.11820,80.48810,4.16240,158.46410,1.74040,2.47090,30.25590,2.8124,2.0367
2019-09-30,1.24250,0.40930,0.78330,44.76120,17.02850,17.02850,16.24380,14.39830,0.15470,1.12240,1.18420,76.00030,5.06130,-18.65610,2.09210,2.98990,29.88340,2.3221,1.7804
2019-06-30,1.17580,0.42000,0.85330,43.82320,14.65400,14.65400,13.76100,11.63110,0.15220,1.09540,1.15360,78.01550,4.15270,-12.52870,1.64880,2.40870,28.73800,1.8479,1.3257
2019-03-31,1.14320,0.42090,0.86370,40.38910,10.47530,10.47530,9.67080,8.45840,0.16750,1.26980,1.30230,69.10600,3.63380,-10.23650,1.43540,2.10440,28.68460,1.29350,0.65860
2018-12-31,1.26920,0.43900,0.87480,64.53130,27.63230,27.63230,25.13700,30.05940,0.06550,0.30150,0.49370,182.30760,2.80370,-8.00110,1.12480,1.57300,27.99310,2.8356,2.3324
2018-09-30,1.34330,0.44240,0.88990,41.53770,13.77560,13.77560,12.84960,11.61930,0.18770,1.37960,1.41260,63.71240,5.49040,-15.03190,2.19560,3.06120,27.63240,2.2646,1.5268
