,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.65640,0.46410,0.91000,73.61470,12.03460,12.03460,11.51520,8.52810,0.22290,0.39720,2.39130,37.63640,6.72650,119.57830,1.91500,3.60480,16.52620,3.8824,3.1403
2022-09-30,1.68200,0.48070,0.97390,73.96950,16.81930,16.81930,16.10690,12.44280,0.19660,0.33900,1.82280,49.37410,8.88160,-556.81820,2.45130,4.61220,15.45240,-1.79860,-2.21910
2022-06-30,1.59900,0.47920,0.96820,71.04750,2.21850,2.21850,1.34790,1.46030,0.17030,0.35310,2.18600,41.17100,0.89450,-13.92760,0.23910,0.46580,15.65580,2.9158,1.8754
2022-03-31,1.75470,0.45610,0.88220,76.58420,17.38520,17.38520,16.56070,13.14490,0.19870,0.35120,1.92170,46.83390,9.26290,-1332.55800,2.68270,5.03780,17.28780,0.3716,-0.184
2021-12-31,1.72770,0.45690,0.88470,77.92020,25.60030,25.60030,25.05870,19.64250,0.25090,0.46820,2.66430,33.78050,17.43440,-536.94580,4.93700,9.46920,17.40200,5.2639,4.567
2021-09-30,1.78340,0.46270,0.90730,75.93350,21.28870,21.28870,20.42350,15.75590,0.20350,0.40140,1.93910,46.41390,11.36550,-181.46210,3.22060,6.10610,16.95550,-0.22020,-0.77740
2021-06-30,1.84370,0.47620,0.91430,74.94920,5.94510,5.94510,26.67680,25.86380,0.17910,0.39360,2.31260,38.91770,16.66390,-163.70970,4.61970,8.72890,16.83720,2.3358,1.6518
2021-03-31,2.11600,0.49680,1.07200,75.69880,15.94200,15.94200,15.01040,11.80120,0.19420,0.44000,2.22710,40.41150,8.24040,24.16890,2.30150,4.14670,15.32960,2.1507,1.784
2020-12-31,1.89870,0.47380,0.98660,77.66330,21.90400,21.90400,21.22400,17.98890,0.24770,0.51230,2.46100,36.57120,16.07410,53.77070,4.47560,8.45790,15.04550,4.4001,4.0367
2020-09-30,1.85390,0.52300,1.20200,76.83890,19.79230,19.79230,18.83770,14.68280,0.19900,0.37430,1.96580,45.78330,11.71610,74.78630,2.93250,5.58870,12.39590,0.97490,0.65900
2020-06-30,1.71690,0.55360,1.54870,68.43620,-22.34570,-22.34570,-24.89710,-19.01240,0.13670,0.37200,2.03520,44.22220,-11.58510,-205.82960,-2.58140,-5.17120,10.98950,0.8144,0.4157
2020-03-31,1.62520,0.51750,1.42290,75.00750,3.25860,3.25860,2.39160,-0.17940,0.18220,0.40060,1.81200,49.66820,-0.09180,-0.74770,-0.02180,-0.04430,12.10600,1.9774,1.4716
2019-12-31,1.68540,0.50330,1.12670,77.48700,5.64450,5.64450,17.53890,12.04590,0.25780,0.50580,2.07820,43.30670,12.19300,165.48670,3.12760,6.05640,12.80200,3.8836,3.4292
2019-09-30,1.52980,0.38840,0.74920,76.68810,20.00000,20.00000,19.51220,15.27600,0.25240,0.44180,1.69790,53.00640,13.11980,39.89330,3.87530,8.02360,12.63650,-0.46120,-0.80030
2019-06-30,1.56610,0.39630,0.77350,76.74090,6.01670,6.01670,5.54320,4.37330,0.27290,0.41630,1.96070,45.90250,3.58200,11.79100,1.20100,2.16230,12.21540,2.0275,1.2216
2019-03-31,1.69230,0.38440,0.73620,78.12500,18.00210,18.00210,19.41770,14.82370,0.28950,0.45150,1.83890,48.94230,12.06410,36.23940,4.30750,7.42670,12.76220,1.3264,0.9184
2018-12-31,1.70550,0.43770,0.78260,77.27840,19.25090,19.25090,18.67670,14.30710,0.31600,0.55120,2.00250,44.94380,13.31640,48.52820,4.55190,7.48770,11.97430,3.7593,2.8497
2018-09-30,1.75390,0.43140,0.80000,76.64590,18.50170,18.50170,17.96250,14.18840,0.28100,0.48960,1.59170,56.54370,11.33180,40.58210,4.00220,6.44330,12.15550,-0.31780,-0.19760
2018-06-30,1.86340,0.41640,0.75240,78.84670,8.43700,8.43700,7.92110,5.64490,0.26220,0.43080,2.21590,40.61610,3.99150,12.46680,1.49600,2.32930,12.82870,1.7088,1.0141
2018-03-31,1.82080,0.41520,0.77240,79.73290,14.77750,14.77750,14.24330,11.03860,0.26390,0.44550,1.91370,47.02970,7.89530,24.71910,2.92830,4.61730,12.89680,1.2844,1.0042
2017-12-31,1.75580,0.42370,0.82520,79.88780,18.96370,18.96370,18.42950,3.28530,0.29700,0.52110,2.20360,40.84130,2.72390,9.18440,0.99170,1.56980,12.46760,3.6077,3.2174
2017-09-30,1.75270,0.41580,0.82790,78.28350,17.37940,17.37940,16.76850,13.04220,0.26830,0.46840,1.81990,49.45330,9.04690,28.36410,3.52400,5.28520,12.89740,0.21840,-0.09060
2017-06-30,1.75840,0.43460,0.81140,78.92190,8.36210,8.36210,7.15270,7.91290,0.25020,0.41240,2.07460,43.38290,5.22490,19.84470,1.98820,2.95440,11.95860,1.436,0.9336
