,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.90010,0.13280,0.20490,100.00000,42.46170,42.46170,42.55100,33.88900,0.16240,2.34030,38.45660,9.18920,9.18920,5.50390,7.96880,42.16300,5.8671,3.6133
2022-09-30,1.77530,0.13750,0.21320,100.00000,48.25500,48.25500,48.24180,37.58730,0.18750,2.20980,40.72700,11.96700,11.96700,7.04920,10.32150,40.61170,8.1395,6.2149
2022-06-30,1.41350,0.14580,0.22820,100.00000,39.19270,39.19270,38.90910,30.21470,0.19420,1.98310,45.38280,10.03050,10.03050,5.86800,8.56780,38.07200,3.4782,1.2487
2022-03-31,1.35360,0.15050,0.23670,100.00000,13.70830,13.70830,12.47800,9.79160,0.10450,1.23970,72.60110,1.81060,1.81060,1.02370,1.53810,36.77940,1.41300,-0.10240
2021-12-31,2.12370,0.18610,0.23030,100.00000,41.82660,41.82660,41.34680,32.84250,0.15810,2.58840,34.77000,8.94950,8.94950,5.19140,7.28390,37.89740,5.4213,3.8168
2021-09-30,2.10940,0.18920,0.23510,100.00000,30.87090,30.87090,29.98950,22.98010,0.12820,2.21220,40.68420,5.03100,5.03100,2.94580,4.07910,37.20570,3.7602,2.2397
2021-06-30,1.73290,0.19590,0.24540,100.00000,28.29190,28.29190,27.15630,21.91350,0.11220,2.04290,44.05410,4.34370,4.34370,2.45900,3.49290,35.76380,2.6641,1.1565
2021-03-31,1.86930,0.19700,0.24720,100.00000,25.23010,25.23010,23.84950,18.32700,0.10210,2.02080,44.53710,3.26080,3.26080,1.87170,2.61830,35.57510,3.20750,1.64320
2020-12-31,1.69420,0.19870,0.28650,100.00000,16.45870,16.45870,14.43510,11.36590,0.08280,1.91910,46.89710,1.65990,1.65990,0.94120,1.33010,34.78930,1.9361,0.4887
2020-09-30,1.68710,0.19720,0.28390,100.00000,-0.13360,-0.13360,-2.35980,-1.87000,0.06400,1.97450,45.58220,-0.20850,-0.20850,-0.11970,-0.16730,34.53920,2.0967,1.5078
