,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.99220,0.68060,2.57700,100.00000,43.58010,43.58010,38.06250,27.87070,0.06160,0.24350,369.53710,11.17550,-4.96660,1.71810,3.56970,30.20670,5.27,4.6971
2022-06-30,1.06090,0.63950,1.96290,100.00000,43.01520,43.01520,39.90040,30.43980,0.05850,0.21270,423.06040,9.75460,-5.68830,1.78220,3.51660,35.39480,1.9507,1.495
2022-03-31,1.01380,0.60330,1.68960,100.00000,40.25650,40.25650,37.33590,27.61540,0.05550,0.21100,426.55900,7.50420,-4.74760,1.53260,2.97720,37.55440,-1.41580,-1.81170
2021-12-31,1.03740,0.60870,1.69530,100.00000,42.41700,42.41700,37.70460,28.04640,0.05980,0.27560,326.59770,7.84920,-4.94760,1.67860,3.07100,36.34100,7.0788,6.6414
2021-09-30,0.97490,0.54410,1.44670,100.00000,44.83090,44.83090,40.78510,30.97470,0.05620,0.23840,377.58540,7.37030,-5.44620,1.73930,3.35980,39.10180,2.9827,2.6298
2021-06-30,1.05500,0.51690,1.16910,100.00000,44.59400,44.59400,39.33570,29.40550,0.05120,0.23940,375.86320,5.62500,-5.11740,1.50650,2.71750,42.24040,3.2712,2.9623
2021-03-31,0.99340,0.48320,1.07120,100.00000,43.69950,43.69950,38.72350,30.27150,0.05330,0.24290,370.51860,5.58890,-5.34350,1.61220,2.88850,39.55670,0.90770,0.68010
2020-12-31,0.99700,0.48000,1.07390,100.00000,47.61430,47.61430,42.63310,33.99320,0.05510,0.29870,301.31190,6.25410,-6.03080,1.87460,3.25200,40.10480,2.9015,2.6348
2020-09-30,0.94640,0.51810,1.29510,100.00000,45.19730,45.19730,40.22160,32.26080,0.05280,0.26120,344.55560,6.42730,-4.98060,1.70200,3.09710,35.22610,4.8136,4.6018
2020-06-30,0.95510,0.51910,1.27890,100.00000,40.52420,40.52420,40.29890,30.17980,0.04940,0.27160,331.33810,5.34270,-4.24090,1.49140,2.56910,35.29370,4.5041,4.2852
2020-03-31,0.92580,0.53720,1.55230,100.00000,30.40160,30.40160,26.06270,22.24500,0.05850,0.30650,293.65770,5.25920,-3.71610,1.30020,2.43380,33.37940,4.76200,4.55500
2019-12-31,1.03480,0.46990,1.09540,100.00000,45.90140,45.90140,42.71990,33.69820,0.05710,0.27520,327.08580,6.34520,-6.80010,1.92280,3.36370,43.49110,4.1622,3.8654
2019-09-30,1.11590,0.45890,0.89240,100.00000,48.32860,48.32860,42.98630,33.15550,0.05720,0.25260,356.27420,5.78940,-7.23100,1.89530,3.13280,44.94950,2.6372,2.4542
2019-06-30,0.92360,0.41050,0.94570,100.00000,45.94650,45.94650,39.75620,40.43480,0.05400,0.23960,375.68960,6.80790,-7.94260,2.18490,4.01320,44.41410,2.769,2.5768
2019-03-31,0.91450,0.43410,1.01210,100.00000,45.70030,45.70030,36.86580,27.67770,0.05400,0.23940,375.94390,4.87420,-5.10130,1.49460,2.75850,40.96770,3.33350,3.17090
2018-12-31,0.86220,0.45140,1.17750,100.00000,44.25380,44.25380,61.71120,46.93660,0.05740,0.27830,323.37050,9.04140,-8.36610,2.69580,4.96010,38.90940,3.7719,3.5002
2018-09-30,0.92160,0.43770,0.99430,100.00000,45.36740,45.36740,38.34300,25.45150,0.05410,0.22590,398.34740,4.42680,-4.64660,1.37710,2.48900,40.18420,3.0639,2.8258
2018-06-30,0.88000,0.45160,1.10760,100.00000,45.26320,45.26320,39.51810,30.23190,0.05090,0.22030,408.61620,5.14240,-4.86880,1.53980,2.82000,38.91380,0.8152,0.605
2018-03-31,0.90700,0.42450,0.94150,100.00000,44.42130,44.42130,39.16640,29.87820,0.05010,0.23230,387.47830,4.49930,-4.94350,1.49620,2.58950,43.37500,2.15230,1.98910
2017-12-31,0.86670,0.44110,1.00850,95.00930,39.34680,39.34680,34.15310,46.34450,0.05390,0.27340,329.17040,7.68930,-7.51000,2.49770,4.29720,40.93940,2.6252,2.4082
2017-09-30,0.84390,0.46100,1.09100,95.20880,40.25720,40.25720,56.67330,35.09800,0.05100,0.25680,350.46030,5.91250,-4.95830,1.79010,3.18680,38.30340,2.436,2.2501
2017-06-30,0.84150,0.41290,0.90940,94.34280,39.91650,39.91650,35.17660,24.20140,0.05360,0.24940,360.93370,3.84630,-3.88760,1.29670,2.25830,37.06510,1.4275,1.238
2017-03-31,0.82330,0.42410,0.95530,95.31470,37.48190,37.48190,32.15940,23.76730,0.05200,0.25550,352.23550,3.70140,-3.51470,1.23570,2.13170,36.22250,0.77730,0.62080
2016-12-31,0.76680,0.44980,1.05940,95.03060,41.94070,41.94070,29.79980,18.53060,0.05350,0.28720,313.37000,3.09410,-2.53490,0.99120,1.70220,33.58170,3.1964,3.016
2016-09-30,0.77720,0.44540,1.03200,94.17580,39.43950,39.43950,35.13520,26.75700,0.04890,0.24330,369.84340,4.07790,-3.44330,1.30720,2.26170,34.26390,2.0164,1.8369
2016-06-30,0.96660,0.39440,0.68740,94.66190,40.95860,40.95860,38.84810,27.81800,0.05050,0.25770,349.18140,3.77110,-4.49380,1.40590,2.28370,33.30640,0.9351,0.7988
2016-03-31,0.91800,0.40490,0.74440,93.18480,42.47430,42.47430,37.87750,26.81640,0.05170,0.28930,311.06580,3.71820,-4.06680,1.38660,2.21270,32.28240,1.29040,1.16680
2015-12-31,0.86520,0.42130,0.82010,93.61820,33.94070,33.94070,19.90430,12.26890,0.05460,0.34370,261.88020,1.86680,-1.82200,0.66960,1.08040,30.63620,2.4456,2.3144
2015-09-30,0.83300,0.41330,0.81800,92.97310,41.74150,41.74150,36.62450,25.86310,0.05450,0.32320,278.46750,3.94150,-3.86620,1.40940,2.31260,32.14560,3.4604,3.3194
2015-06-30,0.80870,0.42080,0.89250,94.63060,41.80650,41.80650,35.90930,24.38870,0.04720,0.25680,350.44780,3.39450,-3.08540,1.15080,1.96600,31.61610,1.392,1.3057
2015-03-31,0.76530,0.43490,1.00600,93.43390,39.35310,39.35310,33.55580,22.62390,0.04890,0.28650,314.11180,3.38660,-2.80960,1.10710,1.91370,30.28780,0.71760,0.63130
2014-12-31,0.73790,0.45300,1.11460,91.16270,45.82520,45.82520,37.24560,29.07910,0.04420,0.27930,322.25300,4.18320,-3.14690,1.28500,2.28800,28.56760,3.3078,3.2088
2014-09-30,0.78020,0.21810,0.61660,91.52880,48.83690,48.83690,46.24510,32.34490,0.06990,0.26620,338.09460,6.12710,-11.06300,2.26090,4.79070,18.59930,1.8481,1.7705
2014-06-30,0.75100,0.23380,0.70960,92.56790,49.17110,49.17110,46.78390,32.37600,0.06430,0.24580,366.22560,6.00120,-9.35990,2.08190,4.59820,17.76640,1.237,1.1676
2014-03-31,0.77030,0.25190,0.72670,93.05930,44.95170,44.95170,42.58670,29.58120,0.06290,0.23590,381.48760,5.49770,-7.11090,1.86060,4.11310,16.47250,0.60090,0.53570
2013-12-31,0.70910,0.27630,0.91440,93.04000,41.50670,41.50670,39.16890,26.66140,0.06500,0.27700,324.89740,5.47640,-5.77240,1.73230,3.96320,15.08260,1.9879,1.9231
2013-09-30,0.93340,0.28980,0.63040,92.47440,49.41370,49.41370,47.81480,34.91900,0.06480,0.21320,422.07900,6.69730,-11.04210,2.26240,4.75620,14.28730,1.4706,1.4096
2013-06-30,1.08090,0.31640,0.60200,91.14630,49.38400,49.38400,47.68620,33.09610,0.07330,0.21450,419.57340,6.96170,-15.87950,2.42600,4.75900,12.85050,1.1424,1.0794
