,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.85110,1.14430,-7.96630,87.97050,20.62190,20.62190,16.48940,13.42060,0.15760,,1.84170,48.86660,-30.32790,-2.99160,2.14670,4.37580,-4.09920,1.7086,1.6369
2022-09-30,0.88440,1.11750,-9.55250,88.89360,26.30910,26.30910,22.25510,14.65370,0.15270,,1.85290,48.57260,-37.85560,-3.18130,2.23110,4.44840,-3.36600,2.4743,2.4445
2022-06-30,0.88890,1.09970,-11.08110,88.52680,26.69640,26.69640,22.90180,16.42860,0.14560,,1.73780,51.79020,-46.51460,-3.38780,2.38590,4.63790,-2.86380,1.1942,1.1691
2022-03-31,0.92740,1.08690,-12.57530,89.25040,21.44100,21.44100,16.90880,12.31840,0.11130,,1.63280,55.11910,-30.27260,-1.95170,1.36490,2.62990,-2.49830,0.69150,0.67730
2021-12-31,0.95100,1.10380,-10.70330,87.63620,18.13730,18.13730,12.90850,8.00650,0.11890,,1.71910,52.35290,-18.07080,-1.34950,0.95850,1.87510,-2.93450,0.4662,0.4235
2021-09-30,1.02750,1.14870,-7.77220,88.56490,24.69980,24.69980,19.43970,13.77930,0.11420,,1.72830,52.07550,-21.27660,-2.12310,1.56720,3.16410,-4.04710,0.9893,0.9608
2021-06-30,0.85610,1.19400,-6.19070,89.31530,16.85480,16.85480,9.55610,9.78180,0.08810,,1.39600,64.46950,-9.03950,-1.10070,0.84820,1.75340,-5.08100,-0.4525,-0.4737
2021-03-31,1.40060,1.19550,-6.14570,87.41420,2.40270,2.40270,-16.47600,-12.35700,0.05470,,1.09660,82.07090,6.72840,0.92060,-0.68240,-1.31520,-5.81630,-0.61510,-0.62590
2020-12-31,1.72850,1.16610,-7.05720,84.04490,-21.91010,-21.91010,-39.21350,-25.16850,0.05310,,1.15430,77.96630,15.14130,1.91470,-1.34290,-2.51540,-5.35320,-0.4982,-0.5271
2020-09-30,1.99390,1.14460,-7.95300,84.56590,1.17900,1.17900,-12.21870,-8.46730,0.05450,,1.04830,85.85210,6.14100,0.69470,-0.47290,-0.88820,-4.75440,-0.361,-0.3899
2020-06-30,1.98480,1.14120,-8.11930,83.15600,-53.54610,-53.54610,-78.72340,-76.24110,0.03290,,0.68200,131.96810,33.46240,3.71290,-2.52250,-4.72340,-4.65550,2.9545,2.889
2020-03-31,1.41850,1.10570,-10.50440,87.55210,3.54170,3.54170,-0.88540,0.93750,0.12160,,1.72820,52.07810,-1.99120,-0.15970,0.11400,0.21050,-3.26170,0.46070,0.41790
2019-12-31,0.72900,1.06310,-16.93430,86.82990,14.68970,14.68970,10.25750,7.38710,0.15840,,1.87870,47.90630,-37.28810,-1.61040,1.17670,2.35170,-1.69180,0.6682,0.6152
2019-09-30,0.77760,1.02630,-39.22110,87.05640,21.67020,21.67020,17.57830,12.02510,0.15900,,2.00750,44.83090,-145.72870,-2.73480,1.92470,3.83190,-0.70240,1.8782,2.2232
2019-06-30,0.79680,1.00300,-339.52170,86.55390,19.24320,19.24320,14.57330,10.46700,0.16410,,2.08740,43.11590,-1134.78300,-2.49670,1.72390,3.36820,-0.07990,0.9921,0.9126
2019-03-31,0.67140,0.98550,68.19440,86.47910,14.15610,14.15610,9.89110,7.16880,0.14840,,2.00000,45.00000,147.22220,-1.53860,1.07050,2.13770,0.37020,1.23390,1.15590
2018-12-31,0.75830,0.92870,13.05020,85.62060,15.82170,15.82170,11.62590,9.79020,0.16350,,1.98960,45.23600,40.32260,-2.27590,1.60770,2.87580,1.89270,1.0681,1.002
2018-09-30,0.84330,0.92870,13.05860,85.30850,17.08830,17.08830,13.00490,7.19040,0.15930,,2.06700,43.54190,28.27590,-1.65940,1.15960,2.01500,1.95310,1.2909,1.2133
2018-06-30,0.77540,0.93110,13.52680,84.63550,17.72150,17.72150,13.00740,9.47180,0.16380,,2.17780,41.32690,38.75000,-2.18950,1.55160,2.67110,1.87610,0.994,0.933
2018-03-31,0.80710,0.78960,3.78080,84.57090,13.45230,13.45230,10.65570,7.76280,0.14540,,2.11630,42.52650,9.33030,-1.85350,1.14310,1.96270,5.51270,0.76180,0.73040
2017-12-31,0.81520,0.79500,3.90420,83.84910,12.52420,12.52420,8.75240,35.25150,0.14530,,1.98660,45.30460,43.16970,-8.27480,5.13070,8.85170,5.32730,0.7655,0.699
2017-09-30,0.93700,0.81930,4.56700,83.73980,15.87760,15.87760,12.24300,7.55620,0.14700,,2.24120,40.15780,11.04970,-1.76800,1.12490,1.99700,4.51200,0.7852,0.7291
2017-06-30,1.00500,0.81270,4.36960,84.24860,15.60690,15.60690,12.04240,7.22540,0.14550,,2.25410,39.92780,9.96700,-1.68660,1.05820,1.86720,4.65820,0.8945,0.867
2017-03-31,1.05190,0.80500,4.15350,85.86500,11.44520,11.44520,3.48100,2.47890,0.13270,,2.08120,43.24370,3.00750,-0.54380,0.33600,0.58650,4.84180,0.15110,0.12390
2016-12-31,1.32530,0.52950,1.13110,71.15200,15.48890,15.48890,14.42400,-38.43180,0.03940,,1.34510,66.91190,-6.78750,8.51200,-1.51460,-3.19340,17.75970,1.0543,0.7735
2016-09-30,1.16400,0.60360,1.55050,82.59240,14.19390,14.19390,8.46280,10.01610,0.07220,0.63980,1.60120,56.20780,1.37110,-1.85530,0.34400,0.54350,19.67600,0.8851,0.7114
2016-06-30,1.10030,0.60940,1.58930,82.10260,14.00000,14.00000,8.35900,12.25640,0.07540,0.76030,1.69270,53.16920,1.57580,-2.01210,0.38680,0.61550,19.23660,1.0151,0.7606
2016-03-31,1.07580,0.61420,1.62300,82.21320,9.84940,9.84940,4.05560,17.90270,0.06710,0.65460,1.62070,55.53300,3.07820,-3.69580,0.74260,1.18760,18.80940,1.02730,0.77270
2015-12-31,1.05810,0.63270,1.75650,-27.98130,53.00080,53.00080,48.48010,-63.44510,-0.05010,-3.71490,-1.16420,-77.30320,4.72190,-5.16450,1.09670,1.73460,18.07970,1.3754,1.1021
2015-09-30,1.03440,0.65750,1.96780,64.87050,22.90160,22.90160,18.30740,9.63730,0.11160,2.36510,2.70060,33.32640,5.46330,-4.52510,1.09130,1.87110,15.73910,1.0406,1.8687
2015-06-30,1.03090,0.67230,2.08050,64.51060,14.61330,14.61330,10.67760,5.50990,0.11220,2.44580,2.65640,33.88090,3.29450,-2.59120,0.64110,1.07960,15.40180,1.0973,0.8765
2015-03-31,1.08310,0.69580,2.31910,61.44670,18.85340,18.85340,12.04310,5.77150,0.10030,2.38000,2.48000,36.29090,3.24530,-2.18720,0.57900,0.98720,14.04370,0.86850,6.27690
2014-12-31,1.10720,0.69620,2.32070,63.40170,16.08910,16.08910,10.36070,5.58700,0.10820,2.56190,2.56160,35.13440,3.37290,-2.24670,0.60860,1.02470,14.36430,1.2398,0.9967
2014-09-30,1.12800,0.70080,2.36860,61.61120,16.83060,16.83060,11.87600,6.92130,0.10040,2.90000,2.69250,33.42660,3.93680,-2.62750,0.71040,1.17800,14.47410,1.1733,0.964
2014-06-30,1.14010,0.70440,2.40660,61.71730,16.31050,16.31050,12.48590,7.83650,0.10070,2.84400,2.73540,32.90210,4.46600,-2.93510,0.80010,1.32000,14.46490,1.1117,1.0143
2014-03-31,1.15560,0.72200,2.60740,59.88150,14.30390,14.30390,8.76010,5.20520,0.08950,2.38790,2.61680,34.39270,2.78840,-1.64740,0.46980,0.77510,13.55080,0.44780,0.31680
2013-12-31,1.11250,0.73320,2.76030,61.97500,3.36740,3.36740,4.08630,0.98370,0.09950,2.53790,2.85110,31.56640,1.45000,-0.80440,0.23340,0.38680,13.02980,3.4937,3.2121
2013-09-30,1.16890,0.84500,5.61380,60.22870,14.57740,14.57740,11.14740,8.16660,0.09160,2.52330,2.62210,34.32420,7.95140,-2.16260,0.75950,1.23210,7.77950,1.2574,1.1076
2013-06-30,,,,58.61340,16.97480,16.97480,10.12610,6.51260,,,,,,,,,,1.5181,1.3096
2013-03-31,,,,59.65530,11.13570,11.13570,3.35840,1.50240,,,,,,,,,,0.56030,0.37460
2012-12-31,,,,,,,,,,,,,,,,,,0,0
2012-09-30,,,,,,,,,,,,,,,,,,0,0
2011-12-31,,,,,,,,,,,,,,,,,,0,0
2010-12-31,,,,,,,,,,,,,,,,,,0,0
