,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.24390,0.40030,0.92660,33.18070,19.46150,19.46150,22.13160,17.33880,0.14850,1.08730,1.21570,74.03310,8.45060,-83.10090,2.56940,5.06770,27.26460,3.0746,2.8001
2022-06-30,1.19550,0.40710,1.04880,32.46960,17.88230,17.88230,19.03270,14.08470,0.14380,1.08430,1.15700,77.78620,6.94340,-46.38270,2.02870,4.11660,27.00020,1.1523,0.9208
2022-03-31,1.21240,0.39880,1.01670,32.25880,15.17430,15.17430,17.96800,13.53870,0.13220,1.03690,1.17660,76.49360,5.95240,-48.33760,1.79000,3.57880,27.98740,0.05210,-0.19820
2021-12-31,1.30060,0.42550,1.01860,31.43120,17.53490,17.53490,20.71160,16.49530,0.13430,1.15530,1.26750,71.00610,7.49400,-67.79500,2.23670,4.30500,28.09870,3.7918,3.4053
2021-09-30,1.28830,0.44200,1.17310,32.18460,18.58850,18.58850,20.06370,14.83540,0.13200,1.15680,1.17050,76.89250,7.02770,-51.20680,1.98310,3.92180,26.31320,1.6176,1.3228
2021-06-30,1.41390,0.46990,1.17330,31.84610,18.14260,18.14260,21.35560,16.23520,0.13770,1.27100,1.26790,70.98430,7.94970,-53.97240,2.26290,4.21370,26.36440,1.8232,1.559
2021-03-31,1.42550,0.46900,1.16850,32.46980,17.84950,17.84950,22.01330,16.87960,0.13300,1.23920,1.26650,71.06100,7.93340,-57.27850,2.27810,4.21220,26.27700,1.38820,1.09440
2020-12-31,1.46770,0.47880,1.25820,32.85390,18.83150,18.83150,19.21350,15.26970,0.13780,1.33130,1.30360,69.03710,7.75150,-75.43760,2.13510,4.04020,25.53100,3.9008,3.5499
2020-09-30,1.64110,0.49130,1.21350,30.96060,16.81420,16.81420,14.72360,9.72170,0.12290,1.14410,1.13360,79.39210,4.26470,-92.20780,1.23070,2.16940,26.09810,1.4119,1.0761
2020-06-30,1.63320,0.48920,1.20270,29.43690,13.61510,13.61510,16.30330,14.45770,0.11760,1.11000,1.11310,80.85200,5.98390,-156.33000,1.72790,3.05640,26.17050,2.1066,1.7837
2020-03-31,1.30130,0.39250,0.90190,34.60950,19.98110,19.98110,22.86420,18.68130,0.14740,1.20720,1.13570,79.24850,8.98960,-161.08330,2.79680,5.46130,25.45420,1.30960,1.12550
2019-12-31,1.34290,0.37260,0.85540,33.36140,17.84960,17.84960,18.61840,16.44900,0.16180,1.43140,1.26730,71.01620,8.49990,-269.03550,2.70970,5.33270,26.30570,3.5503,3.0975
2019-09-30,1.31500,0.37750,1.01670,33.54610,19.28240,19.28240,21.64870,17.87370,0.15120,1.31230,1.19820,75.11230,9.00250,-181.69790,2.74190,5.60410,25.61950,2.0575,1.8323
2019-06-30,1.19470,0.32280,0.89610,34.06900,19.06310,19.06310,21.44330,16.67210,0.16010,1.32480,1.24790,72.12270,8.61570,-107.60720,2.69440,5.83470,25.10050,2.3014,2.0775
