,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-10-31,0.88490,0.28290,0.62610,32.94370,-4.30700,-4.30700,-4.53560,-3.86230,0.13780,1.02270,1.03250,87.16430,-1.52690,-17.14610,-0.53220,-1.09500,15.54180,2.2974,1.72
2022-07-31,0.91650,0.30660,0.67170,34.46990,6.70410,6.70410,6.67530,5.88400,0.12050,0.82010,0.99670,90.29780,1.97930,26.38710,0.70910,1.37240,16.04350,0.9489,0.441
2022-04-30,0.90000,0.30200,0.65600,32.37000,3.08360,3.08360,4.11140,3.72410,0.11920,0.85310,0.99060,90.85800,1.21470,17.88270,0.44390,0.84780,15.84450,0.2854,-0.1574
2022-01-31,0.94480,0.33540,0.69100,33.67330,6.43590,6.43590,7.08230,7.36960,0.12030,0.86770,0.96050,93.69780,2.51900,46.21620,0.88640,1.67420,15.66540,-0.05740,-0.43550
2021-10-31,0.91260,0.33080,0.67180,32.89370,4.75930,4.75930,36.55150,34.71580,0.12750,1.09400,0.92960,96.81670,12.75420,370.53700,4.42470,8.53480,15.45710,2.2357,1.7103
2021-07-31,0.95440,0.42250,0.95030,34.53680,4.08870,4.08870,5.88660,5.68360,0.12220,1.14540,0.96990,92.79250,2.29600,-20.51280,0.69460,1.32600,13.06270,0.8375,0.3894
2021-04-30,0.92900,0.42540,0.95280,34.13430,4.14930,4.14930,4.29850,3.86570,0.12380,1.41580,0.98810,91.08810,1.55920,-10.99320,0.47850,0.89600,12.73850,0.6088,0.2714
2021-01-31,0.89630,0.42390,0.96500,33.48460,3.24890,3.24890,3.00010,3.26360,0.12780,1.62840,1.00250,89.77610,1.37150,-8.10610,0.41720,0.79020,12.50690,0.73230,0.42810
2020-10-31,0.88360,0.43090,0.99040,30.60490,2.01170,2.01170,1.73420,2.17810,0.13340,1.87060,1.00390,89.65040,0.97540,-5.19180,0.29070,0.55510,12.50660,0.5826,0.1736
2020-07-31,0.98950,0.45860,1.20060,30.32570,0.17610,0.17610,-0.49880,0.13200,0.11700,1.36900,1.02450,87.84770,0.05550,-0.43480,0.01550,0.03010,12.60190,1.1322,0.7139
2020-04-30,0.89040,0.41540,1.02810,31.85220,-13.87920,-13.87920,-15.16060,-13.66280,0.11020,1.17810,0.96300,93.45980,-5.04980,38.81800,-1.50600,-2.95210,12.68180,0.0764,-0.314
2020-01-31,0.78660,0.35190,0.80450,32.83930,5.00790,5.00790,5.43960,4.79210,0.13300,1.82300,1.07650,83.60200,1.93120,-16.08700,0.63740,1.25160,13.33570,-0.06010,-0.14070
2019-10-31,0.79040,0.35390,0.80590,33.16700,6.37560,6.37560,10.02080,6.65280,0.13930,2.02010,1.10510,81.44280,2.79900,-21.00660,0.92660,1.80830,13.25270,1.0033,0.6276
2019-07-31,0.88100,0.37290,0.72010,33.93380,-1.05310,-1.05310,-3.67190,-0.37410,0.14220,2.15160,1.10490,81.45770,-0.15360,4.32000,-0.05320,-0.09630,13.41990,0.9322,0.4913
2019-04-30,0.93300,0.36160,0.68230,32.23780,6.06990,6.06990,6.15380,5.86010,0.13980,2.22040,1.08400,83.02660,2.29700,-1821.73900,0.81930,1.46640,13.55200,0.7179,0.289
2019-01-31,0.93760,0.35930,0.67370,31.06050,6.03730,6.03730,8.67210,2.34340,0.14590,2.26390,1.13240,79.47840,0.96540,17700.00000,0.34200,0.61860,13.30550,0.27270,-0.13560
