,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.49950,2.65660,38.49070,29.68340,0.00830,3.81570,4.28540,0.25800,1.69190,98.19230,-6.1363,-6.1363
2022-06-30,0.50180,2.65480,36.68870,27.67270,0.00770,3.41450,3.81380,0.22520,1.50590,97.57410,22.1863,22.1863
2022-03-31,0.50630,2.71690,34.39870,26.81680,0.00740,3.27270,3.64180,0.20940,1.43010,97.34220,-14.06140,-14.06140
2021-12-31,0.50580,2.42630,41.43720,32.49960,0.00820,4.01060,4.37970,0.27780,1.74730,99.90220,28.1323,28.1323
2021-09-30,0.50720,2.70070,45.26530,36.02040,0.00830,4.57950,5.00570,0.31100,1.98590,98.14380,7.6417,7.6417
2021-06-30,0.51150,2.72770,46.07800,35.08730,0.00890,4.71230,5.15600,0.32430,2.03780,95.84040,4.2746,4.2746
2021-03-31,0.49890,2.95590,48.58880,38.02920,0.00990,5.73950,6.32390,0.38760,2.55290,92.73280,-14.24930,-14.24930
2020-12-31,0.50210,2.54980,48.60360,37.46800,0.00920,4.86820,5.37170,0.35850,2.16310,91.60850,-9.0609,-9.0609
2020-09-30,0.50730,2.65610,41.08710,31.47260,0.00880,3.91740,4.30170,0.29090,1.71600,88.94190,-4.7574,-4.7574
2020-06-30,0.54520,2.89590,25.04200,18.87000,0.00700,1.99950,2.20260,0.14590,0.80610,86.77830,26.6653,26.6653
2020-03-31,0.53400,2.94210,16.04920,12.15440,0.00640,1.23920,1.36820,0.09130,0.51110,85.74340,-38.72960,-38.72960
2019-12-31,0.52730,2.43130,40.12240,29.82090,0.01010,3.63580,4.09640,0.31700,1.54120,84.73680,25.8112,25.8112
2019-09-30,0.52860,2.76710,41.05920,30.98250,0.01000,3.84770,4.29780,0.32840,1.61910,84.28160,4.5177,4.5177
2019-06-30,0.52320,2.65210,41.09720,33.30680,0.01010,4.08600,4.59810,0.35390,1.74830,82.31940,-4.6139,-4.6139
2019-03-31,0.52820,2.85480,40.65800,31.68160,0.01010,3.94210,4.46300,0.33530,1.66670,80.09840,-24.44830,-24.44830
2018-12-31,0.52370,2.64470,36.36030,27.32060,0.00930,3.06620,3.49510,0.26940,1.31210,78.30690,0.5182,0.5182
2018-09-30,0.51060,2.57770,40.62410,30.20680,0.01010,3.62470,4.10260,0.32040,1.58390,77.87190,3.8876,3.8876
2018-06-30,0.51480,2.57190,39.82970,29.68770,0.01020,3.59390,4.09810,0.32110,1.56740,76.60430,10.2579,10.2579
2018-03-31,0.51720,2.54780,39.86990,30.80550,0.01020,3.78560,4.32000,0.33380,1.64180,75.24750,-10.09020,-10.09020
2017-12-31,0.52630,2.41880,35.65600,16.30740,0.00910,1.84300,2.10230,0.16700,0.78400,74.64840,3.5414,3.5414
2017-09-30,0.55200,2.47880,39.60870,25.95540,0.00940,2.89780,3.29150,0.26270,1.16740,74.46760,-1.432,-1.432
2017-06-30,0.55620,2.49590,39.76590,26.73760,0.00960,3.02430,3.43540,0.27420,1.20690,73.45430,1.0775,1.0775
