,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-10-31,0.75560,0.55620,1.33250,21.36970,2.45920,2.45920,1.53810,1.16380,0.68410,3.10290,16.93810,5.31350,4.02860,6.72610,0.80020,1.78800,13.86730,1.2629,0.1594
2022-07-31,0.71890,0.56440,1.37740,20.91920,2.75420,2.75420,2.71670,2.11040,0.71070,3.74460,18.53290,4.85620,7.59410,12.96490,1.50180,3.30820,13.46230,1.8442,0.9201
2022-04-30,0.75600,0.58150,1.45200,21.63230,3.37440,3.37440,1.82060,1.48880,0.90850,4.75020,23.63540,3.80780,7.09040,12.35850,1.35670,2.96730,13.04580,1.50340,0.50610
2022-01-31,0.74580,0.57600,1.41730,22.17680,2.92000,2.92000,2.16350,1.70960,0.67330,3.79170,18.07880,4.97820,6.03460,10.51560,1.15920,2.55870,12.96970,1.8385,1.06
2021-10-31,0.79650,0.57180,1.44570,21.66040,2.72440,2.72440,1.76400,1.51600,0.63940,3.31900,16.64580,5.40680,5.11010,8.88120,0.97330,2.18820,12.86040,2.2346,1.3545
2021-07-31,0.79040,0.57660,1.52890,21.36230,2.64820,2.64820,1.87800,1.47400,0.65380,3.80890,16.15600,5.57070,5.06590,8.99160,0.96780,2.14490,12.44360,1.168,0.6324
2021-04-30,0.82480,0.58430,1.53040,22.64270,1.94920,1.94920,0.43340,0.33900,0.84610,4.72100,21.33160,4.21910,1.54950,2.76330,0.29300,0.64410,12.32180,2.96840,1.89870
2021-01-31,0.81370,0.56690,1.40450,22.92350,-0.51400,-0.51400,-0.35790,-0.25050,0.63160,3.35420,17.25830,5.21490,-0.79580,-1.38760,-0.15620,-0.34460,12.59890,1.1657,0.2253
2020-10-31,0.83430,0.54280,1.34610,22.95190,2.66460,2.66460,2.80590,2.12290,0.61330,3.06250,18.46150,4.87500,6.29230,10.61120,1.30400,2.87680,13.11230,0.6837,-0.1752
2020-07-31,0.84280,0.55850,1.37670,22.75580,2.68950,2.68950,3.47990,2.68620,0.64130,3.71230,19.97970,4.50460,8.37330,14.41630,1.72480,3.69720,12.63610,1.4895,0.6731
2020-04-30,0.82990,0.57020,1.44410,24.29660,3.19140,3.19140,3.81480,2.91700,0.88510,4.99510,26.77130,3.36180,12.99310,23.27190,2.58190,5.58420,11.98970,5.38710,4.54570
2020-01-31,0.76460,0.58550,1.64190,22.10570,1.85860,1.85860,1.34980,1.13180,0.63840,3.17700,16.93610,5.31410,3.72100,7.19930,0.70490,1.54230,10.87940,0.7777,-0.1592
2019-10-31,0.78090,0.58350,1.56320,22.07760,0.90800,0.90800,0.79360,0.94020,0.61630,2.94090,17.48380,5.14760,1.63840,3.13180,0.31500,0.68240,10.88280,0.9453,-0.0073
2019-07-31,0.75960,0.58370,1.55820,21.87230,1.98450,1.98450,1.34900,1.05440,0.63350,3.37220,17.97580,5.00670,3.31680,6.44220,0.64550,1.38090,10.78930,1.2534,0.5702
2019-04-30,0.74860,0.58480,1.57860,22.19540,2.41870,2.41870,2.65500,2.07240,0.84050,4.32130,23.87890,3.76900,8.94280,17.65390,1.72160,3.71330,10.67840,2.81740,1.84350
2019-01-31,0.75680,0.60640,1.94370,22.37940,1.37530,1.37530,1.12070,0.91570,0.74200,3.20700,17.80050,5.05600,3.20360,7.19200,0.65850,1.26090,9.81830,0.4647,-0.356
2018-10-31,0.72680,0.60480,1.97350,21.83900,2.32470,2.32470,1.43370,1.13900,0.72970,3.07120,18.43110,4.88300,4.04730,9.27150,0.80750,1.59940,9.53630,0.5761,-0.3625
2018-07-31,0.73010,0.62290,1.98040,21.55350,1.95970,1.95970,2.24170,1.81340,0.75800,3.52120,18.82660,4.78050,6.82750,16.51830,1.35560,2.57460,9.20700,1.2506,0.3271
2018-04-30,0.76330,0.63470,2.06040,22.01100,2.72790,2.72790,6.98270,5.37090,1.03180,4.60610,23.82940,3.77680,29.07360,69.20440,5.51950,10.62110,8.71990,2.79910,1.95860
2018-01-31,0.78310,0.63530,2.25760,22.93910,1.73780,1.73780,-0.33180,2.69830,0.85080,3.73320,19.33350,4.65510,12.33890,29.58330,2.29050,4.49980,7.93680,0.3555,-0.3405
2017-10-31,0.84760,0.67870,2.39040,22.40440,2.69200,2.69200,2.17670,1.43070,0.74940,3.11290,19.11090,4.70940,6.26310,18.85600,1.05060,2.01250,7.04990,-0.2541,-0.9348
2017-07-31,0.87340,0.68070,2.28650,21.69800,2.47850,2.47850,1.95670,1.27910,0.75400,3.39600,17.96680,5.00920,5.71290,17.89900,0.95900,1.82390,6.88020,1.1778,0.3934
2017-04-30,0.76210,0.65390,2.19140,22.05870,1.73900,1.73900,1.22640,0.83510,1.01360,4.44740,26.02940,3.45760,4.84110,15.12990,0.82960,1.67560,6.80910,2.49620,1.70270
2017-01-31,0.80400,0.63800,2.09790,22.19410,3.16540,3.16540,2.64750,1.82900,0.75640,3.27430,16.74410,5.37500,7.46650,19.83370,1.37240,2.70300,7.26190,0.8329,0.164
2016-10-31,0.73650,0.62000,2.08690,22.23140,2.68480,2.68480,2.21790,1.47230,0.72740,2.96060,17.84750,5.04270,5.77680,15.75480,1.04910,2.19520,7.09850,0.4648,-0.5595
2016-07-31,0.68370,0.59360,1.88150,22.08920,2.50330,2.50330,2.06660,1.44170,0.76640,3.38190,20.18620,4.45850,5.72640,13.43760,1.09050,2.32730,6.99260,1.0094,0.0341
