,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-10-31,1.19710,1.64220,-2.60440,33.29780,3.93540,3.93540,2.67900,0.64740,0.49980,0.79030,-1.19680,-1.19680,0.32780,0.76860,-21.06060,3.7173,3.0643
2022-07-31,1.11300,1.41540,-3.42150,33.23990,15.39160,15.39160,14.43080,10.85680,0.58800,0.94900,-35.44180,-35.44180,6.40340,14.72370,-13.37880,4.9115,4.3691
2022-04-30,1.17310,1.31400,-4.20200,34.02510,13.95660,13.95660,12.92950,9.82710,0.47580,0.77120,-33.92470,-33.92470,4.69180,10.65350,-10.54760,4.49700,3.99400
2022-01-31,1.01990,1.25290,-5.13430,32.92880,8.66450,8.66450,7.56330,5.62790,0.47800,0.81300,-25.06230,-25.06230,2.70390,6.33830,-7.18810,1.2033,0.3932
2021-10-31,1.19270,1.07070,-16.64530,33.10500,12.16950,12.16950,11.19640,8.24240,0.46390,0.91880,-120.30460,-120.30460,3.83810,8.50030,-2.29740,3.4866,2.8936
2021-07-31,1.15780,1.00800,-138.92000,33.77580,15.27020,15.27020,14.48680,10.90680,0.55810,1.05400,-1724.57100,-1724.57100,6.10880,13.84910,-0.25040,3.539,3.0042
2021-04-30,1.17140,0.98010,52.23370,33.28970,13.28720,13.28720,12.42320,9.46690,0.47700,0.88630,521.57300,521.57300,4.53320,10.38430,0.62240,6.23890,5.68750
2021-01-31,1.19200,0.93500,15.15660,31.78080,7.50330,7.50330,6.50390,4.79050,0.43460,0.85570,68.05850,68.05850,2.09270,4.42430,1.96580,-0.5001,-1.2933
2020-10-31,1.37580,0.83870,5.35080,32.72220,9.74940,9.74940,4.00740,3.08840,0.43850,0.95530,16.98990,16.98990,1.36010,2.73970,5.41620,-0.3748,-0.9678
2020-07-31,1.29700,0.82260,5.00600,34.07810,14.49340,14.49340,13.69130,10.31430,0.52740,1.30130,64.92190,64.92190,5.46340,11.51790,5.76190,9.7207,9.2396
2020-04-30,1.19650,0.92170,12.70630,33.10290,10.11940,10.11940,9.07750,6.77510,0.42930,0.92150,77.91380,77.91380,2.91720,6.10060,2.27280,5.88620,5.48550
2020-01-31,1.00900,0.89480,9.79010,31.08500,5.97740,5.97740,4.83560,3.17590,0.40600,0.83810,25.86210,25.86210,1.29210,2.72150,2.58450,0.1829,-0.4034
2019-10-31,1.03980,0.87130,7.26040,32.43620,8.96020,8.96020,7.94230,6.01560,0.43730,0.85650,42.67700,42.67700,2.63810,5.49420,3.20050,0.7513,0.2593
2019-07-31,1.06070,0.86230,6.64660,32.10750,11.34240,11.34240,10.53740,7.95540,0.51580,1.03800,63.48490,63.48490,4.11840,8.73920,3.40210,1.9064,1.5138
2019-04-30,1.08740,0.83640,5.42340,31.45820,7.98710,7.98710,7.07400,5.87900,0.41050,0.80930,32.32390,32.32390,2.42020,5.28870,4.07040,2.68130,2.45420
2019-01-31,0.98140,0.79790,4.45200,31.30510,-3.62390,-3.62390,-4.63380,-5.24730,0.45340,0.85570,-22.58510,-24.63330,-2.38500,-4.56330,4.54930,-0.797,-1.1628
