,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.16840,0.40860,0.69080,31.17510,7.00330,7.00330,0.50100,0.70410,0.16160,0.26610,0.26610,0.11380,0.15740,46.65440,0.9761,0.7302
2022-09-30,1.13530,0.40350,0.67650,39.57970,19.34260,19.34260,20.46340,17.64210,0.16660,6.81130,6.81130,2.93980,4.06270,46.12860,1.2356,1.0471
2022-06-30,1.04540,0.42730,0.74610,41.14590,19.80250,19.80250,20.36420,18.07940,0.17200,7.55370,7.55370,3.10880,4.32600,42.89570,0.241,0.0393
2022-03-31,1.04630,0.45310,0.82850,45.54100,25.05950,25.05950,25.16210,20.30370,0.17360,9.10540,9.10540,3.52400,4.97980,39.48920,2.03720,1.76980
2021-12-31,0.95060,0.48110,0.97120,32.03580,8.19490,8.19490,7.14530,7.87920,0.17290,3.83250,3.83250,1.36240,1.98880,35.69950,-0.8873,-1.251
2021-09-30,1.16980,0.49130,1.01170,43.78820,23.45510,23.45510,22.19510,19.36360,0.17510,9.46200,9.46200,3.39040,4.81290,34.57400,0.1818,-0.1862
2021-06-30,1.22610,0.51850,1.12710,45.27200,25.16600,25.16600,21.70850,18.42900,0.17920,9.75930,9.75930,3.30240,4.69950,31.32400,-0.1382,-0.3807
2021-03-31,1.26950,0.53560,1.20760,45.99530,27.35980,27.35980,28.40180,23.82590,0.17850,13.24670,13.24670,4.25370,6.15150,29.05850,1.70590,1.52810
2020-12-31,1.25060,0.58830,1.47390,37.31370,14.36150,14.36150,7.62170,8.15950,0.16920,4.89960,4.89960,1.38020,2.01740,24.98390,-0.2922,-0.6203
2020-09-30,1.23760,0.60070,1.55300,39.90100,20.43100,20.43100,13.38580,12.27500,0.16660,7.64490,7.64490,2.04540,3.05230,23.38940,2.7697,2.5298
2020-06-30,1.12300,0.62100,1.69200,40.73620,22.08630,22.08630,16.84380,11.71380,0.16540,7.71520,7.71520,1.93730,2.92410,21.16650,2.2916,1.98
