,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.89770,4.69440,-1.41030,27.91510,14.27740,14.27740,13.23060,8.63620,0.35020,4.01780,1.02440,87.85400,-6.62640,-4.72160,3.23860,24.48040,-11.56940,1.0858,1.0063
2022-09-30,0.97280,4.04190,-1.34990,29.03710,15.81940,15.81940,14.74280,9.68900,0.35800,3.93530,1.07770,83.51380,-7.20020,-5.25920,3.74650,21.90240,-11.66830,0.5818,0.5239
2022-06-30,0.97030,3.85180,-1.36720,28.18230,13.96220,13.96220,12.93010,9.20300,0.35190,4.20300,1.09380,82.28500,-7.11950,-5.10040,3.51050,20.30340,-11.63260,0.8419,0.7776
2022-03-31,1.25660,3.77770,-1.37040,29.46690,15.40720,15.40720,14.32340,9.10960,0.28940,3.84660,1.04660,85.99300,-7.17190,-5.07550,2.99280,19.92100,-11.64140,1.17840,1.10830
2021-12-31,1.32240,1.76590,-2.31330,29.11180,13.89750,13.89750,12.52450,7.87340,0.29070,4.06750,1.10430,81.50180,-9.86010,-5.92730,2.52460,7.55180,-7.39760,0.6358,0.5412
2021-09-30,1.00190,2.52330,-1.66800,29.28180,14.97240,14.97240,14.00550,9.14360,0.34570,4.07640,1.12530,79.98070,-11.50230,-6.97850,3.61920,17.52200,-7.75660,0.8304,0.758
2021-06-30,0.99480,2.55000,-1.74860,29.04620,15.15810,15.15810,14.37450,8.80840,0.34090,3.90190,1.15870,77.67090,-11.42600,-6.86970,3.49080,17.71030,-7.77180,1.2415,1.1483
2021-03-31,0.99230,2.59120,-1.73020,29.90020,14.93550,14.93550,13.93780,9.03760,0.32440,3.48250,1.09090,82.50000,-10.50430,-6.36990,3.35080,16.71420,-7.80940,1.34890,1.24740
2020-12-31,0.97300,2.81840,-1.75640,28.97220,12.59660,12.59660,11.36560,7.18580,0.32610,3.76480,1.10960,81.11080,-8.21800,-4.93630,2.60500,14.94380,-7.83340,0.7141,0.5505
2020-09-30,0.99680,2.71390,-1.73800,29.95720,13.89230,13.89230,12.63770,8.13950,0.31200,3.43180,1.10480,81.46270,-8.90550,-5.46740,2.96000,15.26340,-8.03550,0.7954,0.7108
2020-06-30,1.10930,2.41890,-1.71380,29.41570,13.73390,13.73390,12.34730,7.39520,0.29010,3.39900,1.05720,85.12710,-7.21680,-4.59350,2.53810,10.23960,-8.47840,1.5288,1.446
2020-03-31,1.02970,3.17020,-1.47640,30.24280,11.09240,11.09240,11.02500,5.56300,0.31140,3.45410,1.02700,87.63320,-4.71520,-3.17910,2.12100,10.23300,-9.89200,0.36710,0.27710
2019-12-31,1.05280,0.00220,0.01750,28.81000,13.00330,13.00330,13.03310,6.50160,0.34610,4.18040,1.17200,76.79390,11.38500,270.21280,2.62210,11.35960,,1.0482,0.9397
2019-09-30,,,,29.42950,14.54880,14.54880,15.21280,9.56840,,,,,,,,,,0.8405,0.7596
2019-06-30,,,,29.36440,14.35390,14.35390,14.77170,9.19130,,,,,,,,,,0.8173,0.7366
2019-03-31,,,,29.05510,13.38280,13.38280,13.70530,8.80360,,,,,,,,,,0.68580,0.62110
2018-12-31,,,,,,,,,,,,,,,,,,0,0
