,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.27730,0.56300,1.50200,30.76060,13.32750,13.32750,11.05380,8.45460,0.15320,1.04560,1.81330,49.63280,4.23660,-4.06750,1.29570,1.85140,72.77440,4.7554,3.9743
2022-09-30,1.30350,0.58250,1.59160,33.95690,14.21090,14.21090,11.89160,9.16310,0.14130,0.89310,1.59780,56.32830,4.42290,-3.88090,1.29540,1.84670,68.32570,3.51970,2.96220
2022-06-30,2.05600,0.52410,1.29570,19.11570,19.06610,19.06610,2.82170,3.07630,0.16140,1.52960,1.78850,50.32090,1.45490,-6.39420,0.49690,0.69250,68.97510,6.8516,6.3826
2022-03-31,1.52210,0.40980,0.90870,28.34770,18.25490,18.25490,10.62040,8.51650,0.18130,1.25650,1.73350,51.91680,3.87930,-15.56720,1.54390,2.28970,69.89730,4.1797,3.8231
2021-12-31,1.50410,0.41620,0.96390,32.86600,17.54770,17.54770,12.82030,10.13450,0.17080,1.11280,1.87300,48.05120,4.42200,-15.05610,1.73130,2.58160,68.24730,4.4563,4.1283
2021-09-30,1.71520,0.42410,0.77200,33.44380,16.78740,16.78740,15.19460,11.98990,0.18590,1.10580,1.78360,50.45920,5.30770,-15.40810,2.23090,3.05670,66.18560,3.24360,2.93440
2021-06-30,1.81390,0.43890,0.78260,28.45730,17.99860,17.99860,16.58430,12.75090,0.19460,1.35470,1.81300,49.64130,6.00180,-15.95070,2.48250,3.36740,65.14870,5.3608,4.856
2021-03-31,1.66270,0.47010,0.91230,27.58810,17.26250,17.26250,15.99810,12.62980,0.18880,1.42920,1.76840,50.89240,6.38830,-11.21730,2.38510,3.38520,57.40090,3.9908,3.725
2020-12-31,1.49660,0.48110,1.01280,26.19480,15.74390,15.74390,16.93750,13.14080,0.17210,1.34590,1.87800,47.92210,6.29770,-9.59670,2.26220,3.26820,55.17690,4.6705,5.1837
2020-09-30,1.46310,0.51890,1.21360,26.12850,14.67990,14.67990,12.78960,9.89940,0.16330,1.32890,1.73650,51.82700,4.89150,-6.19060,1.61790,2.35340,50.80940,5.65930,5.38660
2020-06-30,1.59920,0.55080,1.35570,25.23290,14.07070,14.07070,11.54200,9.21800,0.15890,1.20310,1.70440,52.80510,4.66730,-5.36800,1.46480,2.09680,48.55290,6.0053,5.6272
2020-03-31,1.49210,0.56210,1.44800,25.27360,14.10640,14.10640,12.26650,9.91920,0.18180,1.37550,1.70270,52.85670,5.82440,-6.79790,1.80390,2.55020,49.19340,3.6195,3.1566
2019-12-31,1.38380,0.56210,1.53650,23.30520,9.26500,9.26500,7.28270,5.84550,0.16620,1.33190,1.77280,50.76850,3.22580,-3.62200,0.97220,1.41260,49.41070,2.8781,2.3689
2019-09-30,1.95750,0.54690,1.49170,25.63400,13.66290,13.66290,12.99010,10.16340,0.17040,1.38530,1.68130,53.52860,5.55550,-14.07060,1.73260,2.51710,47.50550,3.45140,3.21270
2019-06-30,2.43450,0.52210,1.19100,25.97880,15.34470,15.34460,14.38010,11.56660,0.20950,1.62390,1.72750,52.09740,7.13600,-33.56290,2.42300,3.41010,46.45200,4.781,4.4787
2019-03-31,1.56040,0.41590,0.88120,24.97000,15.18390,15.18390,14.35110,11.15240,0.23820,1.57560,1.74180,51.67140,6.83810,-32.18060,2.65790,3.99390,46.89580,4.2586,3.8899
2018-12-31,1.52030,0.42500,0.93580,25.04880,13.60720,13.60720,12.41790,8.97850,0.22680,1.44210,1.79090,50.25390,5.35830,-20.45040,2.03760,3.08080,44.99800,2.9056,2.681
