,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.43220,0.36010,0.56290,79.44020,22.51530,22.51530,18.54950,16.10500,0.09720,0.82900,108.56870,3.12570,-20.73500,1.56460,2.00000,20.31590,1.52310,1.44580
2022-09-30,1.34890,0.37040,0.58820,81.19210,28.74780,28.74780,27.04690,21.03400,0.10840,0.79790,112.79230,4.65310,-24.26250,2.27930,2.92970,19.54540,0.318,0.2377
2022-06-30,1.23230,0.39780,0.66060,77.94580,17.29330,17.29330,21.79110,15.23890,0.10040,0.97710,92.10640,3.26710,-11.29160,1.53020,1.96740,18.38050,0.9867,0.9489
2022-03-31,1.23590,0.37780,0.60730,81.52570,31.50860,31.50860,20.49890,17.75020,0.11540,0.99030,90.88520,4.30330,-19.60030,2.04820,2.67740,17.81540,1.2158,1.1974
2021-12-31,1.29400,0.42430,0.73700,79.21920,13.58430,13.58430,12.09820,10.06920,0.10350,0.95620,94.11970,2.35890,-7.68220,1.04260,1.35800,16.71780,1.16140,1.13300
2021-09-30,1.37690,0.41390,0.70620,79.24770,23.95440,23.95440,35.26890,60.94650,0.10660,0.88830,101.31250,14.37070,-55.02460,6.49890,8.42290,17.39860,0.3885,0.278
2021-06-30,1.23090,0.46160,0.85740,78.17670,16.88950,16.88950,13.42050,11.75280,0.10360,1.00620,89.44470,2.96840,-5.90550,1.21730,1.59820,14.70800,0.7375,0.7089
2021-03-31,1.17600,0.47750,0.91390,80.62990,22.02110,22.02110,18.70070,23.66080,0.11040,1.06270,84.68870,6.61980,-11.46010,2.61320,3.45880,14.12460,1.0225,0.9771
2020-12-31,1.31450,0.39790,0.66080,79.76230,21.05540,21.05540,18.04150,5.48070,0.12440,1.03180,87.22800,1.57300,-6.42050,0.68180,0.94710,12.81400,0.96730,0.94300
2020-09-30,1.22430,0.41140,0.69900,78.35830,17.13950,17.13950,14.16460,13.65950,0.11560,0.94160,95.57980,3.71330,-12.56290,1.57880,2.18560,12.38530,0.2917,0.2506
2020-06-30,1.27160,0.45860,0.84720,77.47530,18.02590,18.02590,12.65660,9.85950,0.10420,1.10170,81.68960,2.61210,-6.60770,1.02710,1.41410,11.44690,0.8976,0.8533
2020-03-31,1.12520,0.47100,1.27990,76.91150,13.91120,13.91120,4.38760,1.99000,0.09300,1.01970,88.26560,0.56170,-1.23340,0.18510,0.29710,11.01240,0.7568,0.7092
2019-12-31,1.17050,0.47400,0.90100,75.45560,8.54370,8.54370,5.34410,9.95620,0.10860,1.03400,87.04360,2.84140,-5.67970,1.08100,1.49460,10.80420,0.06490,0.02420
2019-09-30,1.22640,0.35760,0.55670,74.50280,13.89560,13.89560,10.08400,2.93310,0.12570,0.89880,100.13840,0.81750,-4.76690,0.36880,0.52510,10.46130,0.4422,0.4081
2019-06-30,1.25190,0.36510,0.57500,72.01050,3.14900,3.14900,-0.16410,-4.99450,0.11160,0.91930,97.90090,-1.21410,6.93940,-0.55720,-0.77080,10.56020,0.6095,0.5292
2019-03-31,1.32120,0.37190,0.59200,72.48970,-7.86980,-7.86980,-11.50620,-14.98120,0.10690,0.82460,109.13900,-3.48740,24.97810,-1.60220,-2.19050,10.56500,1.1931,1.0139
2018-12-31,1.47880,0.37080,0.58920,76.88840,8.97670,8.97670,6.10210,6.27000,0.12160,0.86780,103.70910,1.58840,-18.27710,0.76230,0.99950,11.13440,0.17730,-0.07620
2018-09-30,0.86200,0.42380,0.73550,75.00130,3.69250,3.69250,0.21370,4.22080,0.13420,2.41710,37.23520,1.50830,-2.59630,0.56640,0.86910,7.41300,0.5156,0.3695
2018-06-30,0.88440,0.45370,0.83060,74.06640,6.84520,6.84520,3.16760,5.39970,0.13960,2.41990,37.19180,2.03710,-3.02040,0.75350,1.11280,7.22470,0.4227,0.3582
2018-03-31,0.94170,0.40930,0.69290,72.81180,7.21380,7.21380,3.75010,2.57310,0.13220,2.42140,37.16860,0.85390,-1.60390,0.34020,0.50440,7.97440,0.9416,0.9014
