,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.75000,2.92110,-1.72240,67.75040,14.38050,14.38050,13.02520,9.81420,0.30840,1.34580,7.49330,12.01080,-9.86860,-7.00970,3.02660,18.95890,-7.54540,1.38190,0.93360
2022-09-30,0.76690,2.96750,-1.72940,67.77950,14.20930,14.20930,13.08740,10.43830,0.30070,1.24560,7.15800,12.57340,-10.10040,-7.23840,3.14030,19.87240,-7.57790,0.9307,0.4668
2022-06-30,0.84110,2.64250,-1.74730,67.93170,15.89550,15.89550,14.62800,11.20110,0.28950,1.22540,7.11120,12.65620,-10.55220,-7.42030,3.24510,17.33150,-7.54980,1.1033,0.7334
2022-03-31,0.82830,2.66780,-1.82770,67.70650,12.42730,12.42730,11.47390,8.83360,0.26310,1.28430,7.62110,11.80930,-7.70440,-5.33090,2.32590,12.84930,-7.63900,0.1716,-0.2297
2021-12-31,0.81330,2.64530,-1.74970,68.61150,14.63030,14.63030,13.19690,10.13490,0.27920,1.54350,7.80760,11.52730,-9.65760,-6.56640,2.83030,15.88980,-7.33790,1.59010,1.23580
2021-09-30,1.19690,1.64010,-2.75020,69.42070,18.19510,18.19510,27.58660,21.65660,0.25950,1.55320,8.66670,10.38460,-33.20160,-18.88840,5.62080,21.25290,-4.50380,1.285,0.876
2021-06-30,1.01690,1.99550,-2.15150,70.57290,19.85860,19.85860,18.82610,15.38590,0.25430,1.42490,8.22710,10.93950,-16.98780,-10.62380,3.91560,16.91160,-5.76280,1.4717,1.1875
2021-03-31,1.07290,2.09540,-1.91530,70.12000,14.81100,14.81100,13.34580,9.88900,0.23500,1.32510,7.57560,11.88030,-8.62150,-5.61120,2.32410,9.44430,-6.49320,0.7436,0.4708
2020-12-31,1.06010,2.16760,-2.01370,69.64030,13.53450,13.53450,11.97590,9.21860,0.22520,1.39250,7.60070,11.84110,-7.87200,-5.13490,2.07620,9.19120,-6.71420,1.55170,1.27770
2020-09-30,1.06260,2.13690,-2.09610,68.13210,9.00190,9.00190,7.13190,6.32910,0.21120,1.27420,7.02180,12.81710,-5.03500,-3.28660,1.33690,5.72430,-6.64740,1.2603,0.9792
2020-06-30,0.94740,2.43230,-1.95170,64.85160,-16.67180,-16.67180,-19.23210,-16.06780,0.14490,0.93700,4.79190,18.78190,7.86270,5.32510,-2.32700,-11.26170,-7.37810,-0.3104,-0.6425
2020-03-31,0.69560,2.82580,-1.86050,66.68110,8.12920,8.12920,6.50800,5.47730,0.21820,1.33880,6.37160,14.12510,-4.31180,-2.77500,1.18200,7.87240,-6.44880,-1.1395,-1.4507
2019-12-31,0.68000,2.73570,-1.72360,68.48850,17.18730,17.18730,16.11640,12.47980,0.25590,1.58760,7.81530,11.51580,-13.09790,-8.03790,3.19240,22.73440,-5.75490,1.54160,1.21060
2019-09-30,0.91650,2.26240,-1.79220,68.28960,16.05450,16.05460,14.87770,11.89570,0.35100,1.39890,7.67400,11.72790,-12.87430,-7.63740,4.17390,16.25200,-5.26000,0.872,0.4542
2019-06-30,1.31190,1.63140,-2.58370,67.76200,16.43410,16.43410,24.57720,20.12020,0.32650,1.44980,8.63020,10.42860,-31.79440,-15.71720,6.57210,20.07570,-3.57980,1.0063,0.6352
2019-03-31,0.93910,2.22620,-1.83040,68.09340,13.60150,13.60150,13.00370,10.51710,0.35740,1.39430,8.96230,10.04200,-13.08390,-6.89340,3.73430,16.04360,-4.16130,0.3163,-0.0157
2018-12-31,1.41430,1.46050,-3.17170,67.19590,15.31350,15.31350,14.55670,11.46740,0.33190,1.60620,9.19420,9.78880,-26.41380,-10.24700,3.80560,12.16270,-2.31550,1.89800,1.55390
2018-09-30,2.19810,0.88550,8.02870,94.27480,15.17360,15.17370,14.78020,11.98500,0.26100,0.25770,9.09490,9.89560,64.30520,-22.18600,3.13000,7.36510,0.89820,6.0361,5.6328
2018-06-30,1.00570,0.60610,1.70110,59.53600,16.45250,16.45250,16.27180,13.50970,0.36730,1.84040,7.38220,12.19150,21.31760,-110.10590,4.95860,8.39760,2.92520,0.8969,0.5205
2018-03-31,1.09060,0.56730,1.38520,58.30930,12.80710,12.80710,13.52170,10.94370,0.34360,1.82770,6.93630,12.97520,13.98560,-216.89700,3.75880,6.05170,3.41270,0.3486,0.0103
2017-12-31,1.00620,0.44230,0.85370,58.81090,18.37600,18.37600,49.49040,37.04830,0.32800,1.90500,7.13040,12.62200,39.07170,268.54030,12.15060,21.79190,4.09130,1.27840,0.97920
2017-09-30,1.25180,0.41880,0.72070,93.32270,17.94370,17.94370,20.21270,13.83720,0.39670,0.27900,6.54690,13.74700,14.46400,22.70450,5.49440,8.40610,3.81180,0.7446,0.4076
2017-06-30,1.36830,0.40220,0.67280,60.27380,18.44390,18.44390,18.58870,12.21580,0.38980,1.65700,7.15650,12.57600,11.81810,17.97640,4.76010,7.06490,4.04610,0.8049,0.5378
2017-03-31,1.22980,0.41270,0.70700,59.55420,17.66910,17.66910,18.51910,12.33090,0.37210,1.61770,6.69280,13.44730,11.63350,18.60940,4.58820,6.83280,3.87610,0.3194,0.0929
2016-12-31,1.04980,0.35440,0.54900,59.96790,19.75620,19.75620,19.76140,13.11380,0.40900,1.88320,6.62690,13.58110,12.95000,20.12860,5.36120,8.36040,3.98240,1.04030,0.83130
2016-09-30,1.04640,0.35100,0.60860,60.56520,21.49110,21.49110,21.27750,14.02330,0.39900,1.63380,7.42870,12.11510,13.60960,21.93550,5.60140,8.83320,4.03330,0.9516,0.6789
2016-06-30,1.14390,0.35880,0.62930,60.66630,19.51700,19.51700,20.49260,14.39670,0.37870,1.55480,7.00920,12.84020,13.18130,21.60530,5.45430,8.45250,3.90340,0.7383,0.4713
2016-03-31,0.89250,0.32440,0.58800,59.73920,17.30750,17.30750,17.23140,11.51770,0.39880,1.55460,6.71400,13.40480,11.28250,19.45060,4.59290,7.62200,3.48000,0.3818,0.1734
2015-12-31,1.06960,0.24560,0.39240,59.31520,19.68920,19.68920,19.53290,12.79610,0.41520,1.75940,7.02970,12.80280,11.49350,17.62430,5.31310,8.67070,4.02760,1.08830,0.86760
2015-09-30,1.08850,0.28740,0.40340,59.66060,19.72400,19.72410,18.24290,13.28030,0.39580,1.51760,6.83560,13.16640,11.21520,17.52690,5.25680,7.99160,3.91880,0.6437,0.4106
2015-06-30,1.17570,0.28610,0.49450,59.97090,19.22890,19.22890,19.36000,12.83910,0.37930,1.67570,7.25610,12.40330,10.69420,16.60970,4.86840,7.63490,3.92960,0.5142,0.2917
2015-03-31,1.20570,0.25420,0.34080,59.24620,17.03740,17.03740,16.69550,10.84480,0.37430,1.75270,6.96080,12.92960,8.24530,12.80120,4.06540,6.14950,4.00450,0.3798,0.1722
2014-12-31,1.27790,0.24960,0.33270,58.54430,19.06020,19.06020,27.05490,20.46760,0.38890,1.95540,7.22390,12.45860,15.98790,24.50590,7.97100,11.99700,4.10300,0.93960,0.74720
2014-09-30,1.37190,0.27970,0.38840,58.78680,20.45110,20.45110,22.10630,14.05990,0.38880,1.57940,6.62550,13.58390,11.14210,14.17950,5.46460,8.02510,3.51790,0.4858,0.2582
2014-06-30,1.16400,0.28770,0.40390,58.79580,18.50160,18.50160,18.57380,12.34080,0.40000,1.66850,7.15050,12.58660,10.10690,13.03940,4.93490,7.19910,3.37600,0.5556,0.3519
2014-03-31,1.30930,0.29280,0.41400,57.94310,16.62710,16.62710,16.65550,11.02280,0.38370,1.70650,6.56580,13.70750,8.62930,11.20740,4.22800,6.10280,3.28010,0.2716,0.1095
2013-12-31,1.27310,0.29520,0.41880,57.65870,19.18810,19.18810,19.31310,12.75360,0.41340,1.90300,7.18820,12.52050,11.05840,14.41560,5.27240,7.79400,3.23170,-0.91480,-1.08200
2013-09-30,1.01750,0.22470,0.28990,56.88230,-55.83180,-55.83180,-54.16630,-32.52040,0.32900,1.47010,6.74870,13.33600,-27.48810,-36.83850,-10.69840,-21.31030,2.97550,0.5704,0.3286
2013-06-30,1.74880,0.08730,0.09560,57.22970,16.46990,16.46990,16.39490,11.18520,0.41220,1.36110,7.37040,12.21110,7.26910,8.54970,4.61030,6.63460,3.82610,0.4359,0.241
2013-03-31,1.67870,0.09350,0.10320,56.88530,15.32850,15.32850,16.58780,10.99840,0.41750,1.36100,6.82620,13.18460,7.33360,8.75240,4.59500,6.64780,3.55970,0.2004,0.0426
2012-12-31,1.84700,0.09600,0.10620,57.27350,16.62450,16.62450,16.37400,11.39410,0.44680,1.48250,8.08440,11.13260,8.35560,9.05590,5.09300,7.55340,3.45510,0.70100,0.54040
2012-09-30,1.90040,0.09700,0.10750,56.32970,15.54440,15.54440,16.13700,10.73500,0.40650,1.17540,6.87670,13.08760,7.02120,7.85490,4.36900,6.33990,3.41290,0.4068,0.1854
2012-06-30,2.26420,0.09260,0.10200,56.22650,14.88070,14.88070,14.90500,10.08290,0.39760,1.15760,7.62960,11.79620,6.18600,6.59830,4.01140,5.61340,3.54570,0.3531,0.2236
2012-03-31,2.20730,0.09670,0.10700,55.82150,13.46730,13.46730,14.29640,9.69680,0.39920,1.17170,7.30660,12.31770,6.03690,6.46580,3.87310,5.45350,3.38880,0.0688,-0.0342
2011-12-31,1.96270,0.10320,0.11510,56.45680,16.18210,16.18210,16.60700,11.12080,0.43850,1.33110,7.97190,11.28960,8.00370,8.61160,4.87770,7.17770,3.17250,0.30340,0.20350
2011-09-30,1.82820,0.11130,0.12520,56.64150,14.78710,14.78710,16.62760,11.82180,0.41190,1.36100,7.84400,11.47380,8.16450,8.81030,4.86660,7.25570,2.94530,0.3176,0.2896
2011-06-30,1.92910,0.11230,0.12650,57.79620,13.71670,13.71670,13.97240,9.51850,0.41310,1.44450,8.11120,11.09580,6.44480,6.99270,3.94210,5.72080,2.90050,0.2961,0.2098
2011-03-31,1.97320,0.11270,0.12700,57.95670,13.50110,13.50110,13.96060,9.39080,0.39640,1.51630,7.83160,11.49190,6.06400,6.57760,3.73380,5.38080,2.88940,-0.0056,-0.0764
2010-12-31,1.73810,0.11920,0.13530,59.59400,17.00900,17.00900,17.22920,11.74600,0.42570,1.92150,9.33500,9.64110,8.56090,9.33250,5.01510,7.54060,2.71120,0.43930,0.35520
2010-09-30,1.54930,0.12980,0.14920,60.16560,14.06980,14.06980,14.53840,9.82730,0.44440,2.08080,9.37560,9.59940,7.56320,8.31570,4.36120,6.58130,2.47930,0.2185,0.1135
2010-06-30,1.51220,0.13450,0.15540,58.79790,12.54600,12.54600,12.18990,7.95940,0.42080,2.16710,9.24600,9.73390,5.89880,6.50750,3.35920,5.10530,2.37640,0.2725,0.2094
