,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.65570,0.23020,0.37120,30.90340,13.06950,13.06950,12.62690,10.33590,0.17990,0.90670,1.31990,68.18540,3.50230,8.85230,1.86390,2.69610,35.87510,1.82130,1.25080
2022-09-30,1.56910,0.23360,0.38940,30.94750,15.14110,15.14110,14.95760,16.24230,0.20970,1.12480,1.52150,59.15350,6.55430,16.63530,3.40680,5.02340,33.95990,2.8901,2.2668
2022-06-30,1.49920,0.24470,0.40270,32.41400,17.54940,17.54940,17.28090,14.49840,0.19190,0.91450,1.30810,68.80160,5.67380,15.88410,2.77310,4.28550,32.03810,1.8138,1.2809
2022-03-31,1.46990,0.24790,0.38800,33.36660,17.59420,17.59420,17.36960,13.97550,0.18680,0.89030,1.30610,68.90940,5.36300,15.82820,2.61060,4.03370,32.34630,1.2778,0.7547
2021-12-31,1.69490,0.24200,0.36320,32.21580,17.60080,17.60080,17.73180,14.82450,0.17830,0.90970,1.34250,67.04030,5.14520,14.14670,2.64840,3.89990,33.78420,1.61210,1.25450
2021-09-30,1.55990,0.25230,0.38480,33.08020,17.28650,17.28650,16.42220,20.79620,0.17790,1.01750,1.30400,69.02040,7.46660,22.71820,3.69960,5.58250,32.51610,2.3243,1.6186
2021-06-30,1.58600,0.26540,0.41150,32.97790,18.56960,18.56960,18.33550,15.08450,0.18260,1.07730,1.28810,69.87000,5.78340,18.56820,2.75900,4.24860,30.57390,2.059,1.6276
2021-03-31,1.47290,0.27140,0.46760,32.37030,16.37240,16.37240,16.34560,13.53670,0.17830,1.18460,1.27970,70.32910,5.22290,18.17200,2.40850,3.80530,29.26160,1.7308,1.4775
2020-12-31,1.58730,0.26280,0.42600,32.53830,12.72010,12.72010,12.35090,10.81770,0.17380,1.15000,1.33410,67.46170,3.80290,13.10730,1.85040,2.80330,29.78100,1.92190,1.49850
2020-09-30,1.56750,0.26900,0.44190,29.71480,10.64090,10.64090,10.33430,7.05310,0.16950,1.17540,1.37190,65.60260,2.42990,8.88540,1.18490,1.77640,28.37680,2.1455,1.8221
2020-06-30,1.42720,0.27080,0.44690,27.74730,5.25900,5.25900,4.98430,-1.60910,0.13520,0.82670,1.18730,75.80060,-0.63430,-2.42780,-0.30790,-0.46260,27.70980,1.1838,0.7879
2020-03-31,1.44350,0.29030,0.47490,32.20660,-12.98910,-12.98910,-12.83260,-14.27230,0.16500,1.08250,1.29830,69.32390,-4.92860,-18.92010,-2.33390,-3.49760,27.79160,1.4511,1.0572
2019-12-31,1.63510,0.24430,0.37630,32.51260,14.86740,14.86740,14.83590,0.82070,0.15860,1.06740,1.35500,66.42050,0.21790,0.73980,0.11510,0.16470,31.56710,1.21960,0.69730
2019-09-30,1.56890,0.24310,0.37510,31.87880,13.45460,13.45460,13.24240,11.27270,0.16760,1.22440,1.42240,63.27270,3.55720,11.62650,1.90920,2.69240,31.54390,2.5689,2.1267
2019-06-30,1.46780,0.24430,0.38000,32.75300,15.34380,15.34380,15.13720,22.33700,0.17160,1.16220,1.37600,65.40870,7.13610,24.00250,3.83840,5.39270,31.57460,2.0458,1.5528
2019-03-31,1.40830,0.25220,0.39840,32.76670,15.53340,15.53340,15.24030,12.86640,0.17710,1.16450,1.38530,64.96780,4.29260,15.47620,2.22720,3.21010,29.62870,1.6454,1.1147
2018-12-31,1.54940,0.24830,0.38760,33.28350,14.46070,14.46070,13.77350,8.24620,0.17440,1.12440,1.40630,63.99760,3.74170,13.02720,1.99600,2.81250,30.16430,0.86340,0.25290
2018-09-30,1.40570,0.21900,0.36930,33.68480,16.24390,16.24390,15.56000,47.33540,0.17210,1.25310,1.48620,60.55570,15.45560,48.62040,8.21150,12.07100,31.41330,2.6052,1.8797
2018-06-30,1.46840,0.25760,0.42230,33.14720,15.47050,15.47050,14.80030,12.67800,0.18830,1.22080,1.38210,65.11870,4.77240,20.79890,2.38260,3.54290,27.24370,2.2844,1.6468
2018-03-31,1.43130,0.26020,0.42300,34.02580,17.43400,17.43400,16.78830,13.75630,0.18510,1.14910,1.34770,66.77990,5.16880,24.94910,2.54590,3.82360,27.03740,1.0594,0.5123
2017-12-31,1.57720,0.25620,0.41580,34.89210,17.56600,17.56600,16.96640,-1.19900,0.17730,1.09480,1.40290,64.15470,-0.34260,-1.53270,-0.17540,-0.25490,27.40830,0.99430,0.32100
2017-09-30,1.54040,0.27150,0.44550,34.25630,14.08230,14.08230,12.34180,17.16770,0.13030,1.00910,1.18240,76.11550,3.03560,13.10310,1.52550,2.21140,27.72420,2.4385,1.8241
2017-06-30,1.38270,0.25400,0.43660,33.85800,16.15680,16.15680,14.93910,12.91950,0.18180,1.24620,1.48260,60.70390,4.72600,23.54220,2.33260,3.52540,25.84470,1.4681,1.0217
2017-03-31,1.30780,0.25990,0.45150,34.39730,14.90550,14.90550,13.78990,12.55040,0.17870,1.27530,1.43810,62.58440,4.63840,25.32750,2.24860,3.43310,24.63490,1.4513,1.0307
2016-12-31,1.36890,0.25190,0.45580,34.83510,16.16060,16.16060,15.01800,13.35290,0.17390,1.22000,1.50590,59.76490,4.59430,24.25330,2.30490,3.43690,24.85790,1.12530,0.76320
2016-09-30,1.55740,0.30590,0.47970,36.71300,17.29350,17.29350,14.22730,17.86590,0.13890,0.96990,1.19550,75.28210,4.04240,30.79000,1.94800,2.80600,23.88250,1.7778,1.3205
2016-06-30,1.48870,0.31120,0.48830,32.74590,14.48250,14.48250,-7.30540,26.88240,0.17830,1.30370,1.44620,62.23010,9.57050,64.73000,4.52000,6.59220,23.19000,2.0176,1.5935
2016-03-31,1.74810,0.33510,0.52440,32.58810,18.12330,18.12330,17.58130,12.87260,0.16550,1.21710,1.40910,63.87200,5.25250,29.96920,2.18040,3.49250,20.71600,0.481,0.1038
2015-12-31,1.99170,0.28210,0.45120,33.35690,14.04870,14.04870,13.48390,12.46030,0.14740,1.11060,1.50850,59.66110,3.77750,13.18150,1.68550,2.71200,22.82980,1.00000,0.64620
2015-09-30,2.20560,0.26100,0.40520,32.43970,13.63940,13.63940,13.00270,34.85260,0.14490,1.24830,1.40750,63.94100,1.41890,4.24200,0.66050,1.04850,24.32780,1.5673,1.156
2015-06-30,1.91440,0.27090,0.44070,33.61130,15.04170,15.04170,14.46440,9.91020,0.15250,1.20560,1.42700,63.06930,3.84240,13.01450,1.71710,2.80130,22.61790,1.4506,1.1335
2015-03-31,1.83820,0.27370,0.45870,34.10120,14.53600,14.53600,13.30310,19.43540,0.15230,1.20610,1.47180,61.14860,3.51310,12.47530,1.56100,2.55150,22.09610,0.9637,0.5884
2014-12-31,1.55960,0.26380,0.46050,33.45360,13.93900,13.93900,10.69200,15.48050,0.15130,1.04480,1.29800,69.33750,4.74370,25.55820,2.15850,3.49230,22.53450,0.71430,0.39950
2014-09-30,2.22360,0.26690,0.42800,32.28530,14.99230,14.99230,14.14880,25.42180,0.12940,1.17030,1.26790,70.98540,6.34640,13.61910,2.83840,4.65270,22.10770,1.7885,1.5847
2014-06-30,1.78060,0.21160,0.33910,33.10570,15.08940,15.08940,14.60160,13.10570,0.16290,1.13650,1.22850,73.25850,3.92180,10.44870,1.83880,3.09190,21.59960,1.2067,0.8206
2014-03-31,1.60660,0.22010,0.35660,33.56950,15.89070,15.89070,15.51960,12.21320,0.15910,1.06430,1.23400,72.93520,4.04810,11.94240,1.82520,3.15720,20.52300,1.0789,0.7449
2013-12-31,1.86510,0.23270,0.34770,33.58390,14.40170,14.40170,14.49190,10.61340,0.18030,1.20320,1.45620,61.80400,4.11740,11.61270,1.92490,3.15920,20.99340,0.92110,0.63160
2013-09-30,1.60780,0.21550,0.35940,33.68300,13.54900,13.54900,13.14100,11.27620,0.18590,1.29170,1.47740,60.91780,4.62680,13.77840,2.10170,3.62990,20.37880,1.4201,1.0227
