,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.54610,1.20300,9.71710,9.71710,-7.90090,-4.28170,0.04350,-0.42440,-0.47270,-0.17960,-0.19270,25.57360,0.6628,0.4959
2022-09-30,0.53930,1.17050,12.41700,12.41700,-0.48880,0.12110,0.04270,0.02940,0.03260,0.01260,0.01350,26.09840,0.7441,0.586
2022-06-30,0.53760,1.16270,12.82370,12.82370,-4.29260,-4.14650,0.04150,-0.38860,-0.43100,-0.16730,-0.17970,26.52790,0.6887,0.5542
2022-03-31,0.53490,1.15020,13.90180,13.90180,3.72620,3.80640,0.04080,0.37610,0.41650,0.16270,0.17490,27.00720,0.68080,0.58980
2021-12-31,0.52350,1.09880,9.02810,9.02810,-6.47970,-3.99570,0.04140,-0.35730,-0.39500,-0.15820,-0.17020,27.40410,0.684,0.5139
2021-09-30,0.51960,1.08160,11.10290,11.10290,-8.86300,6.21670,0.03900,0.56210,0.62020,0.25070,0.27000,27.97550,0.5746,0.461
2021-06-30,0.54090,1.17810,15.56290,15.56290,4.99390,9.39860,0.03910,0.88430,0.98840,0.37560,0.40600,26.60970,0.7689,0.6515
2021-03-31,0.53870,1.16760,7.53780,7.53780,-6.10000,-6.28470,0.03860,-0.55000,-0.61420,-0.23520,-0.25380,26.85380,0.62870,0.55020
2020-12-31,0.53650,1.15730,18.05200,18.05200,7.75670,11.99040,0.03850,1.08920,1.21340,0.46780,0.50490,27.43710,0.7839,0.641
2020-09-30,0.53940,1.17110,15.44730,15.44730,-0.32050,1.38760,0.03790,0.13350,0.14870,0.05670,0.06150,27.51410,1.153,1.0445
2020-06-30,0.54640,1.20480,7.03730,7.03730,-10.42020,-16.66350,0.03840,-1.53110,-1.70310,-0.64760,-0.69440,27.87520,1.0785,1.0074
2020-03-31,0.56940,1.32250,23.81910,23.81910,10.90510,46.74820,0.03800,4.42990,4.91120,1.78350,1.90740,28.72470,0.83630,0.76510
2019-12-31,0.53550,1.15300,13.24120,13.24120,1.20790,1.14890,0.04030,0.12230,0.13580,0.05220,0.05680,28.28650,1.0101,0.8514
2019-09-30,0.52660,1.11230,25.01150,25.01150,8.95410,8.67200,0.03960,0.80210,0.88820,0.35040,0.37970,29.07230,0.8822,0.7769
2019-06-30,0.48530,0.94300,25.77370,25.77370,14.46540,22.14420,0.04140,1.94820,2.15650,0.92170,1.00270,29.27860,1.0627,0.9639
2019-03-31,0.51160,1.04740,24.92980,24.92980,12.92110,13.34060,0.04160,1.25010,1.39360,0.56290,0.61060,28.47760,0.93210,0.87120
2018-12-31,0.51100,1.04500,23.72160,23.72160,3.41250,6.74490,0.04090,0.96570,1.07570,0.43920,0.47220,28.80650,1.0131,0.8493
2018-09-30,0.49920,0.99670,26.63660,26.63660,10.32010,10.88820,0.04140,0.98220,1.09070,0.45700,0.49190,29.49280,0.8531,0.767
2018-06-30,0.49350,0.97430,27.59910,27.59910,14.76280,17.67150,0.04150,1.25000,1.38410,0.58800,0.63320,29.95940,1.1204,1.0607
2018-03-31,0.50540,1.02180,27.58840,27.58840,12.45700,8.33980,0.04020,0.74100,0.81950,0.34080,0.36650,30.32240,0.85830,0.80090
2017-12-31,0.50770,1.03150,28.36820,28.36820,15.24760,43.84670,0.03740,8.19700,9.05380,3.74090,4.03500,30.69230,0.9728,0.8352
2017-09-30,0.51410,1.05800,30.73350,30.73350,16.48630,68.22300,0.03790,1.45330,1.60730,0.66100,0.70620,30.31830,0.9929,0.9169
2017-06-30,0.53280,1.14040,30.34290,30.34290,16.77510,16.95510,0.03750,1.45820,1.61850,0.63830,0.68130,29.32090,1.0518,0.9623
2017-03-31,0.53250,1.13920,29.65380,29.65380,16.93570,22.42670,0.03690,1.48720,1.64980,0.65180,0.69520,29.54340,0.96710,0.90050
2016-12-31,0.51380,1.05690,28.03820,28.03820,15.70520,23.71060,0.03780,2.28690,2.53570,1.03930,1.11180,29.73180,1.0478,0.9232
2016-09-30,0.51560,1.06450,30.56930,30.56930,16.25830,17.23550,0.03700,1.42330,1.57910,0.64220,0.68940,29.87760,0.9119,0.8363
2016-06-30,0.52790,1.11810,28.35230,28.35230,14.71960,16.87430,0.03840,1.41390,1.58330,0.62390,0.66750,28.58710,1.1117,1.0447
