,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.24810,0.26990,0.39440,28.27410,10.71120,10.71120,9.10670,6.85170,0.12450,0.81320,1.51810,59.28450,1.56700,-9.01870,0.85870,1.14410,55.99890,2.2259,1.8671
2022-09-30,1.26170,0.27810,0.41060,31.13890,12.54210,12.54210,10.42770,7.68860,0.11400,0.70840,1.42340,63.22920,1.64230,-8.82990,0.89260,1.18550,54.56300,1.1278,0.9512
2022-06-30,1.26830,0.28610,0.42350,31.49410,12.89060,12.89060,11.08400,8.10550,0.11170,0.73150,1.44020,62.49020,1.69900,-8.27210,0.92180,1.21290,54.68390,1.4543,1.2884
2022-03-31,1.35800,0.29520,0.42020,30.87700,12.40270,12.40270,10.37880,7.73220,0.10450,0.72870,1.39440,64.54590,1.48690,-7.10560,0.81350,1.04800,55.15580,0.87030,0.77300
2021-12-31,1.31680,0.28370,0.39630,31.45200,12.73520,12.73520,11.33620,9.16550,0.11230,0.84130,1.40350,64.12450,1.88500,-9.40090,1.04580,1.35010,55.10760,1.6672,1.4813
2021-09-30,1.33740,0.28520,0.39950,31.62040,11.37910,11.37910,9.17670,6.86940,0.10390,0.77180,1.39500,64.51500,1.29520,-6.01830,0.71930,0.92580,54.55670,1.3109,1.1874
2021-06-30,1.33870,0.28320,0.39510,28.82700,10.08950,10.08950,8.39960,6.21270,0.10870,0.86200,1.38510,64.97710,1.21030,-5.67820,0.67520,0.86760,54.64440,1.1805,1.0429
2021-03-31,1.19250,0.27820,0.42030,29.18030,10.49180,10.49180,8.63390,6.12020,0.09870,0.77540,1.30430,69.00000,1.13000,-4.84050,0.62020,0.81560,53.87560,1.54580,1.43460
2020-12-31,1.20270,0.27190,0.41750,24.97530,7.98580,7.98580,5.83610,4.32400,0.10970,0.92460,1.43310,62.79900,0.85200,-3.93000,0.46870,0.62030,53.74800,1.7091,1.5237
2020-09-30,1.21920,0.27430,0.42330,30.35760,11.08250,11.08250,9.40430,6.86830,0.10110,0.72980,1.30110,69.17320,1.27830,-5.83220,0.69670,0.92760,52.82400,1.2066,1.0925
2020-06-30,1.13970,0.27610,0.45200,28.01310,9.17460,9.17460,6.57880,4.99600,0.09410,0.69500,1.23190,73.05570,0.86840,-3.62840,0.46470,0.62860,51.92120,1.6298,1.4659
2020-03-31,1.42240,0.32210,0.48460,29.98600,11.25970,11.25970,7.73100,5.78270,0.10280,0.75670,1.15420,77.97300,1.13500,-4.47300,0.59230,0.76940,51.49150,-0.42790,-0.56840
2019-12-31,1.28670,0.30250,0.44320,28.49600,9.54230,9.54230,7.38900,5.75490,0.12500,0.95510,1.42340,63.22880,1.37790,-5.57260,0.72690,0.96110,52.13150,2.7659,2.3096
2019-09-30,1.37870,0.32260,0.48770,29.94460,8.44780,8.44780,5.66020,4.55110,0.10590,0.71640,1.19630,75.23460,0.93120,-3.51050,0.47930,0.63080,50.75960,0.647,0.3839
2019-06-30,1.31700,0.31530,0.47110,27.48740,8.97020,8.97020,6.44820,4.65500,0.11810,0.86170,1.30980,68.71480,1.04420,-3.83230,0.54220,0.71500,52.26380,2.0592,1.9906
2019-03-31,1.34620,0.32180,0.50740,24.41010,4.22310,4.22310,0.90990,-0.28240,0.08350,0.61860,0.92290,97.52400,-0.04090,0.14670,-0.02100,-0.02770,60.06980,0.25830,0.01980
2018-12-31,2.70230,0.56930,1.34430,26.57370,8.35520,8.35520,5.14790,3.07900,0.12920,0.97150,0.97470,92.33140,1.21540,-5.30530,0.40320,0.52350,29.69620,2.8677,2.5884
2018-09-30,2.84490,0.56750,1.32810,28.02000,11.61630,11.61630,9.52870,8.13690,0.12600,0.89560,0.86880,103.58780,2.95840,-13.05280,1.00660,1.27960,30.12570,-0.3097,-0.561
2018-06-30,1.52310,0.39260,0.65570,29.14210,11.11140,11.11140,8.43530,7.59360,0.16650,0.91190,0.91630,98.22170,2.89680,-11.43260,1.24700,1.75960,29.82410,0.452,0.2322
2018-03-31,1.49620,0.38510,0.64270,29.43460,12.42960,12.42960,10.75400,8.36660,0.15360,0.89870,0.83250,108.10950,2.92670,-11.32400,1.27200,1.79980,31.05400,0.25110,0.15180
2017-12-31,1.43970,0.39200,0.66130,24.95880,8.51390,8.51380,6.94770,4.55490,0.16340,1.08670,0.92170,97.64070,1.75700,-5.94460,0.75530,1.06830,29.45340,1.6893,1.3862
2017-09-30,1.55390,0.40000,0.68480,26.43230,10.61310,10.61310,8.47500,7.03590,0.14850,0.92150,0.83710,107.51350,2.50110,-8.67660,1.06110,1.50070,28.50380,0.4176,0.1971
2017-06-30,1.58210,0.42810,0.76820,29.38720,12.15950,12.15950,10.37580,7.72590,0.14480,0.88210,0.82570,108.99310,2.79220,-8.12060,1.12070,1.59680,26.92500,0.1296,-0.0663
2017-03-31,1.47220,0.42940,0.78940,29.44290,12.50080,12.50080,10.85820,8.06620,0.15190,0.91820,0.87110,103.31360,3.03970,-7.92260,1.19390,1.73450,24.70140,-0.27190,-0.47020
2016-12-31,1.98230,0.37200,0.63580,28.84130,8.03250,8.03250,4.35010,4.97520,0.11550,0.82120,0.80630,111.61540,1.55630,-29.73550,0.70400,0.97740,31.19540,2.2088,2.0111
2016-09-30,2.71250,0.32140,0.47380,31.45190,17.77690,17.77690,17.05620,12.20120,0.19710,0.93370,1.08230,83.15940,4.76330,20.80600,2.40440,3.23210,19.42950,0.3716,0.2314
2016-06-30,2.55870,0.30130,0.43120,32.80660,18.41950,18.41950,17.56300,12.50480,0.21410,0.98530,1.23410,72.92910,5.24300,20.77820,2.67770,3.66340,19.15070,1.5428,1.425
2016-03-31,2.56450,0.32330,0.47780,33.05310,18.41650,18.41650,17.80550,12.19680,0.22840,1.07960,1.24560,72.25200,5.61030,25.20330,2.78520,3.79650,18.62720,0.82000,0.72870
