,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.02070,0.84560,5.47680,37.63170,13.88410,13.88410,19.82780,22.84090,0.12850,0.31320,287.40000,52.19760,-12.37900,2.93540,8.05920,1.27930,0.1496,0.0286
2022-09-30,0.97500,0.83170,4.94230,41.51060,21.27390,21.27390,17.77720,15.96000,0.12240,0.35200,255.70210,32.91690,-8.81620,1.95360,5.53950,1.36900,0.5563,0.476
2022-06-30,0.98600,0.85740,6.01230,42.63380,23.19250,23.19250,20.75020,17.04300,0.12950,0.36640,245.62420,43.27460,-9.54540,2.20770,6.17130,1.16110,0.2845,0.193
2022-03-31,0.97680,0.87780,7.18400,43.31570,20.55030,20.55030,31.34030,25.37860,0.13610,0.38530,233.58570,83.13490,-14.08810,3.45520,10.15830,0.91140,0.50700,0.44890
2021-12-31,0.97300,0.89430,8.46010,44.32600,24.65750,24.65750,14.08000,13.13820,0.14560,0.45180,199.18670,47.46910,-8.05310,1.91310,5.01780,0.90300,0.875,0.8226
2021-09-30,0.92950,0.88560,7.73900,44.01770,24.76870,24.76870,22.66190,18.09070,0.14500,0.42780,210.40120,63.13080,-11.04410,2.62320,7.22400,0.91330,0.8321,0.7758
2021-06-30,0.94000,0.91280,10.46730,41.45930,19.76430,19.76430,20.16750,17.25210,0.14360,0.35460,253.78930,77.71570,-8.00360,2.47830,6.77710,0.70340,0.425,0.3166
2021-03-31,1.01110,0.93660,14.76460,41.65290,19.23970,19.23970,16.76860,15.02480,0.13040,0.33260,270.60990,83.08960,-6.33270,1.95880,5.27060,0.53390,0.42430,0.37940
2020-12-31,0.99970,0.94270,16.43730,40.30510,17.85660,17.85660,15.64710,13.92510,0.13390,0.33280,270.42460,94.90890,-6.13860,1.86490,5.44290,0.45380,0.701,0.6214
2020-09-30,0.97340,0.97840,45.25340,42.65400,22.66190,22.66190,20.73900,18.16450,0.14260,0.35060,256.69130,340.68550,-7.75230,2.58970,7.36560,0.16330,0.5715,0.5323
