,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.34070,0.16900,0.23530,30.31050,22.68400,22.87050,22.68400,17.54260,0.30280,3.24120,10.46300,10.46300,5.45670,8.69520,46.87790,5.9305,4.4533
2022-06-30,1.16290,0.17640,0.25410,28.10660,21.55320,21.72090,21.55320,15.43040,0.31450,3.52630,10.06680,10.06680,5.05040,8.29110,44.26780,4.743,4.1205
2022-03-31,1.07210,0.19460,0.26930,22.44970,9.45410,9.66190,9.45410,6.05520,0.25510,3.16470,3.25730,3.25730,1.62080,2.62350,41.90030,3.46650,2.54970
2021-12-31,1.04430,0.19820,0.27150,24.42060,13.80450,14.06460,13.80450,10.43960,0.25070,3.41940,5.16780,5.16780,2.67880,4.14360,41.44440,4.0074,3.7933
2021-09-30,0.89810,0.20670,0.33790,23.62640,13.01870,13.30880,13.01870,9.14810,0.21920,2.87410,4.14430,4.14430,2.06180,3.28780,39.56210,2.8276,2.0332
2021-06-30,0.84900,0.21490,0.36610,20.95600,9.31030,9.68530,9.31030,6.92330,0.20080,2.77800,2.88780,2.88780,1.41750,2.26720,39.10160,2.2548,1.7432
2021-03-31,0.80120,0.21570,0.38590,19.99090,6.07300,6.50920,6.07300,4.61560,0.17720,2.57790,1.70380,1.70380,0.83770,1.33630,38.75790,2.16850,1.60670
2020-12-31,0.79650,0.22330,0.41210,16.57710,-57.18310,-56.51050,-57.18310,-43.12420,0.13990,2.05970,-12.55290,-12.55290,-6.19170,-9.75000,38.77390,0.9377,0.322
2020-09-30,0.86230,0.20250,0.37270,16.87050,-0.80520,-0.20130,-0.80520,-1.47190,0.12900,2.14730,-0.38400,-0.38400,-0.19800,-0.30630,43.66410,1.0276,0.2571
2020-06-30,0.92570,0.19920,0.37140,19.89570,-5.02990,-4.05770,-5.02990,-3.31240,0.09020,1.32870,-0.62460,-0.62460,-0.32340,-0.50020,44.26510,-0.0003,-1.0342
2020-03-31,0.77580,0.14440,0.31580,15.93010,-0.45940,-0.01600,-0.45940,-1.08620,0.15780,2.86120,-0.40800,-0.40800,-0.21640,-0.34900,44.64120,1.46930,0.07700
2019-12-31,0.78220,0.11690,0.23590,22.55370,9.54850,9.84770,9.54850,8.47070,0.18530,2.80780,2.88030,2.88030,1.58030,2.54350,46.99690,1.4889,-0.0821
2019-09-30,0.77900,0.11630,0.23920,20.34620,7.25760,7.61430,7.25760,4.87330,0.18100,2.94570,1.64730,1.64730,0.90350,1.45570,46.58690,2.1257,0.6542
2019-06-30,0.73620,0.08740,0.22770,18.74630,6.70420,7.01680,6.70420,4.53030,0.19150,2.98060,1.70860,1.70860,0.94000,1.55930,46.90740,1.392,-0.0531
2019-03-31,0.77400,0.08770,0.20620,19.56620,6.74110,7.02550,6.74110,3.69350,0.17860,2.79160,1.21500,1.21500,0.67550,1.10850,46.80240,1.95270,0.73510
2018-12-31,0.83960,0.09380,0.19040,23.78470,11.29560,11.59470,11.29560,8.34550,0.20770,2.89030,3.12600,3.12600,1.79260,2.83290,46.85580,2.0172,0.5893
2018-09-30,0.82670,0.09480,0.20340,22.75180,11.85300,12.11410,11.85300,8.14570,0.21600,3.15420,3.27490,3.27490,1.81770,2.96430,46.48820,2.6008,1.3823
2018-06-30,0.80960,0.09670,0.21300,20.24600,8.85970,9.05970,8.85970,5.37410,0.21070,3.17160,2.05960,2.05960,1.14280,1.86040,45.70930,1.8211,0.6677
2018-03-31,0.80120,0.09630,0.20840,22.40840,10.61410,10.91320,10.61410,6.81710,0.19550,2.93250,2.45390,2.45390,1.37120,2.21750,46.03470,1.99510,1.21080
2017-12-31,0.81590,0.11150,0.21770,19.81810,4.53580,4.81550,4.53580,12.59870,0.19080,3.13870,4.32340,4.32340,2.41160,3.84140,45.88350,1.76,0.6935
2017-09-30,0.85080,0.11620,0.21460,22.85600,9.13750,9.31910,9.13750,6.49750,0.17490,2.81520,2.15910,2.15910,1.16910,1.90830,44.65380,1.7642,0.6139
2017-06-30,0.82790,0.11750,0.22570,21.44570,7.15600,7.42810,7.15600,5.76820,0.16930,2.98090,1.75640,1.75640,0.95160,1.54990,43.86080,1.6048,0.8871
2017-03-31,0.80810,0.12030,0.23730,23.43580,10.08680,10.33560,10.08680,6.83470,0.17050,3.02030,2.22560,2.22560,1.18820,1.95790,43.37290,1.93540,1.25100
2016-12-31,0.86940,0.14270,0.24600,31.53640,1.43370,1.88680,1.43370,3.90370,0.13030,1.95380,1.16440,1.16440,0.61280,0.99820,41.90690,1.7715,0.8402
2016-09-30,0.85850,0.14040,0.26070,18.74670,5.49790,5.67850,5.49790,4.51630,0.17290,3.10760,1.63210,1.63210,0.85120,1.40290,42.68390,1.2817,0.4669
2016-06-30,0.88980,0.14290,0.25140,17.99670,4.15290,4.28290,4.15290,2.94660,0.16850,2.98020,0.95040,0.95040,0.49080,0.81450,42.65130,1.0817,0.0594
2016-03-31,0.90820,0.14210,0.24150,19.54540,3.55190,3.70990,3.55190,3.71610,0.14210,2.41550,0.99780,0.99780,0.51960,0.85600,43.04270,1.15170,0.05050
2015-12-31,0.78970,0.10130,0.21880,27.25960,6.54170,6.69110,6.54170,6.92010,0.11930,1.79880,1.60060,1.60060,0.84040,1.43850,42.54330,1.0349,-0.4204
2015-09-30,0.86150,0.10090,0.19400,20.28390,8.53680,8.65260,8.53680,6.29600,0.19770,3.23710,2.47910,2.47910,1.28690,2.22900,42.47870,2.1991,0.6634
2015-06-30,0.88480,0.09790,0.18910,19.82240,9.38300,9.49770,9.38300,5.65350,0.21280,3.56610,2.38100,2.38100,1.22380,2.14790,42.93550,2.0983,0.4015
2015-03-31,0.90570,0.09900,0.18470,20.77410,9.81250,9.94260,9.81250,7.30570,0.19720,3.32700,2.86000,2.86000,1.47980,2.57690,42.44100,1.89930,0.27400
2014-12-31,0.81860,0.06050,0.16080,19.51630,10.13110,10.20900,10.13110,7.52780,0.24970,4.21170,3.74560,3.74560,1.94050,3.51920,43.10020,1.7007,-0.3543
2014-09-30,0.88800,0.05820,0.11650,19.92720,12.51750,12.59970,12.51750,7.53290,0.30370,4.82980,4.45130,4.45130,2.36590,4.19220,44.27270,2.9465,0.9993
2014-06-30,0.92070,0.05910,0.11570,19.93110,12.72480,12.78240,12.72480,7.89510,0.31010,4.89870,4.84610,4.84610,2.54250,4.55970,44.11040,2.3994,0.3993
2014-03-31,0.88240,0.06230,0.11680,21.56970,14.32120,14.38330,14.32120,8.55870,0.30120,4.49110,5.12330,5.12330,2.65410,4.80430,42.59220,3.48960,1.79640
2013-12-31,0.82690,0.03680,0.12580,20.63500,13.27440,13.13730,13.27440,7.53200,0.31970,5.45300,4.78850,4.78850,2.49220,4.61240,41.63670,2.2671,0.3916
2013-09-30,0.84270,0.04050,0.12130,19.72380,12.62680,12.67310,12.62680,7.00350,0.32330,5.34820,4.59830,4.59830,2.32160,4.41210,40.16430,3.0975,0.9959
2013-06-30,0.86460,0.04190,0.11280,19.66890,11.97010,12.04980,11.97010,6.43130,0.31220,4.98260,4.06500,4.06500,2.04180,3.89480,38.97960,1.7687,-0.2024
