,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,58054.00000,17414.00000,40640.00000,6510.00000,15260.00000,-56.00000,22523.00000,18117.00000,-4640.00000,13477.00000,1632.00000,11845.00000,11845.00000,11836.00000,26584.00000,18117.00000,1771.00000,1778.00000,6.65000,6.63000
2021-12-31,56197.00000,17446.00000,38751.00000,6922.00000,12349.00000,-432.00000,20827.00000,17924.00000,-4935.00000,12989.00000,1440.00000,11549.00000,11549.00000,11542.00000,26445.00000,17924.00000,1770.00000,1777.00000,6.48000,6.45000
2020-12-31,45804.00000,15387.00000,30417.00000,6379.00000,11299.00000,,19054.00000,11363.00000,-7965.00000,3398.00000,-1224.00000,4622.00000,4622.00000,4616.00000,17834.00000,11363.00000,1667.00000,1673.00000,2.73000,2.72000
2019-12-31,33266.00000,7439.00000,25827.00000,6407.00000,6942.00000,890.00000,12844.00000,12983.00000,-4557.00000,8426.00000,544.00000,7882.00000,7882.00000,7882.00000,15000.00000,12983.00000,1481.00000,1484.00000,5.30000,5.28000
2018-12-31,32753.00000,7718.00000,25035.00000,10329.00000,7399.00000,-500.00000,18652.00000,6383.00000,-1186.00000,5197.00000,-490.00000,5687.00000,5687.00000,5687.00000,8148.00000,6383.00000,1541.00000,1546.00000,3.67000,3.66000
2017-12-31,28216.00000,7042.00000,21174.00000,5007.00000,6295.00000,,11629.00000,9545.00000,-1818.00000,7727.00000,2418.00000,5309.00000,5309.00000,5309.00000,11046.00000,9545.00000,1596.00000,1603.00000,3.31000,3.30000
2016-12-31,25638.00000,5832.00000,19806.00000,4385.00000,5881.00000,,10466.00000,9340.00000,-1456.00000,7884.00000,1931.00000,5953.00000,5953.00000,5953.00000,10529.00000,9340.00000,1622.00000,1631.00000,3.65000,3.63000
2015-12-31,22859.00000,4500.00000,18359.00000,4285.00000,6387.00000,,10822.00000,7537.00000,-892.00000,6645.00000,1501.00000,5144.00000,5144.00000,5144.00000,8373.00000,7537.00000,1625.00000,1637.00000,3.15000,3.13000
2014-12-31,19960.00000,4426.00000,15534.00000,3297.00000,7724.00000,-750.00000,12123.00000,3411.00000,-1042.00000,2369.00000,595.00000,1774.00000,1774.00000,1774.00000,4197.00000,3411.00000,1595.00000,1610.00000,1.11000,1.10000
2013-12-31,18790.00000,4581.00000,14209.00000,2855.00000,5352.00000,,8545.00000,5664.00000,-332.00000,5332.00000,1204.00000,4128.00000,4128.00000,4128.00000,6561.00000,5664.00000,1589.00000,1604.00000,2.58000,2.56000
2012-12-31,18380.00000,4508.00000,13872.00000,2778.00000,4989.00000,0.00000,8055.00000,5817.00000,-92.00000,5725.00000,450.00000,5275.00000,5275.00000,5275.00000,6967.00000,5817.00000,1577.00000,1577.00000,3.35000,3.35000
2011-12-31,17444.00000,4639.00000,12805.00000,2618.00000,5894.00000,,9185.00000,3620.00000,48.00000,3668.00000,235.00000,3433.00000,3433.00000,3433.00000,4892.00000,3620.00000,1577.00000,1577.00000,2.18000,2.18000
2010-12-31,15638.00000,4293.00000,11345.00000,2495.00000,3820.00000,,6628.00000,4717.00000,119.00000,4836.00000,658.00000,4178.00000,4178.00000,4178.00000,5901.00000,4717.00000,1577.00000,1577.00000,2.65000,2.65000
2009-12-31,14214.20000,4056.39000,10157.81000,1707.44000,3348.57200,,5226.01200,4931.79400,1018.52300,5950.31700,1313.80200,4636.51500,4636.51500,4636.51500,5629.28600,4931.79400,,,,0.00000
