,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3271.90000,1949.50000,1322.40000,736.00000,,736.00000,586.39990,-71.90000,514.50000,56.20000,458.30000,458.30000,,458.00000,684.29990,586.39990,88.00000,88.30000,5.20000,5.19000
2021-12-31,2867.40000,1662.50000,1204.90000,674.70000,,674.70000,530.20000,-6.20000,524.00000,40.70000,483.30000,483.30000,,483.00000,613.29990,530.20000,89.90000,90.50000,5.37000,5.34000
2020-12-31,2719.90000,1541.10000,1178.80000,635.70000,-37.90000,775.30000,403.50000,-38.10000,365.40000,50.90000,314.50000,314.50000,,314.30000,586.20000,403.50000,92.30000,92.80000,3.41000,3.39000
2019-12-31,2854.00000,1601.70000,1252.30000,681.30000,,687.20000,565.10010,-89.90000,475.20000,73.10000,402.10000,402.10000,,401.80000,654.00010,565.10010,93.60000,94.30000,4.29000,4.26000
2018-12-31,2731.70000,1558.40000,1173.30000,647.50000,,647.50000,525.80000,-50.60000,475.20000,39.80000,435.40000,435.40000,,434.90000,612.00010,525.80000,95.00000,95.70000,4.58000,4.54000
2017-12-31,2408.20000,1335.30000,1072.90000,580.40000,,580.40000,492.49990,-96.80000,395.70000,119.00000,276.70000,276.70000,,273.30000,559.39990,492.49990,95.10000,96.00000,2.87000,2.85000
2016-12-31,2238.00000,1248.30000,989.70000,555.40000,,555.40000,434.29990,-139.30000,295.00000,63.80000,231.20000,231.20000,,229.10000,501.19990,434.29990,95.80000,96.90000,2.39000,2.36000
2015-12-31,2068.10000,1199.00000,869.10010,510.50000,,510.50000,358.60010,-149.30000,209.30000,54.60000,154.70000,154.70000,-0.40000,153.90000,411.80010,358.60010,95.90000,96.90000,1.60000,1.59000
2014-12-31,2118.30000,1264.60000,853.70010,527.40000,,527.40000,326.30000,-58.40000,267.90000,84.20000,183.70000,183.70000,-11.10000,175.20000,375.10000,326.30000,96.10000,97.20000,1.82000,1.80000
2013-12-31,2069.60000,1208.10000,861.50010,483.10000,,620.70000,240.80020,-17.40000,223.40000,175.00000,48.40000,48.40000,-3.60000,32.30000,424.50020,240.80020,96.00000,96.10000,0.34000,0.34000
2012-12-31,2023.30000,1197.70000,825.60010,454.30000,,454.30000,371.30000,-4.60000,366.70000,136.70000,230.00000,230.00000,-4.20000,220.10000,415.10000,371.30000,96.00000,96.00000,2.29000,2.29000
2011-12-31,2021.20000,1211.40000,809.79990,450.80000,,450.80000,359.00000,3.20000,362.20000,130.50000,231.70000,231.70000,-7.30000,218.10000,405.00000,359.00000,96.00000,96.00000,2.27000,2.27000
2010-12-31,1967.70000,1201.70000,766.00000,441.00000,,441.00000,325.00000,1.70000,326.70000,125.70000,201.00000,201.00000,-2.50000,191.80000,372.30000,325.00000,,,,0.00000
