,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,513983.00000,288831.00000,225152.00000,73213.00000,138428.00000,-1263.00000,212904.00000,12248.00000,-18184.00000,-5936.00000,-3217.00000,-2719.00000,-2722.00000,-2722.00000,54169.00000,12248.00000,10189.00000,10189.00000,-0.27000,-0.27000
2021-12-31,469822.00000,272344.00000,197478.00000,56052.00000,116485.00000,-62.00000,172599.00000,24879.00000,13272.00000,38151.00000,4791.00000,33360.00000,33364.00000,33364.00000,59312.00000,24879.00000,10117.00000,10296.00000,3.30000,3.24000
2020-12-31,386064.00000,233307.00000,152757.00000,42740.00000,87193.00000,75.00000,129858.00000,22899.00000,1279.00000,24178.00000,2863.00000,21315.00000,21331.00000,21331.00000,48079.00000,22899.00000,10005.00000,10198.00000,2.13000,2.09000
2019-12-31,280522.00000,165536.00000,114986.00000,35931.00000,64313.00000,-201.00000,100445.00000,14541.00000,-565.00000,13976.00000,2374.00000,11602.00000,11588.00000,11588.00000,36330.00000,14541.00000,9880.00000,10080.00000,1.17300,1.15050
2018-12-31,232887.00000,139156.00000,93731.00000,28837.00000,52177.00000,-296.00000,81310.00000,12421.00000,-1160.00000,11261.00000,1197.00000,10064.00000,10073.00000,10073.00000,27762.00000,12421.00000,9740.00000,10000.00000,1.03400,1.00700
2017-12-31,177866.00000,111934.00000,65932.00000,22620.00000,38992.00000,-214.00000,61826.00000,4106.00000,-300.00000,3806.00000,769.00000,3037.00000,3033.00000,3033.00000,15584.00000,4106.00000,9600.00000,9860.00000,0.31600,0.30750
2016-12-31,135987.00000,88265.00000,47722.00000,16085.00000,27284.00000,-167.00000,43536.00000,4186.00000,-294.00000,3892.00000,1425.00000,2467.00000,2371.00000,2371.00000,12302.00000,4186.00000,9480.00000,9680.00000,0.25050,0.24500
2015-12-31,107006.00000,71651.00000,35355.00000,12540.00000,20411.00000,-171.00000,33122.00000,2233.00000,-665.00000,1568.00000,950.00000,618.00000,596.00000,596.00000,8514.00000,2233.00000,9340.00000,9540.00000,0.06400,0.06250
2014-12-31,88988.00000,62752.00000,26236.00000,9275.00000,16650.00000,-133.00000,26058.00000,178.00000,-289.00000,-111.00000,167.00000,-278.00000,-241.00000,-241.00000,4924.00000,178.00000,9240.00000,9240.00000,-0.02600,-0.02600
2013-12-31,74452.00000,54181.00000,20271.00000,6565.00000,12847.00000,-114.00000,19526.00000,745.00000,-239.00000,506.00000,161.00000,345.00000,274.00000,274.00000,3998.00000,745.00000,9140.00000,9300.00000,0.03000,0.02950
2012-12-31,61093.00000,45971.00000,15122.00000,4564.00000,9723.00000,-159.00000,14446.00000,676.00000,-132.00000,544.00000,428.00000,116.00000,-39.00000,-39.00000,2835.00000,676.00000,9060.00000,9060.00000,-0.00450,-0.00450
2011-12-31,48077.00000,37288.00000,10789.00000,2909.00000,6864.00000,-154.00000,9927.00000,862.00000,72.00000,934.00000,291.00000,643.00000,631.00000,631.00000,1945.00000,862.00000,9060.00000,9220.00000,0.06950,0.06850
2010-12-31,34204.00000,26561.00000,7643.00000,1734.00000,4397.00000,-106.00000,6237.00000,1406.00000,91.00000,1497.00000,352.00000,1145.00000,1152.00000,1152.00000,1974.00000,1406.00000,8940.00000,9120.00000,0.12900,0.12650
2009-12-31,24509.00000,18978.00000,5531.00000,1240.00000,3060.00000,-102.00000,4402.00000,1129.00000,32.00000,1161.00000,253.00000,908.00000,902.00000,902.00000,1507.00000,1129.00000,8660.00000,8840.00000,0.10400,0.10200
