,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-10-31,33203.00000,11108.00000,22095.00000,4919.00000,1382.00000,,7870.00000,14225.00000,-1791.00000,12434.00000,939.00000,11495.00000,11495.00000,,11223.00000,19209.00000,14225.00000,409.00000,423.00000,27.44000,26.53000
2021-10-31,27450.00000,10606.00000,16844.00000,4854.00000,1347.00000,,8325.00000,8519.00000,-1754.00000,6765.00000,29.00000,6736.00000,6736.00000,,6437.00000,14560.00000,8519.00000,410.00000,429.00000,15.70000,15.00000
2020-10-31,23888.00000,10372.00000,13516.00000,4968.00000,1935.00000,,9502.00000,4014.00000,-1571.00000,2443.00000,-518.00000,2961.00000,2961.00000,-1.00000,2663.00000,10919.00000,4014.00000,402.00000,421.00000,6.62000,6.33000
2019-10-31,22597.00000,10114.00000,12483.00000,4696.00000,1709.00000,,9039.00000,3444.00000,-1218.00000,2226.00000,-510.00000,2736.00000,2736.00000,-12.00000,2695.00000,9252.00000,3444.00000,398.00000,419.00000,6.77000,6.43000
2018-10-31,20848.00000,10115.00000,10733.00000,3768.00000,1056.00000,-14.00000,5598.00000,5135.00000,-590.00000,4545.00000,-8084.00000,12629.00000,12629.00000,-19.00000,12259.00000,9216.00000,5135.00000,418.00000,431.00000,29.33000,28.44000
2017-10-31,17636.00000,9127.00000,8509.00000,3302.00000,789.00000,-122.00000,6138.00000,2371.00000,-546.00000,1825.00000,35.00000,1790.00000,1790.00000,-6.00000,1692.00000,7108.00000,2371.00000,405.00000,421.00000,4.18000,4.02000
2016-10-31,13240.00000,7300.00000,5940.00000,2674.00000,806.00000,,6349.00000,-409.00000,-698.00000,-1107.00000,642.00000,-1749.00000,-1749.00000,-112.00000,-1739.00000,2669.00000,-409.00000,366.00000,383.00000,-4.75000,-4.86000
2015-10-31,6824.00000,3271.00000,3553.00000,1049.00000,486.00000,,1921.00000,1632.00000,-165.00000,1467.00000,76.00000,1391.00000,1391.00000,-27.00000,1364.00000,2616.00000,1632.00000,264.00000,281.00000,5.17000,4.85000
2014-10-31,4269.00000,2392.00000,1877.00000,695.00000,407.00000,,1439.00000,438.00000,-96.00000,342.00000,33.00000,309.00000,309.00000,-46.00000,263.00000,1077.00000,438.00000,251.00000,267.00000,1.05000,0.99000
2013-10-31,2520.00000,1322.00000,1198.00000,398.00000,222.00000,,646.00000,552.00000,16.00000,568.00000,16.00000,552.00000,552.00000,0.00000,552.00000,740.00000,552.00000,247.00000,252.00000,2.23000,2.19000
2012-10-31,2364.00000,1222.00000,1142.00000,335.00000,199.00000,,560.00000,582.00000,3.00000,585.00000,22.00000,563.00000,563.00000,0.00000,563.00000,737.00000,582.00000,245.00000,250.00000,2.30000,2.25000
2011-10-31,2336.00000,1189.00000,1147.00000,317.00000,220.00000,,563.00000,584.00000,-23.00000,561.00000,9.00000,552.00000,552.00000,,552.00000,742.00000,584.00000,245.00000,252.00000,2.25000,2.19000
2010-10-31,2093.00000,1127.00000,966.00000,280.00000,196.00000,,500.00000,466.00000,-60.00000,406.00000,-9.00000,415.00000,415.00000,,415.00000,627.00000,466.00000,238.00000,246.00000,1.74000,1.69000
2009-10-31,1484.00000,924.00000,560.00000,245.00000,169.00000,-54.00000,512.00000,48.00000,-84.00000,-36.00000,8.00000,-44.00000,-44.00000,,-44.00000,212.00000,48.00000,219.00000,219.00000,-0.20000,-0.20000
