,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,46159.00000,10137.00000,36022.00000,9509.00000,7814.00000,-576.00000,28309.00000,7713.00000,,7713.00000,1368.00000,6345.00000,6345.00000,,6327.00000,17989.00000,7713.00000,2130.00000,2146.00000,2.97000,2.95000
2021-12-31,46385.00000,9940.00000,36445.00000,10195.00000,7690.00000,720.00000,28347.00000,8098.00000,,8098.00000,1084.00000,7014.00000,7014.00000,,6994.00000,18784.00000,8098.00000,2221.00000,2245.00000,3.15000,3.12000
2020-12-31,42518.00000,11773.00000,30745.00000,10048.00000,7661.00000,2314.00000,37616.00000,-6871.00000,,-6871.00000,2124.00000,-8995.00000,-8995.00000,,-9015.00000,3509.00000,-6871.00000,2258.00000,2258.00000,-3.99000,-3.99000
2019-12-31,26145.00000,8078.00000,18067.00000,6148.00000,4871.00000,-938.00000,13092.00000,4975.00000,,4975.00000,1515.00000,3460.00000,3460.00000,,3439.00000,6721.00000,4975.00000,1705.00000,1712.00000,2.02000,2.01000
2018-12-31,22561.00000,6467.00000,16094.00000,6332.00000,4551.00000,854.00000,10126.00000,5968.00000,,5968.00000,1021.00000,4947.00000,4947.00000,,4920.00000,6605.00000,5968.00000,1633.00000,1637.00000,3.01000,3.01000
2017-12-31,20776.00000,6014.00000,14762.00000,6468.00000,4751.00000,1685.00000,9631.00000,5131.00000,,5131.00000,4156.00000,975.00000,975.00000,,1007.00000,5920.00000,5131.00000,1645.00000,1652.00000,0.61000,0.61000
2016-12-31,19427.00000,4969.00000,14458.00000,5012.00000,4979.00000,1448.00000,8543.00000,5915.00000,,5915.00000,1408.00000,4507.00000,4507.00000,,4457.00000,6297.00000,5915.00000,1671.00000,1680.00000,2.67000,2.65000
2015-12-31,16560.00000,3909.00000,12651.00000,5920.00000,4841.00000,187.00000,10574.00000,2077.00000,,2077.00000,446.00000,1631.00000,1631.00000,,1565.00000,2453.00000,2077.00000,1667.00000,1679.00000,0.94000,0.93000
2014-12-31,15879.00000,3932.00000,11947.00000,4534.00000,4822.00000,-210.00000,9566.00000,2381.00000,,2381.00000,352.00000,2029.00000,2029.00000,,2004.00000,2848.00000,2381.00000,1657.00000,1670.00000,1.21000,1.20000
2013-12-31,16385.00000,4619.00000,11766.00000,3731.00000,4939.00000,-205.00000,8875.00000,2891.00000,,2891.00000,311.00000,2580.00000,2580.00000,,2563.00000,3654.00000,2891.00000,1644.00000,1662.00000,1.56000,1.54000
2012-12-31,17621.00000,4610.00000,13011.00000,3904.00000,5017.00000,80.00000,8841.00000,4170.00000,-1830.00000,2340.00000,-161.00000,2501.00000,2501.00000,,1959.00000,5143.00000,4170.00000,1670.00000,1688.00000,1.17000,1.16000
2011-12-31,21244.00000,5598.00000,15646.00000,3839.00000,5160.00000,334.00000,8665.00000,6981.00000,,6981.00000,1721.00000,5260.00000,5260.00000,,3701.00000,7609.00000,6981.00000,1700.00000,1717.00000,2.18000,2.16000
2010-12-31,19484.00000,5277.00000,14207.00000,3566.00000,4663.00000,93.00000,8136.00000,6071.00000,,6071.00000,1558.00000,4513.00000,4513.00000,,3090.00000,6678.00000,6071.00000,1713.00000,1727.00000,1.80000,1.79000
2009-12-31,18808.00000,5140.00000,13668.00000,3647.00000,5082.00000,381.00000,8348.00000,5320.00000,282.00000,5602.00000,1182.00000,4420.00000,4420.00000,7442.00000,10594.00000,6027.00000,5320.00000,1974.00000,1978.00000,5.35000,5.34000
