,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-05-31,11535.90000,8697.10000,2838.80100,1492.80000,1425.50000,1413.30100,-379.90000,1033.40000,290.50000,742.90000,888.20000,,888.20000,1788.70100,1413.30100,480.30000,482.20000,1.85000,1.84000
2021-05-31,11184.70000,8005.50000,3179.20000,1403.00000,1348.50000,1830.70000,-420.40000,1410.30000,193.80000,1216.50000,1300.90000,,1298.80000,2218.40000,1830.70000,485.80000,487.80000,2.67000,2.66000
2020-05-31,11054.40000,7984.80000,3069.60100,1622.50000,1612.59900,1457.00100,-487.10000,969.90000,201.30000,768.60000,841.80000,,840.10000,1845.90100,1457.00100,487.30000,488.60000,1.72000,1.72000
2019-05-31,9538.40000,6885.40000,2653.00000,1473.40000,1438.30000,1214.70000,-391.40000,823.30000,218.80000,604.50000,680.30000,-1.90000,678.30000,1547.70000,1214.70000,444.00000,445.60000,1.53000,1.52000
2018-05-31,7938.30000,5586.80000,2351.50000,1398.40000,1318.00000,1033.50000,-158.70000,874.80000,174.60000,700.20000,797.50000,14.30000,808.40000,1290.50000,1033.50000,403.90000,407.40000,2.00000,1.98000
2017-05-31,7826.90000,5483.10000,2343.80000,1474.00000,1418.80000,925.00000,-195.50000,729.50000,254.70000,474.80000,546.00000,102.00000,639.30000,1193.00000,925.00000,431.90000,436.00000,1.48000,1.46000
2016-05-31,8664.10000,6234.90000,2429.20000,2024.60000,2024.60000,404.59960,-295.80000,108.80000,46.40000,62.40000,128.50000,-794.40000,-677.00000,683.09960,404.59960,434.40000,438.50000,-1.57000,-1.56000
2015-05-31,9034.00000,6737.80000,2296.20000,1383.40000,1383.40000,912.80030,-328.20000,584.60000,212.70000,371.90000,451.30000,-692.10000,-252.60000,1197.40000,912.80030,426.10000,431.30000,-0.60000,-0.59000
2014-05-31,11838.20000,8910.80000,2927.40000,1778.90000,1778.90000,1148.50000,-377.50000,771.00000,178.30000,592.70000,625.20000,-310.10000,303.10000,1503.10000,1148.50000,421.30000,427.50000,0.72000,0.70000
2013-05-31,13469.30000,10104.40000,3364.89900,2065.90000,2065.90000,1298.99900,-276.20000,1022.80000,361.90000,660.90000,698.40000,87.70000,772.30000,1717.59900,1298.99900,410.80000,417.60000,1.88000,1.85000
2012-05-31,13331.10000,10532.10000,2799.00000,1980.30000,1980.30000,818.70020,-204.00000,614.70000,191.70000,423.00000,467.90000,6.50000,466.40000,1189.60000,818.70020,412.90000,418.30000,1.13000,1.12000
2011-05-31,12386.10000,9483.50000,2902.60000,1499.00000,1499.00000,1403.60000,-177.50000,1226.10000,421.60000,804.50000,830.90000,-11.50000,815.70000,1764.50000,1403.60000,429.70000,434.30000,1.90000,1.88000
2010-05-31,12014.90000,8966.30000,3048.60100,1987.70000,1987.70000,1060.90000,-160.40000,900.50000,292.30000,608.20000,630.30000,-19.30000,612.00000,1385.00000,1060.90000,443.60000,447.10000,1.38000,1.37000
2009-05-31,12348.60000,9571.10000,2777.50000,1683.20000,1683.20000,1094.30000,-186.00000,908.30000,317.10000,591.20000,615.20000,363.80000,978.40000,1399.20000,1094.30000,452.90000,455.40000,2.16000,2.15000
