,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,23748.70000,19062.10000,4686.60000,2951.40000,2951.40000,1735.19900,-247.40000,1487.80000,373.30000,1114.50000,1114.50000,1114.50000,1735.19900,1735.19900,135.20000,137.00000,8.24000,8.13000
2021-12-31,20820.80000,17252.30000,3568.50000,2149.50000,2149.50000,1419.00000,-121.20000,1297.80000,309.20000,988.60000,988.60000,988.60000,1610.20000,1419.00000,138.50000,140.50000,7.14000,7.04000
2020-12-31,18467.50000,15257.40000,3210.10000,2030.90000,2030.90000,1179.19900,-176.90000,1002.30000,213.80000,788.50000,788.50000,788.50000,1604.79900,1179.19900,142.60000,144.80000,5.53000,5.45000
2019-12-31,18032.40000,14992.50000,3039.90000,1906.30000,1906.30000,1133.60000,-183.90000,949.70000,212.90000,736.80000,736.80000,736.80000,1400.70000,1133.60000,145.10000,147.80000,5.08000,4.99000
2018-12-31,16240.50000,13533.60000,2706.90000,1719.60000,1719.60000,987.30080,-146.80000,840.50000,197.50000,643.00000,643.00000,643.00000,1252.90100,987.30080,150.90000,153.60000,4.26000,4.19000
2017-12-31,14832.90000,12382.70000,2450.20000,1583.70000,1583.70000,866.50000,-205.80000,660.70000,137.60000,523.10000,523.10000,523.10000,1127.40000,866.50000,155.40000,158.20000,3.37000,3.31000
2016-12-31,13672.70000,11344.40000,2328.30000,1508.30000,1508.30000,820.00000,-146.80000,673.20000,248.10000,425.10000,425.10000,425.10000,1074.50000,820.00000,163.60000,166.00000,2.60000,2.56000
2015-12-31,12988.70000,10872.90000,2115.80000,1373.80000,1373.80000,742.00000,-95.00000,647.00000,243.90000,403.10000,403.10000,403.10000,975.80000,742.00000,170.30000,171.80000,2.37000,2.35000
2014-12-31,12074.50000,10153.20000,1921.30000,1248.30000,1248.30000,673.00000,-285.30000,387.70000,142.80000,244.90000,244.90000,244.90000,887.30000,673.00000,170.60000,172.80000,1.44000,1.42000
2013-12-31,10768.60000,9008.30000,1760.30000,1251.70000,1251.70000,508.59960,-313.10000,195.50000,62.70000,132.80000,132.80000,132.80000,725.59960,508.59960,156.60000,158.70000,0.85000,0.84000
2012-12-31,10128.20000,8458.60000,1669.60100,1159.00000,1159.00000,510.60060,-324.50000,186.10000,67.10000,119.00000,119.00000,119.00000,734.40060,510.60060,145.10000,145.80000,0.82000,0.82000
2011-12-31,9602.40000,8018.90000,1583.50000,1112.80000,1112.80000,470.70020,-442.40000,28.30000,11.20000,17.10000,17.10000,17.10000,691.30020,470.70020,144.80000,144.90000,0.12000,0.12000
2010-12-31,8801.20000,7410.40000,1390.80000,1038.10000,1038.10000,352.70020,-389.70000,-37.00000,-7.80000,-29.20000,-29.20000,-29.20000,580.10020,352.70020,144.40000,144.40000,-0.20000,-0.20000
