,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,6557.00000,7174.00000,-617.00000,-23.00000,23.00000,-640.00000,-53.00000,-693.00000,-207.00000,-486.00000,-486.00000,-486.00000,-513.00000,-640.00000,158.80000,158.80000,-3.06000,-3.06000
2021-12-31,9630.00000,5887.00000,3743.00000,-20.00000,20.00000,3723.00000,-53.00000,3670.00000,724.00000,2946.00000,2946.00000,2946.00000,3841.00000,3723.00000,161.00000,162.70000,18.29000,18.10000
2020-12-31,7536.00000,5963.00000,1573.00000,-20.00000,20.00000,1553.00000,-54.00000,1499.00000,283.00000,1216.00000,1216.00000,1216.00000,1662.00000,1553.00000,161.20000,162.40000,7.55000,7.49000
2019-12-31,7924.00000,5376.00000,2548.00000,-23.00000,23.00000,2525.00000,-53.00000,2472.00000,475.00000,1997.00000,1997.00000,1997.00000,2597.00000,2525.00000,163.20000,165.10000,12.24000,12.10000
2018-12-31,5407.00000,5087.00000,320.00000,-16.00000,16.00000,304.00000,-53.00000,251.00000,-36.00000,287.00000,287.00000,287.00000,367.00000,304.00000,163.20000,164.50000,1.76000,1.75000
2017-12-31,5732.00000,4936.00000,796.00000,-13.00000,13.00000,783.00000,-53.00000,730.00000,-315.00000,1045.00000,1045.00000,1045.00000,838.00000,783.00000,164.20000,166.00000,6.36000,6.29000
2016-12-31,5449.00000,4572.00000,877.00000,-12.00000,12.00000,865.00000,-53.00000,812.00000,221.00000,591.00000,591.00000,591.00000,913.00000,865.00000,164.50000,166.50000,3.59000,3.55000
2015-12-31,5142.00000,4195.00000,947.00000,-13.00000,13.00000,934.00000,-53.00000,881.00000,247.00000,634.00000,634.00000,634.00000,986.00000,934.00000,164.00000,165.60000,3.87000,3.83000
2014-12-31,4945.00000,4157.00000,788.00000,-14.00000,14.00000,774.00000,-53.00000,721.00000,196.00000,525.00000,525.00000,525.00000,825.00000,774.00000,163.50000,165.10000,3.21000,3.18000
2013-12-31,4531.00000,3748.00000,783.00000,-15.00000,15.00000,768.00000,-54.00000,714.00000,197.00000,517.00000,517.00000,517.00000,818.00000,768.00000,163.50000,165.40000,3.16000,3.12000
2012-12-31,4111.00000,3477.00000,634.00000,-14.00000,14.00000,620.00000,-54.00000,566.00000,145.00000,421.00000,421.00000,421.00000,664.00000,620.00000,162.50000,163.70000,2.59000,2.57000
2011-12-31,3803.00000,3563.00000,240.00000,-13.00000,13.00000,227.00000,-54.00000,173.00000,9.00000,164.00000,164.00000,164.00000,269.00000,227.00000,162.70000,163.30000,1.01000,1.01000
2010-12-31,3772.00000,3204.00000,568.00000,-16.00000,16.00000,552.00000,-54.00000,498.00000,123.00000,375.00000,375.00000,375.00000,593.00000,552.00000,162.77800,163.27400,2.30000,2.30000
2009-12-31,3903.00000,3246.00000,657.00000,-20.00000,20.00000,637.00000,-55.00000,582.00000,150.00000,432.00000,432.00000,432.00000,675.00000,637.00000,162.59500,162.86700,2.66000,2.65000
