,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,17967.00000,7719.00000,10248.00000,6565.00000,-69.00000,7355.00000,2893.00000,-233.00000,2660.00000,693.00000,1967.00000,1967.00000,1785.00000,4159.00000,2893.00000,836.40000,838.80000,2.13000,2.13000
2021-12-31,17421.00000,7046.00000,10375.00000,6407.00000,-65.00000,7043.00000,3332.00000,-245.00000,3087.00000,749.00000,2338.00000,2338.00000,2166.00000,4459.00000,3332.00000,845.00000,848.30000,2.56000,2.55000
2020-12-31,16471.00000,6454.00000,10017.00000,6019.00000,-113.00000,6132.00000,3885.00000,-238.00000,3647.00000,787.00000,2860.00000,2860.00000,2695.00000,4424.00000,3885.00000,856.80000,859.30000,3.15000,3.14000
2019-12-31,15693.00000,6368.00000,9325.00000,5575.00000,-196.00000,5771.00000,3554.00000,-253.00000,3301.00000,774.00000,2527.00000,2527.00000,2367.00000,4073.00000,3554.00000,859.10000,861.10000,2.76000,2.75000
2018-12-31,15544.00000,6313.00000,9231.00000,5389.00000,-148.00000,5537.00000,3694.00000,-230.00000,3464.00000,906.00000,2558.00000,2558.00000,2400.00000,4205.00000,3694.00000,870.60000,873.00000,2.76000,2.75000
2017-12-31,15454.00000,6174.00000,9280.00000,5400.00000,-173.00000,5573.00000,3707.00000,-220.00000,3487.00000,1313.00000,2174.00000,2174.00000,2024.00000,4182.00000,3707.00000,881.80000,887.80000,2.30000,2.28000
2016-12-31,15195.00000,6072.00000,9123.00000,5143.00000,-25.00000,5168.00000,3955.00000,-217.00000,3738.00000,1152.00000,2586.00000,2586.00000,2441.00000,4398.00000,3955.00000,891.80000,898.40000,2.74000,2.72000
2015-12-31,16034.00000,6635.00000,9399.00000,5464.00000,-1146.00000,6610.00000,2789.00000,-26.00000,2763.00000,1215.00000,1548.00000,1548.00000,1384.00000,3238.00000,2789.00000,902.20000,909.70000,1.53000,1.52000
2014-12-31,17277.00000,7168.00000,10109.00000,5982.00000,-570.00000,6552.00000,3557.00000,-24.00000,3533.00000,1194.00000,2339.00000,2339.00000,2180.00000,3999.00000,3557.00000,915.10000,924.30000,2.38000,2.36000
2013-12-31,17420.00000,7219.00000,10201.00000,6223.00000,-422.00000,6645.00000,3556.00000,9.00000,3565.00000,1155.00000,2410.00000,2410.00000,2241.00000,3995.00000,3556.00000,930.80000,939.90000,2.41000,2.38000
2012-12-31,17085.00000,7153.00000,9932.00000,5930.00000,-113.00000,6043.00000,3889.00000,-15.00000,3874.00000,1243.00000,2631.00000,2631.00000,2472.00000,4314.00000,3889.00000,952.10000,960.20000,2.60000,2.57000
2011-12-31,16734.00000,7144.00000,9590.00000,5758.00000,9.00000,5749.00000,3841.00000,-52.00000,3789.00000,1235.00000,2554.00000,2554.00000,2431.00000,4262.00000,3841.00000,976.70000,984.10000,2.49000,2.47000
2010-12-31,15564.00000,6360.00000,9204.00000,5414.00000,-301.00000,5715.00000,3489.00000,-59.00000,3430.00000,1117.00000,2313.00000,2313.00000,2169.00000,3865.00000,3489.00000,975.60000,1021.80000,2.22500,2.15500
2009-12-31,15327.00000,6319.00000,9008.00000,5282.00000,-111.00000,5393.00000,3615.00000,-77.00000,3538.00000,1141.00000,2397.00000,2397.00000,2291.00000,3966.00000,3615.00000,999.00000,1049.20000,2.26500,2.18500
