,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-10-31,3308.40000,1168.80000,2139.60000,110.30000,1342.20000,,1632.00000,507.59990,-32.30000,475.30000,89.50000,385.80000,385.80000,385.80000,853.69980,507.59990,49.30000,49.70000,7.83000,7.76000
2021-10-31,2922.50000,966.70000,1955.80000,92.70000,1211.20000,,1450.00000,505.80000,-14.30000,491.50000,-2453.20000,2944.70000,2944.70000,2944.70000,815.10000,505.80000,49.20000,49.80000,59.80000,59.16000
2020-10-31,2430.90000,896.10000,1534.80000,93.30000,992.50000,,1223.00000,311.79980,-45.30000,266.50000,28.10000,238.40000,238.40000,238.40000,598.89980,311.79980,49.10000,49.60000,4.85000,4.81000
2019-10-31,2653.40000,896.60000,1756.80000,86.70000,996.20000,18.60000,1210.10000,546.70000,-69.30000,477.40000,10.70000,466.70000,466.70000,466.70000,827.49990,546.70000,49.40000,50.00000,9.44000,9.33000
2018-10-31,2532.80000,900.50000,1632.30000,84.80000,973.30000,-24.40000,1229.20000,403.10010,-71.20000,331.90000,192.00000,139.90000,139.90000,139.90000,678.20010,403.10010,49.10000,49.70000,2.85000,2.81000
2017-10-31,2139.00000,773.20000,1365.80000,69.20000,799.10000,,936.70000,429.10000,-35.10000,394.00000,21.10000,372.90000,372.90000,372.90000,617.50000,429.10000,48.90000,49.60000,7.63000,7.52000
2016-10-31,1966.80000,793.70000,1173.10000,65.40000,722.80000,0.00000,849.00000,324.10010,-28.50000,295.60000,20.70000,274.90000,274.90000,273.90000,522.40010,324.10010,48.50000,49.00000,5.65000,5.59000
2015-10-31,1797.10000,726.80000,1070.30000,69.60000,712.50000,,833.60000,236.70010,-21.20000,215.50000,10.40000,205.10000,205.10000,203.50000,428.10010,236.70010,48.50000,49.20000,4.20000,4.14000
2014-10-31,1717.77600,626.20600,1091.57000,66.25900,683.11500,,785.08400,306.48600,-9.95200,296.53400,24.70500,271.82900,271.82900,269.85600,444.68700,306.48600,48.06100,48.96000,5.61000,5.51000
2013-10-31,1587.72500,560.91700,1026.80800,58.82700,610.73500,-21.06200,720.86300,305.94490,6.32600,312.27100,15.36500,296.90600,296.90600,296.15100,431.29390,305.94490,48.61500,49.68500,6.09000,5.96000
2012-10-31,1445.13600,521.12600,924.01000,51.73000,564.90300,,640.61200,283.39790,-7.94600,275.45200,26.80800,248.64400,248.64400,248.33900,394.61190,283.39790,47.91300,49.15200,5.18000,5.05000
2011-10-31,1330.83500,526.03100,804.80400,43.58100,513.13800,,577.24800,227.55590,-34.79200,192.76400,17.33400,175.43000,175.43000,175.43000,325.70490,227.55590,46.90400,48.30900,3.74000,3.63000
2010-10-31,1158.51700,481.79400,676.72300,35.27400,433.05700,,486.81100,189.91190,-65.48600,124.42600,11.62300,112.80300,112.80300,112.80300,283.91290,189.91190,45.53000,46.50500,2.48000,2.43000
2009-10-31,1080.42100,483.92700,596.49400,33.29800,391.59300,,446.63800,149.85600,-35.02800,114.82800,14.28000,100.54800,100.54800,100.54800,242.45800,149.85600,45.17300,45.47800,2.23000,2.21000
