,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,31352.00000,8360.00000,22992.00000,5055.00000,16079.00000,,21962.00000,1030.00000,-370.00000,660.00000,452.00000,208.00000,208.00000,208.00000,6484.00000,1030.00000,992.00000,997.00000,0.21000,0.21000
2022-01-31,26492.00000,7026.00000,19466.00000,4465.00000,14453.00000,0.00000,18918.00000,548.00000,984.00000,1532.00000,88.00000,1444.00000,1444.00000,1444.00000,5194.00000,548.00000,955.00000,974.00000,1.51000,1.48000
2021-01-31,21252.00000,5438.00000,15814.00000,3598.00000,11761.00000,0.00000,15359.00000,455.00000,2106.00000,2561.00000,-1511.00000,4072.00000,4072.00000,4072.00000,4359.00000,455.00000,908.00000,930.00000,4.48000,4.38000
2020-01-31,17098.00000,4235.00000,12863.00000,2766.00000,9634.00000,-166.00000,12566.00000,297.00000,409.00000,706.00000,580.00000,126.00000,126.00000,126.00000,3308.00000,297.00000,829.00000,850.00000,0.15000,0.15000
2019-01-31,13282.00000,3451.00000,9831.00000,1886.00000,7410.00000,0.00000,9296.00000,535.00000,448.00000,983.00000,-127.00000,1110.00000,1110.00000,1110.00000,2254.00000,535.00000,751.00000,775.00000,1.48000,1.43000
2018-01-31,10540.00000,2773.00000,7767.00000,1553.00000,5760.00000,0.00000,7313.00000,454.00000,-34.00000,420.00000,60.00000,360.00000,360.00000,360.00000,1830.00000,454.00000,715.00000,735.00000,0.50000,0.49000
2017-01-31,8437.00000,2234.00000,6203.00000,1208.00000,4777.00000,,5985.00000,218.00000,-39.00000,179.00000,-144.00000,323.00000,323.00000,323.00000,1351.00000,218.00000,688.00000,700.00000,0.47000,0.46000
2016-01-31,6667.21600,1654.54800,5012.66800,946.30000,3988.06200,36.61700,4897.74500,114.92290,-50.64400,64.27900,111.70500,-47.42600,-47.42600,-47.42600,987.21390,114.92290,661.64700,661.64700,-0.07000,-0.07000
2015-01-31,5373.58600,1289.27000,4084.31600,792.91700,3437.03200,0.00000,4229.94900,-145.63280,-67.45200,-213.08500,49.60300,-262.68800,-262.68800,-262.68800,599.92520,-145.63280,624.14800,624.14800,-0.42000,-0.42000
2014-01-31,4071.00300,968.42800,3102.57500,623.79800,2764.85100,0.00000,3388.64900,-286.07420,-71.86100,-357.93500,-125.76000,-232.17500,-232.17500,-232.17500,327.48380,-286.07420,597.61300,597.61300,-0.39000,-0.39000
2013-01-31,3050.19500,683.57900,2366.61600,429.47900,2047.84700,,2477.32600,-110.71000,-17.08400,-127.79400,142.65100,-270.44500,-270.44500,-270.44500,284.98900,-110.71000,564.89600,564.89600,-0.48000,-0.48000
2012-01-31,2266.53900,488.88600,1777.65300,295.34700,1517.39100,,1812.73800,-35.08500,1.76800,-33.31700,-21.74500,-11.57200,-11.57200,-11.57200,239.74300,-35.08500,541.20800,541.20800,-0.02000,-0.02000
2011-01-31,1657.13900,323.81300,1333.32600,187.88700,1047.94200,,1235.82900,97.49710,6.80100,104.29800,34.60100,69.69700,69.69700,64.47400,273.02310,97.49710,520.88800,546.39200,0.12500,0.11750
2010-01-31,1305.58300,257.92500,1047.65800,131.89700,800.48900,,932.38600,115.27210,27.10900,142.38100,57.68900,84.69200,84.69200,80.71900,233.06810,115.27210,497.84800,512.45600,0.16250,0.15750
2009-01-31,1076.76900,220.47100,856.29800,99.53000,693.02600,,792.55600,63.74210,21.85000,85.59200,37.55700,48.03500,48.03500,43.42800,158.44510,63.74210,484.73200,500.91200,0.09000,0.08750
