,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,9051.00000,1415.00000,7636.00000,29.00000,762.00000,-1.00000,2427.00000,5209.00000,-40.00000,5169.00000,1104.00000,4065.00000,4065.00000,4057.00000,6804.00000,5209.00000,796.00000,799.00000,5.09000,5.08000
2021-12-31,3449.00000,819.00000,2630.00000,18.00000,353.00000,-2.00000,1066.00000,1564.00000,-62.00000,1502.00000,344.00000,1158.00000,1158.00000,1155.00000,2247.00000,1564.00000,503.00000,504.00000,2.30000,2.29000
2020-12-31,1466.00000,644.00000,822.00000,15.00000,120.00000,,526.00000,296.00000,-54.00000,242.00000,41.00000,201.00000,201.00000,201.00000,690.00000,296.00000,399.00000,401.00000,0.50000,0.50000
2019-12-31,2066.00000,652.00000,1414.00000,20.00000,112.00000,80.00000,458.00000,956.00000,-56.00000,900.00000,219.00000,681.00000,681.00000,681.00000,1366.00000,956.00000,416.00000,418.00000,1.64000,1.63000
2018-12-31,2188.14800,750.57500,1437.57300,113.82000,119.28300,-15.19000,665.77200,771.80110,-73.66400,698.13700,141.09400,557.04300,557.04300,557.04300,1193.91100,771.80110,445.53800,447.56800,1.25000,1.24000
2017-12-31,1764.21900,599.00100,1165.21800,21.52600,131.27300,-594.86200,1316.47800,-151.26030,-77.17500,-228.43500,-328.82800,100.39300,100.39300,100.39300,422.33070,-151.26030,463.73500,465.55100,0.22000,0.22000
2016-12-31,1155.67700,548.02290,607.65410,27.66200,114.85600,-439.95300,1172.59910,-564.94490,-94.65400,-659.59900,-242.47500,-417.12400,-417.12400,-417.12400,30.26610,-564.94490,456.84700,456.84700,-0.91000,-0.91000
2015-12-31,1357.15000,580.99400,776.15610,27.46000,110.80500,-104.59400,865.07000,-88.91380,-98.35900,-187.27300,-73.38200,-113.89100,-113.89100,-113.89100,537.75120,-88.91380,413.69600,413.69600,-0.28000,-0.28000
2014-12-31,2173.01100,524.88000,1648.13100,28.74600,129.60200,-750.83700,1541.94500,106.18600,-73.78500,32.40100,-72.06700,104.46800,104.46800,104.46800,743.70010,106.18600,415.84000,417.60100,0.25000,0.25000
2013-12-31,1746.27800,400.28100,1345.99700,18.16500,147.65100,22.45300,794.41500,551.58190,-66.04400,485.53800,205.76500,279.77300,279.77300,279.77300,1206.32700,551.58190,420.18800,422.37500,0.67000,0.66000
2012-12-31,1204.54600,290.05400,914.49200,37.47600,170.11300,50.68800,608.30600,306.18600,-68.34600,237.84000,106.11000,131.73000,131.73000,131.73000,762.85600,306.18600,419.07500,421.98700,0.31000,0.31000
2011-12-31,979.86400,224.56500,755.29900,36.44700,132.24300,63.38200,448.44900,306.85000,-71.66300,235.18700,112.77900,122.40800,122.40800,122.40800,654.37210,306.85000,416.99600,421.52200,0.29000,0.29000
2010-12-31,863.10400,175.17700,687.92700,42.72500,117.07100,65.39100,421.48800,266.43900,-67.94100,198.49800,95.11200,103.38600,103.38600,103.38600,596.90310,266.43900,415.64600,420.78000,0.25000,0.24500
2009-12-31,893.08500,174.82400,718.26100,50.78400,113.02300,-20.92500,435.99200,282.26900,-58.97900,223.29000,74.94700,148.34300,148.34300,148.34300,537.16410,282.26900,414.46400,418.73000,0.36000,0.35500
