,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,246252.00000,149448.00000,96804.00000,974.00000,4312.00000,-25009.00000,47130.00000,49674.00000,49674.00000,14066.00000,35608.00000,35608.00000,35465.00000,66509.00000,50190.00000,1931.00000,1940.00000,18.36000,18.28000
2021-12-31,162465.00000,96212.00000,66253.00000,549.00000,4014.00000,-21414.00000,44614.00000,21639.00000,21639.00000,5950.00000,15689.00000,15689.00000,15625.00000,40276.00000,22351.00000,1916.00000,1920.00000,8.15000,8.14000
2020-12-31,94692.00000,54987.00000,39705.00000,1537.00000,4213.00000,-21203.00000,47158.00000,-7453.00000,-7453.00000,-1892.00000,-5561.00000,-5561.00000,-5543.00000,12752.00000,-6756.00000,1870.00000,1870.00000,-2.96000,-2.96000
2019-12-31,146516.00000,84249.00000,62267.00000,770.00000,4143.00000,-21802.00000,56731.00000,5536.00000,5536.00000,2691.00000,2845.00000,2845.00000,2924.00000,35552.00000,6334.00000,1882.00000,1895.00000,1.55000,1.54000
2018-12-31,166339.00000,99445.00000,66894.00000,1210.00000,3838.00000,-21104.00000,46319.00000,20575.00000,20575.00000,5715.00000,14860.00000,14860.00000,14824.00000,40742.00000,21323.00000,1897.00000,1914.00000,7.81000,7.74000
2017-12-31,141722.00000,88096.00000,53626.00000,864.00000,4110.00000,-19775.00000,44405.00000,9221.00000,9221.00000,-48.00000,9269.00000,9269.00000,9195.00000,28877.00000,9528.00000,1883.00000,1898.00000,4.88000,4.85000
2016-12-31,114472.00000,70989.00000,43483.00000,1033.00000,4305.00000,-20647.00000,45643.00000,-2160.00000,-2160.00000,-1729.00000,-431.00000,-431.00000,-497.00000,17498.00000,-1959.00000,1873.00000,1873.00000,-0.27000,-0.27000
2015-12-31,138477.00000,81781.00000,56696.00000,3340.00000,4443.00000,-23034.00000,51854.00000,4842.00000,4842.00000,132.00000,4710.00000,4710.00000,4587.00000,25879.00000,4842.00000,1868.00000,1875.00000,2.46000,2.45000
2014-12-31,211970.00000,132211.00000,79759.00000,1985.00000,4494.00000,-25285.00000,48557.00000,31202.00000,31202.00000,11892.00000,19310.00000,19310.00000,19241.00000,47995.00000,31202.00000,1884.00000,1898.00000,10.21000,10.14000
2013-12-31,228848.00000,147759.00000,81089.00000,1861.00000,4510.00000,-24627.00000,45184.00000,35905.00000,35905.00000,14308.00000,21597.00000,21597.00000,21423.00000,50091.00000,35905.00000,1917.00000,1932.00000,11.18000,11.09000
2012-12-31,241909.00000,153142.00000,88767.00000,1728.00000,4724.00000,-22570.00000,42435.00000,46332.00000,46332.00000,19996.00000,26336.00000,26336.00000,26179.00000,59745.00000,46332.00000,1950.00000,1965.00000,13.42000,13.32000
2011-12-31,253706.00000,165551.00000,88155.00000,1216.00000,4745.00000,-21649.00000,40521.00000,47634.00000,47634.00000,20626.00000,27008.00000,27008.00000,26895.00000,60545.00000,47634.00000,1986.00000,2001.00000,13.54000,13.44000
2010-12-31,204928.00000,134658.00000,70270.00000,1147.00000,4767.00000,-19188.00000,38215.00000,32055.00000,32055.00000,12919.00000,19136.00000,19136.00000,19024.00000,45168.00000,32105.00000,1997.00000,2007.00000,9.53000,9.48000
2009-12-31,171636.00000,117244.00000,54392.00000,1342.00000,4527.00000,-17857.00000,35864.00000,18528.00000,18528.00000,7965.00000,10563.00000,10563.00000,10483.00000,30666.00000,18556.00000,1992.00000,2001.00000,5.26000,5.24000
