,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4691.83400,2017.56200,2674.27200,422.16700,-84.20400,2084.30400,589.96780,-178.09300,411.87500,31.55000,380.32500,380.32500,336.96000,2214.25600,589.96780,286.33400,297.91900,1.18000,1.11000
2021-12-31,4427.88200,1778.32000,2649.56200,400.65400,-68.26700,1955.55300,694.00880,1126.20200,1820.21100,72.79900,1747.41200,1747.41200,1681.49800,2252.62500,694.00880,282.47500,283.22200,5.95000,5.94000
2020-12-31,3903.60900,1514.11600,2389.49300,351.36900,-114.21900,1831.96700,557.52590,-156.74900,400.77700,38.04700,362.73000,362.73000,263.34200,1999.94000,557.52590,260.09900,262.52300,1.01000,1.00000
2019-12-31,3209.24100,1192.76100,2016.48000,211.09700,-47.39400,1422.26500,594.21480,17.00100,611.21600,11.99500,599.22100,599.22100,493.01100,1825.61300,594.21480,208.32600,209.46200,2.37000,2.35000
2018-12-31,3046.47800,1097.98300,1948.49500,163.66700,-48.14500,1398.70800,549.78710,-206.58800,343.19900,2.08400,341.11500,341.11500,249.93000,1805.44700,549.78710,206.03500,206.67300,1.21000,1.21000
2017-12-31,2457.92800,894.61100,1563.31700,161.44100,-108.11700,1112.02200,451.29500,-187.12700,264.16800,7.90100,256.26700,256.26700,173.14800,1329.67600,451.29500,174.05900,174.89500,0.99000,0.99000
2016-12-31,2142.21300,772.16600,1370.04700,152.73300,-20.70400,872.76100,497.28590,-55.04900,442.23700,10.38500,431.85200,431.85200,332.08800,1218.21600,497.28590,149.95400,150.68000,2.21000,2.20000
2015-12-31,1763.33600,651.28200,1112.05400,105.54900,-34.06700,710.14300,401.91110,-93.86900,308.04200,6.45100,301.59100,301.59100,217.26600,979.97520,401.91110,138.24800,138.86500,1.57000,1.56000
2014-12-31,1616.43800,603.32100,1013.11700,93.18800,-122.75000,754.45100,258.66600,-50.01300,208.65300,5.23800,203.41500,203.41500,132.71800,816.02200,258.66600,133.36900,133.63700,1.00000,0.99000
2013-12-31,1482.25900,555.66000,926.59900,65.65300,-3.67000,544.78700,381.81200,-60.07100,321.74100,1.29200,320.44900,320.44900,271.58300,868.61700,381.81200,127.94100,128.12800,2.12000,2.12000
2012-12-31,1279.06700,460.30200,818.76500,57.20900,-12.92500,452.68700,366.07810,-147.38400,218.69400,2.64700,216.04700,216.04700,171.66200,760.07310,366.07810,115.71800,116.00700,1.48000,1.48000
2011-12-31,1062.71000,365.89200,696.81800,53.62400,-28.45900,392.50800,304.30990,-142.22600,162.08400,-0.04200,162.12600,162.12600,130.86800,631.71000,304.30990,98.40500,99.17000,1.33000,1.32000
2010-12-31,865.40100,302.79000,562.61100,47.19600,-9.20600,320.30500,242.30600,-135.04300,107.26300,1.85100,105.41200,105.41200,58.33900,523.76100,242.30600,84.27500,86.01300,0.69000,0.68000
2009-12-31,637.14200,216.15300,420.98900,39.98800,-5.16000,243.20000,177.78900,-85.51700,92.27200,1.03800,91.23400,91.23400,47.25800,389.10500,177.78900,75.95000,77.02100,0.62000,0.61000
