,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,28331.70000,19396.30000,8935.39800,6699.10000,,6699.10000,2236.29900,-125.70000,2110.60000,495.20000,1615.40000,1615.40000,1615.40000,3008.79900,2236.29900,223.20000,224.10000,7.24000,7.21000
2022-01-31,26321.20000,18583.90000,7737.29900,5925.90000,,5925.90000,1811.39800,-179.20000,1632.20000,304.30000,1327.90000,1327.90000,1327.90000,2536.29800,1811.39800,227.90000,229.00000,5.83000,5.80000
2021-01-31,25509.30000,17721.00000,7788.30100,5900.40000,,5900.40000,1887.90000,-148.10000,1739.80000,397.90000,1341.90000,1341.90000,1341.90000,2578.50000,1887.90000,236.40000,237.30000,5.68000,5.65000
2020-01-31,23610.80000,16570.10000,7040.70100,5465.50000,,5778.50000,1262.20100,-163.50000,1098.70000,271.70000,826.99990,826.99990,827.00000,2227.50100,1262.20100,237.20000,238.30000,3.49000,3.47000
2019-01-31,22823.30000,15875.80000,6947.50100,5160.00000,,7887.00000,-939.50000,-369.50000,-1309.00000,281.80000,-1590.80000,-1590.80000,-1590.80000,2465.80000,-939.50000,237.90000,237.90000,-6.69000,-6.69000
2018-01-31,22245.50000,15223.60000,7021.90000,5004.30000,-18.50000,5022.80000,1999.10200,-295.10000,1704.00000,-10.30000,1714.30000,1714.30000,1714.30000,2625.70200,1999.10200,236.80000,237.70000,7.24000,7.21000
2017-01-31,20719.20000,14324.50000,6394.69900,4689.90000,,4689.90000,1704.79900,-375.40000,1329.40000,433.20000,896.20000,896.20000,896.20000,2397.49900,1704.79900,235.70000,236.80000,3.80000,3.78000
2016-01-31,15498.40000,10841.70000,4656.70000,3607.00000,,3607.00000,1049.70000,-601.50000,448.20000,165.80000,282.40000,282.40000,282.40000,1602.00000,1049.70000,222.50000,223.50000,1.27000,1.26000
2015-01-31,8602.20000,5568.20000,3034.00000,1993.80000,,1993.80000,1040.20000,-86.00000,954.20000,355.00000,599.20000,599.20000,599.20000,1246.10000,1040.20000,206.00000,207.00000,2.91000,2.90000
2014-01-31,7840.30000,5050.50000,2789.80000,1819.50000,,1819.50000,970.29980,-16.00000,954.30000,357.60000,596.70000,596.70000,596.70000,1160.80000,970.29980,218.10000,219.10000,2.74000,2.72000
2013-01-31,7394.50000,4741.80000,2652.70000,1732.60000,,1732.60000,920.10010,58.80000,978.90000,359.60000,619.30000,619.30000,619.30000,1095.40000,920.10010,229.30000,230.70000,2.70000,2.68000
2012-01-31,6630.50000,4252.20000,2378.30000,1596.20000,,1596.20000,782.09960,-2.60000,779.50000,291.20000,488.30000,488.30000,488.30000,945.99960,782.09960,240.60000,242.40000,2.03000,2.01000
2011-01-31,5882.40000,3794.80000,2087.60000,1457.60000,,1457.60000,630.00000,-0.10000,629.90000,232.60000,397.30000,397.30000,397.30000,789.70000,630.00000,254.10000,256.00000,1.56000,1.55000
2010-01-31,5231.20000,3374.40000,1856.80000,1344.00000,,1344.00000,512.80030,-5.20000,507.60000,187.10000,320.50000,320.50000,320.50000,670.60030,512.80030,268.20000,270.00000,1.19500,1.18500
2009-01-31,4644.90000,3052.70000,1592.20000,1226.40000,,1226.40000,365.79980,-6.70000,359.10000,129.60000,229.50000,229.50000,229.50000,527.49980,365.79980,270.80000,272.20000,0.84500,0.84500
