,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,22780.00000,15089.00000,7691.00000,115.00000,420.00000,-119.00000,654.00000,7037.00000,-322.00000,6715.00000,2267.00000,4448.00000,4479.00000,,3468.00000,9056.00000,7037.00000,1441.00000,1451.00000,2.40000,2.39000
2021-12-31,22845.00000,14030.00000,8815.00000,55.00000,383.00000,-11.00000,449.00000,8366.00000,-707.00000,7659.00000,2299.00000,5360.00000,5365.00000,,4306.00000,10364.00000,8366.00000,1466.00000,1482.00000,2.93000,2.90000
2020-12-31,14198.00000,11655.00000,2543.00000,50.00000,370.00000,314.00000,106.00000,2437.00000,-640.00000,1797.00000,944.00000,853.00000,865.00000,,599.00000,3965.00000,2437.00000,1453.00000,1461.00000,0.41000,0.41000
2019-12-31,14402.00000,13125.00000,1277.00000,104.00000,394.00000,312.00000,186.00000,1091.00000,-785.00000,306.00000,510.00000,-204.00000,-192.00000,3.00000,-239.00000,2503.00000,1091.00000,1451.00000,1451.00000,-0.17000,-0.17000
2018-12-31,18628.00000,13466.00000,5162.00000,105.00000,422.00000,119.00000,408.00000,4754.00000,-862.00000,3892.00000,991.00000,2901.00000,2909.00000,-15.00000,2602.00000,6508.00000,4754.00000,1449.00000,1458.00000,1.79000,1.78000
2017-12-31,16403.00000,11980.00000,4423.00000,93.00000,477.00000,-163.00000,733.00000,3690.00000,-788.00000,2902.00000,883.00000,2019.00000,2029.00000,66.00000,1817.00000,5404.00000,3690.00000,1447.00000,1454.00000,1.25000,1.25000
2016-12-31,14830.00000,17534.00000,-2704.00000,63.00000,597.00000,635.00000,25.00000,-2729.00000,-743.00000,-3472.00000,371.00000,-3843.00000,-3832.00000,-193.00000,-4154.00000,-119.00000,-2729.00000,1318.00000,1318.00000,-3.16000,-3.16000
2015-12-31,14607.00000,27415.00000,-12808.00000,107.00000,558.00000,-39.00000,704.00000,-13512.00000,-616.00000,-14128.00000,-1951.00000,-12177.00000,-12180.00000,91.00000,-12236.00000,-10015.00000,-13512.00000,1082.00000,1082.00000,-11.31000,-11.31000
2014-12-31,20001.00000,18494.00000,1507.00000,106.00000,580.00000,598.00000,1805.00000,-298.00000,-502.00000,-800.00000,225.00000,-1025.00000,-1022.00000,277.00000,-1308.00000,3565.00000,-298.00000,1039.00000,1039.00000,-1.26000,-1.26000
2013-12-31,20921.00000,14637.00000,6284.00000,210.00000,657.00000,-66.00000,933.00000,5351.00000,-438.00000,4913.00000,1475.00000,3438.00000,3441.00000,,2658.00000,8148.00000,5351.00000,1002.00000,1006.00000,2.65000,2.64000
2012-12-31,18010.00000,11561.00000,6449.00000,285.00000,431.00000,81.00000,635.00000,5814.00000,-327.00000,5487.00000,1510.00000,3977.00000,3980.00000,,3041.00000,6993.00000,5814.00000,949.00000,954.00000,3.20000,3.19000
2011-12-31,20880.00000,10920.00000,9960.00000,271.00000,415.00000,-134.00000,820.00000,9140.00000,-322.00000,8818.00000,3087.00000,5731.00000,5747.00000,,4560.00000,10162.00000,9140.00000,947.00000,955.00000,4.81000,4.78000
2010-12-31,18982.00000,9371.00000,9611.00000,143.00000,381.00000,-19.00000,543.00000,9068.00000,-556.00000,8512.00000,2983.00000,5529.00000,5544.00000,,4273.00000,10104.00000,9068.00000,915.00000,949.00000,4.67000,4.57000
2009-12-31,15040.00000,8020.00000,7020.00000,90.00000,321.00000,-106.00000,517.00000,6503.00000,-687.00000,5816.00000,2307.00000,3509.00000,3534.00000,,2527.00000,7517.00000,6503.00000,829.00000,938.00000,3.05000,2.93000
