,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5802.30000,3475.50000,2326.80000,314.20000,775.20000,,1182.50000,1144.30000,-160.40000,983.90000,145.20000,838.70000,838.70000,-97.20000,736.50000,1144.30000,1144.30000,126.00000,126.70000,5.83000,5.81000
2021-12-31,5045.20000,2873.50000,2171.70000,304.70000,714.10000,,1126.80000,1044.90000,-151.10000,893.80000,91.60000,802.20000,802.20000,-68.20000,734.70000,1215.80000,1044.90000,128.40300,129.14600,5.72000,5.70000
2020-12-31,4642.10000,2590.10000,2052.00000,287.90000,729.70000,,1149.80000,902.20020,-172.40000,729.80000,150.90000,578.90000,578.90000,-28.30000,550.10000,1064.90000,902.20020,129.70100,130.58400,4.24000,4.22000
2019-12-31,4609.80000,2526.20000,2083.60000,298.10000,792.90000,,1262.00000,821.59960,-166.60000,655.00000,111.50000,543.50000,543.50000,-63.30000,475.90000,971.69960,821.59960,130.76100,132.00200,3.64000,3.62000
2018-12-31,4285.30000,2405.50000,1879.80000,287.70000,790.00000,,1138.90000,740.89990,-132.70000,608.40000,70.80000,537.60000,537.60000,-26.10000,502.10000,891.09990,740.89990,134.40600,135.87900,3.72000,3.69000
2017-12-31,2531.20000,1579.40000,951.79990,138.40000,581.70000,,793.30000,158.50000,-62.70000,95.80000,228.90000,-133.10000,-133.10000,671.50000,535.80000,256.30000,158.50000,134.25500,134.25500,3.99000,3.99000
2016-12-31,2538.90000,1607.70000,931.20000,134.50000,435.10000,,664.60000,266.59990,-85.80000,180.80000,50.10000,130.70000,130.70000,81.00000,209.10000,367.19990,266.59990,133.89000,134.53800,1.56000,1.56000
2015-12-31,2491.00000,1690.60000,800.40000,135.90000,660.70000,,946.90000,-146.50000,-60.90000,-207.40000,5.20000,-212.60000,-212.60000,711.10000,489.00000,-69.70000,-146.50000,133.69600,133.69600,3.66000,3.66000
2014-12-31,3258.70000,2047.80000,1210.90000,126.30000,589.80000,-23.60000,796.10000,414.79980,-51.00000,363.80000,56.20000,307.60000,307.60000,14.50000,307.50000,508.29980,414.79980,133.32700,134.28200,2.30000,2.29000
2013-12-31,3130.70000,1929.80000,1200.90000,115.60000,496.10000,,611.70000,589.20000,-86.00000,503.20000,131.60000,371.60000,371.60000,-63.60000,292.30000,677.20000,589.20000,135.20900,136.13700,2.16000,2.16000
2012-12-31,3409.90000,2141.60000,1268.30000,112.00000,489.70000,,601.70000,666.59990,-68.90000,597.70000,134.50000,463.20000,463.20000,-27.50000,414.20000,782.49990,666.59990,137.70100,138.81300,3.01000,3.00000
2011-12-31,3036.30000,1935.70000,1100.60000,101.10000,405.80000,,513.20000,587.40010,-34.20000,553.20000,132.90000,420.30000,420.30000,-38.10000,365.90000,687.00010,587.40010,142.05600,143.30800,2.57000,2.55000
2010-12-31,3116.30000,2065.60000,1050.70000,100.50000,411.20000,,511.70000,539.00000,-188.50000,350.50000,132.00000,218.50000,218.50000,-33.60000,172.50000,672.60000,539.00000,144.42000,146.16000,1.19000,1.18000
2009-12-31,2826.20000,1943.60000,882.60000,92.80000,322.30000,,415.10000,467.50000,-157.50000,310.00000,53.00000,257.00000,257.00000,-18.20000,227.40000,594.70000,467.50000,144.32600,146.60200,1.57500,1.56000
