,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5856.70000,1911.80000,3944.90000,307.90000,2546.40000,-22.10000,3537.20000,407.69970,-146.20000,261.50000,58.50000,203.00000,203.00000,203.50000,1476.80000,407.69970,138.70000,138.90000,1.47000,1.46000
2021-12-31,6420.40000,1927.50000,4492.90000,315.70000,2559.70000,-108.80000,3729.60000,763.30030,-181.40000,581.90000,146.60000,435.30000,435.30000,428.70000,1672.00000,763.30030,138.00000,138.40000,3.11000,3.10000
2020-12-31,5465.40000,1718.90000,3746.50000,259.50000,2234.80000,,3244.70000,501.79980,-179.70000,322.10000,96.70000,225.40000,225.40000,222.50000,1225.30000,501.79980,137.30000,137.60000,1.62000,1.62000
2019-12-31,4720.20000,1807.80000,2912.40000,262.20000,1865.20000,,2260.30000,652.10010,-57.90000,594.30000,73.80000,520.50000,520.50000,520.50000,918.50010,652.10010,127.90000,128.50000,4.07000,4.05000
2018-12-31,4579.64600,1850.67800,2728.96800,246.16500,2079.14200,,2397.91600,331.05220,-60.65000,270.40200,49.96800,220.43400,220.43400,220.43400,574.21920,331.05220,126.13200,126.13200,1.75000,1.74000
2017-12-31,5209.78200,2033.69300,3176.08900,269.02000,2032.09400,,2365.73000,810.35940,-24.20900,786.15000,389.54300,396.60700,396.60700,396.60700,1017.99300,810.35940,125.03900,127.03100,3.17000,3.12000
2016-12-31,5019.82200,1905.47400,3114.34800,266.37500,1989.23100,,2326.30000,788.04790,-95.55900,692.48900,159.33800,533.15100,533.15100,551.38000,978.44890,788.04790,125.29200,126.96600,4.40000,4.34000
2015-12-31,4447.50900,1677.03300,2770.47600,242.94400,1749.42800,,2078.54300,691.93290,-88.01800,603.91500,157.04300,446.87200,446.87200,451.83800,889.70890,691.93290,125.00600,126.68800,3.61000,3.57000
2014-12-31,4277.20700,1698.37200,2578.83500,222.55600,1621.11000,,1943.46000,635.37500,-95.38700,539.98800,126.67800,413.31000,413.31000,415.93000,840.42700,635.37500,128.41100,129.88600,3.24000,3.20000
2013-12-31,4082.15700,1672.90100,2409.25600,207.59100,1608.69600,,1942.16300,467.09300,-115.27100,351.82200,67.89400,283.92800,283.92800,286.19800,695.76800,467.09300,130.18600,131.78800,2.20000,2.17000
2012-12-31,4088.98300,1671.98000,2417.00300,201.19700,1571.65200,,1865.21800,551.78490,-98.38300,453.40200,117.40300,335.99900,335.99900,335.99900,743.87190,551.78490,130.06700,131.92600,2.58000,2.55000
2011-12-31,4285.58900,1836.26300,2449.32600,197.63800,1575.26200,,1855.34500,593.98100,-107.58800,486.39300,101.02600,385.36700,385.36700,385.36700,790.24690,593.98100,133.82300,133.82300,2.88000,2.82000
2010-12-31,4002.16100,1690.05700,2312.10400,201.35800,1450.41300,,1724.24500,587.85890,-80.13900,507.72000,109.96800,397.75200,397.75200,397.75200,756.25790,587.85890,139.07900,145.67000,2.86000,2.74000
2009-12-31,4067.94700,1676.33600,2391.61100,181.19500,1536.78900,,1803.01300,588.59790,-58.90100,529.69700,154.76700,374.93000,374.93000,374.93000,769.56090,588.59790,139.48700,152.78000,2.69000,2.48000
