,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4907.00000,3378.00000,1529.00000,17.00000,754.00000,775.00000,-106.00000,669.00000,26.00000,643.00000,643.00000,,633.00000,1449.00000,775.00000,714.70000,717.50000,0.89000,0.88000
2021-12-31,2890.00000,2287.00000,603.00000,8.00000,853.00000,-250.00000,148.00000,-102.00000,-91.00000,-11.00000,-11.00000,,-11.00000,522.00000,-250.00000,710.30000,710.30000,-0.02000,-0.02000
2020-12-31,1620.00000,1819.00000,-199.00000,,754.00000,-953.00000,-8.00000,-961.00000,-220.00000,-741.00000,-741.00000,,-732.00000,-280.00000,-953.00000,705.90000,705.90000,-1.04000,-1.04000
2019-12-31,5469.00000,3892.00000,1577.00000,5.00000,778.00000,799.00000,163.00000,962.00000,30.00000,932.00000,932.00000,,920.00000,1481.00000,799.00000,730.30000,731.10000,1.26000,1.26000
2018-12-31,5524.00000,3953.00000,1571.00000,7.00000,1041.00000,530.00000,771.00000,1301.00000,150.00000,1151.00000,1151.00000,,1087.00000,1481.00000,530.00000,739.80000,740.60000,1.47000,1.47000
2017-12-31,5387.00000,3876.00000,1511.00000,14.00000,835.00000,676.00000,-25.00000,651.00000,80.00000,571.00000,571.00000,,564.00000,1434.00000,676.00000,738.60000,739.10000,0.76000,0.76000
2016-12-31,5430.00000,3931.00000,1499.00000,15.00000,815.00000,684.00000,127.00000,811.00000,40.00000,771.00000,771.00000,,762.00000,1415.00000,684.00000,743.00000,743.70000,1.03000,1.02000
2015-12-31,5350.00000,3919.00000,1431.00000,2.00000,800.00000,631.00000,-57.00000,574.00000,9.00000,565.00000,565.00000,,558.00000,1360.00000,631.00000,752.40000,752.90000,0.74000,0.74000
2014-12-31,5321.00000,3901.00000,1420.00000,10.00000,726.00000,694.00000,61.00000,755.00000,14.00000,741.00000,741.00000,,732.00000,1411.00000,694.00000,755.40000,786.80000,0.97000,0.96000
2013-12-31,5166.00000,3836.00000,1330.00000,,818.00000,512.00000,-281.00000,231.00000,21.00000,210.00000,210.00000,115.00000,317.00000,1244.00000,512.00000,744.40000,747.90000,0.43000,0.42000
2012-12-31,5059.00000,3879.00000,1180.00000,11.00000,818.00000,362.00000,-339.00000,23.00000,31.00000,-8.00000,-8.00000,71.00000,61.00000,1129.00000,362.00000,718.20000,719.60000,0.08000,0.08000
2011-12-31,4714.00000,3687.00000,1027.00000,2.00000,718.00000,309.00000,-337.00000,-28.00000,-1.00000,-27.00000,-27.00000,11.00000,-15.00000,994.00000,309.00000,693.00000,693.00000,-0.02000,-0.02000
2010-12-31,4361.00000,3451.00000,910.00000,3.00000,687.00000,223.00000,-381.00000,-158.00000,-31.00000,-127.00000,-127.00000,-5.00000,-138.00000,848.00000,223.00000,656.10000,656.10000,-0.21000,-0.21000
2009-12-31,4135.00000,3257.00000,878.00000,,729.00000,149.00000,-385.00000,-236.00000,-39.00000,-197.00000,-197.00000,-61.00000,-261.00000,897.00000,149.00000,586.30000,587.20000,-0.45000,-0.45000
