,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-09-30,14922.83000,11595.79000,3327.04000,2409.19000,2409.18000,917.85060,-41.50300,876.34700,160.90300,715.44400,715.44400,-0.03200,644.03900,1218.90700,917.85060,128.66500,129.44500,5.01000,4.98000
2021-09-30,14092.63000,11048.86000,3043.77100,2355.68300,2355.68000,688.08890,7.51300,695.60200,274.78100,420.82100,420.82100,10.00800,477.03000,938.88890,688.08890,130.19400,131.27400,3.22000,3.20000
2020-09-30,13566.97000,10980.31000,2586.66800,2050.69500,2050.69000,535.97270,-94.77000,441.20300,55.32000,385.88300,385.88300,137.98400,491.84500,717.60570,535.97270,131.51400,132.72100,3.74000,3.71000
2019-09-30,12737.87000,10260.84000,2477.02800,2072.17700,2072.18000,404.85160,-53.89200,350.95900,36.95400,314.00500,314.00500,559.21400,847.97900,574.12050,404.85160,137.90700,139.20600,6.14000,6.08000
2018-09-30,10579.77000,8421.22300,2158.55100,1771.10700,1771.10700,387.44340,-56.46200,330.98100,325.63200,5.34900,5.34900,167.79300,163.43100,586.03040,387.44340,137.53600,137.53600,1.18000,1.18000
2017-09-30,6330.12600,5070.09100,1260.03500,1015.89300,1015.89300,244.14210,-0.98800,243.15400,73.10300,170.05100,170.05100,117.32400,293.72700,366.65510,244.14210,119.37000,120.14700,2.43000,2.42000
2016-09-30,10964.16000,9196.32600,1767.83100,1429.23300,1429.23400,338.59770,-51.87500,286.72300,72.20800,214.51500,214.51500,,210.46300,468.56870,338.59770,120.13300,121.48300,1.75000,1.73000
2015-09-30,12114.83000,10146.49000,1968.33800,1522.81100,1522.81000,445.52730,-15.39000,430.13700,101.25500,328.88200,328.88200,,302.97100,594.81930,445.52730,125.00700,126.11000,2.42000,2.40000
2014-09-30,12695.16000,10621.37000,2073.78400,1545.71600,1545.72000,528.06840,14.09800,542.16600,190.05400,352.11200,352.11200,,328.10800,673.48030,528.06840,130.48300,132.37100,2.51000,2.48000
2013-09-30,11818.38000,9976.05700,1842.31900,1173.34000,1173.34300,668.97950,-7.43100,661.54800,221.36600,440.18200,440.18200,,423.09300,767.85350,668.97950,129.28800,130.94500,3.27000,3.23000
2012-09-30,10893.78000,9166.78900,1726.98900,1130.91600,1130.92100,596.07320,-2.73700,593.33600,202.38200,390.95400,390.95400,,378.95400,696.89720,596.07320,127.64400,128.69200,2.97000,2.94000
2011-09-30,10381.66000,8822.17100,1559.49300,1040.57500,1040.57500,518.91800,-2.25700,516.66100,181.44000,335.22100,335.22100,,331.02900,614.28800,518.91800,125.68600,127.23500,2.63000,2.60000
2010-09-30,9915.51700,8582.91200,1332.60400,932.52200,932.52200,400.08300,-8.14900,391.93400,145.64700,246.28700,246.28700,,245.97400,488.57800,400.08300,124.13400,125.79000,1.98000,1.96000
2009-09-30,11467.38000,9906.49300,1560.88300,940.31000,940.30700,620.57320,3.55900,624.13200,224.91900,399.21300,399.21300,,399.85400,706.91520,620.57320,122.77200,124.53400,3.26000,3.21000
