,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,14814.00000,8826.44100,5987.55800,4011.48400,4656.00900,1331.55400,-50.18000,1281.37300,312.02200,969.35110,969.35110,969.35100,1976.07400,1331.55400,104.14100,105.27600,9.31000,9.21000
2021-12-31,12168.30000,7349.00400,4819.29800,3216.67500,3773.76600,1045.53000,-45.75800,999.77200,238.96600,760.80600,760.80600,760.80600,1602.62300,1045.53000,105.35900,106.59300,7.22000,7.14000
2020-12-31,9636.57300,5645.95600,3990.61700,2750.12300,3277.49800,713.11910,-47.09400,666.02500,159.99000,506.03500,506.03500,506.03500,1240.49400,713.11910,105.70000,106.76600,4.79000,4.74000
2019-12-31,9165.25800,5325.12000,3840.13800,2607.16800,3106.31300,733.82520,-52.93000,680.89500,164.57500,516.32000,516.32000,516.32000,1232.97000,733.82520,107.32900,108.30700,4.81000,4.77000
2018-12-31,8614.87400,5197.08000,3417.79400,2300.88000,2736.77300,681.02150,-40.20300,640.81800,151.23300,489.58500,489.58500,489.58500,1116.91500,681.02150,109.37500,110.42800,4.48000,4.43000
2017-12-31,7189.56800,4255.61800,2933.95000,1926.64300,2310.16100,623.78910,-28.55000,595.23900,-91.02400,686.26300,686.26300,686.26300,1007.30700,623.78910,109.98700,111.04900,6.24000,6.18000
2016-12-31,6555.45900,3772.35200,2783.10700,1700.57700,2062.08700,721.02000,-25.22300,695.79700,263.70700,432.09000,432.09000,432.09000,1082.53000,721.02000,112.47400,113.36100,3.84000,3.81000
2015-12-31,6187.64600,3528.21700,2659.42900,1604.12200,1943.73500,715.69380,-25.49100,690.20300,262.96800,427.23500,427.23500,427.23500,1055.30700,715.69380,115.67700,116.72800,3.69000,3.66000
2014-12-31,6165.44100,3757.73400,2407.70700,1481.66900,1776.16500,631.54200,-26.94100,604.60100,229.80900,374.79200,374.79200,374.79200,926.03800,631.54200,117.00000,118.44500,3.20000,3.16000
2013-12-31,5584.57100,3464.19400,2120.37700,1290.28900,1543.66900,576.70750,-23.14000,553.56800,211.18600,342.38200,342.38200,342.38200,830.08750,576.70750,117.44900,119.40400,2.92000,2.87000
2012-12-31,5054.98000,3130.11900,1924.86100,1165.49500,1394.66100,530.19970,-25.55900,504.64100,194.28700,310.35400,310.35400,310.35400,759.36570,530.19970,117.57200,120.02200,2.64000,2.59000
2011-12-31,4526.84200,2746.83300,1780.00900,1121.83300,1335.77600,444.23290,-28.50000,415.73300,158.72700,257.00600,257.00600,257.00600,658.17590,444.23290,119.15800,121.92200,2.16000,2.11000
2010-12-31,3793.48500,2207.40400,1586.08100,1041.39400,1238.45600,347.62500,-27.93100,319.69400,120.07700,199.61700,199.61700,199.61700,544.68700,347.62500,124.71200,127.76700,1.60000,1.56000
2009-12-31,3203.32100,1823.51700,1379.80400,942.78800,1131.83300,247.97090,-23.90300,224.06800,87.63300,136.43500,136.43500,136.43500,437.01590,247.97090,126.67600,129.46200,1.08000,1.05000
