,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,33364.00000,19450.00000,13914.00000,143.00000,3107.00000,-1091.00000,8545.00000,5369.00000,174.00000,5543.00000,1434.00000,4109.00000,4281.00000,0.00000,4147.00000,9573.00000,5369.00000,499.73600,504.03800,8.30000,8.23000
2021-12-31,30793.00000,17543.00000,13250.00000,143.00000,3189.00000,-299.00000,8266.00000,4984.00000,115.00000,5099.00000,1262.00000,3837.00000,3956.00000,5.00000,3826.00000,9619.00000,4984.00000,516.89600,521.87500,7.40000,7.33000
2020-12-31,27243.00000,15383.00000,11860.00000,152.00000,3193.00000,-567.00000,8538.00000,3322.00000,62.00000,3384.00000,847.00000,2537.00000,2622.00000,4.00000,2501.00000,7948.00000,3322.00000,526.73600,531.15700,4.75000,4.71000
2019-12-31,28228.00000,16644.00000,11584.00000,184.00000,3457.00000,-335.00000,8651.00000,2933.00000,-6.00000,2927.00000,769.00000,2158.00000,2272.00000,109.00000,2285.00000,7620.00000,2933.00000,541.09400,545.17000,4.22000,4.19000
2018-12-31,14836.00000,9020.00000,5816.00000,113.00000,1629.00000,3003.00000,569.00000,5247.00000,-198.00000,5049.00000,817.00000,4232.00000,4288.00000,117.00000,4381.00000,7445.00000,5247.00000,330.40100,334.12700,13.26000,13.11000
2017-12-31,11358.00000,6382.00000,4976.00000,93.00000,1207.00000,-48.00000,2532.00000,2444.00000,-157.00000,2287.00000,1026.00000,1261.00000,1308.00000,0.00000,1247.00000,3628.00000,2444.00000,286.26100,289.11400,4.36000,4.32000
2016-12-31,10534.00000,5855.00000,4679.00000,92.00000,1145.00000,-73.00000,2432.00000,2247.00000,-199.00000,2048.00000,551.00000,1497.00000,1538.00000,,1500.00000,3369.00000,2247.00000,285.67700,287.75700,5.25000,5.21000
2015-12-31,10776.00000,5960.00000,4816.00000,93.00000,1152.00000,-144.00000,2495.00000,2321.00000,-161.00000,2160.00000,612.00000,1548.00000,1591.00000,,1547.00000,3427.00000,2321.00000,287.00500,289.05500,5.39000,5.35000
2014-12-31,12273.00000,6962.00000,5311.00000,96.00000,1308.00000,-129.00000,2703.00000,2608.00000,-213.00000,2395.00000,691.00000,1704.00000,1746.00000,,1694.00000,3778.00000,2608.00000,292.49400,295.60800,5.79000,5.73000
2013-12-31,11925.00000,6744.00000,5181.00000,98.00000,1349.00000,,2556.00000,2625.00000,-178.00000,2447.00000,649.00000,1798.00000,1836.00000,,1755.00000,3734.00000,2625.00000,295.52300,298.96500,5.94000,5.87000
2012-12-31,11224.00000,6396.00000,4828.00000,98.00000,1270.00000,-22.00000,2391.00000,2437.00000,-141.00000,2296.00000,586.00000,1710.00000,1744.00000,,1692.00000,3438.00000,2437.00000,298.31600,301.84500,5.67000,5.61000
2011-12-31,11252.00000,6458.00000,4794.00000,90.00000,1239.00000,6.00000,2326.00000,2468.00000,-145.00000,2323.00000,641.00000,1682.00000,1722.00000,,1672.00000,3471.00000,2468.00000,302.23700,306.72200,5.53000,5.45000
2010-12-31,10116.00000,5754.00000,4362.00000,79.00000,1196.00000,-80.00000,2280.00000,2082.00000,-118.00000,1964.00000,768.00000,1196.00000,1234.00000,,1195.00000,3007.00000,2082.00000,306.72000,311.39500,3.90000,3.84000
2009-12-31,8956.00000,5032.00000,3924.00000,74.00000,1088.00000,-341.00000,2349.00000,1575.00000,-133.00000,1442.00000,169.00000,1273.00000,1297.00000,,1254.00000,2421.00000,1575.00000,307.67600,312.38200,4.08000,4.01000
