,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4110.00000,2460.00000,1650.00000,143.00000,1171.00000,-37.00000,2442.00000,-792.00000,-595.00000,-1387.00000,154.00000,-1541.00000,-1541.00000,2898.00000,1832.00000,356.00000,-792.00000,764.00000,764.00000,2.40000,2.40000
2021-12-31,4234.00000,2626.00000,1608.00000,109.00000,1042.00000,-49.00000,2297.00000,-689.00000,-785.00000,-1474.00000,-5.00000,-1469.00000,-1469.00000,193.00000,-961.00000,460.00000,-689.00000,764.00000,764.00000,-1.26000,-1.26000
2020-12-31,2940.00000,2119.00000,821.00000,18.00000,966.00000,-178.00000,2214.00000,-1393.00000,-483.00000,-1876.00000,24.00000,-1900.00000,-1900.00000,-243.00000,-1685.00000,-298.00000,-1393.00000,764.00000,764.00000,-2.21000,-2.21000
2019-12-31,12127.00000,6099.00000,6028.00000,24.00000,1431.00000,-137.00000,2663.00000,3365.00000,235.00000,3600.00000,432.00000,3168.00000,3168.00000,136.00000,2698.00000,4466.00000,3365.00000,771.00000,771.00000,3.50000,3.50000
2018-12-31,13729.00000,6974.00000,6755.00000,12.00000,1685.00000,-161.00000,3004.00000,3751.00000,-425.00000,3326.00000,375.00000,2951.00000,2951.00000,,2413.00000,4927.00000,3751.00000,786.00000,786.00000,3.07000,3.07000
2017-12-31,12728.00000,6329.00000,6399.00000,13.00000,1590.00000,-124.00000,2935.00000,3464.00000,-410.00000,3054.00000,-209.00000,3263.00000,3263.00000,,2808.00000,4710.00000,3464.00000,792.00000,792.00000,3.55000,3.55000
2016-12-31,11271.00000,5686.00000,5585.00000,9.00000,1543.00000,-382.00000,3083.00000,2502.00000,-238.00000,2264.00000,239.00000,2025.00000,2025.00000,,1679.00000,3691.00000,2502.00000,795.00000,795.00000,2.11000,2.11000
2015-12-31,11688.00000,6117.00000,5571.00000,10.00000,1443.00000,-239.00000,2730.00000,2841.00000,-219.00000,2622.00000,236.00000,2386.00000,2386.00000,,1966.00000,3919.00000,2841.00000,797.00000,798.00000,2.47000,2.47000
2014-12-31,14584.00000,7746.00000,6838.00000,14.00000,1433.00000,-220.00000,2739.00000,4099.00000,-266.00000,3833.00000,245.00000,3588.00000,3588.00000,,2841.00000,5218.00000,4099.00000,806.00000,808.00000,3.52000,3.52000
2013-12-31,13769.88000,7516.45700,6253.42800,15.80900,1519.27500,-262.28100,2845.18300,3408.24300,-264.73100,3143.51200,188.83600,2954.67600,2954.67600,,2305.99700,4507.91100,3408.24300,822.28300,826.31600,2.80000,2.79000
2012-12-31,11131.13000,6069.57600,5061.55600,19.95800,1268.96500,-529.04100,2750.17500,2311.38100,-248.80600,2062.57600,180.76300,1881.81300,1881.81300,,1524.09300,3289.12400,2311.38100,806.39560,824.55600,1.89000,1.85000
2011-12-31,9410.74500,4922.67700,4488.06800,11.30900,1022.61800,-226.48400,2098.18100,2389.88700,-295.06400,2094.82300,211.70400,1883.11900,1883.11900,,1269.50800,3266.42700,2389.88700,728.34300,811.81700,1.74000,1.56000
2010-12-31,6853.18200,3875.18700,2977.99500,1.78300,792.14600,-267.20700,1797.40900,1180.58600,-324.68100,855.90500,74.30200,781.60300,781.60300,,407.46300,1953.29300,1180.58600,667.46400,791.76100,0.61000,0.51000
2009-12-31,4563.10500,2876.87300,1686.23200,0.53300,658.29700,-440.20200,1714.97200,-28.74020,-343.88700,-372.62700,-3.88400,-368.74300,-368.74300,,-540.05000,609.16580,-28.74020,656.83700,656.83700,-0.82000,-0.82000
