,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,10537.00000,5374.00000,5163.00000,1099.00000,1957.00000,-1073.00000,4129.00000,1034.00000,-254.00000,780.00000,298.00000,482.00000,482.00000,482.00000,1437.00000,1034.00000,50.34500,51.33600,9.57000,9.53000
2021-12-31,7069.00000,4064.00000,3005.00000,590.00000,1539.00000,-435.00000,2564.00000,441.00000,-200.00000,241.00000,149.00000,92.00000,83.00000,83.00000,645.00000,441.00000,49.80300,49.80300,1.67000,1.67000
2020-12-31,3974.00000,2265.00000,1709.00000,353.00000,1095.00000,-133.00000,1581.00000,128.00000,-47.00000,81.00000,82.00000,-1.00000,-1.00000,-1.00000,233.00000,128.00000,49.74000,49.74000,-0.08000,-0.08000
2019-12-31,2296.31400,1194.19100,1102.12300,223.80700,1031.47700,,1255.28400,-153.16110,45.91500,-107.24600,64.75300,-171.99900,-171.99900,-180.84000,-79.84110,-153.16110,48.69300,48.69300,-3.71000,-3.71000
2018-12-31,1439.65300,742.64500,697.00790,146.27300,620.21700,,766.49000,-69.48210,4.03000,-65.45200,-28.86700,-36.58500,-36.58500,-36.58500,-12.28210,-69.48210,44.53000,44.53000,-0.82000,-0.82000
2017-12-31,1216.54200,496.94200,719.60000,127.16000,447.56900,-88.59800,663.32700,56.27300,-2.20300,54.07000,40.29000,13.78000,13.78000,13.78000,97.19400,56.27300,44.15700,44.15700,0.31000,0.31000
2016-12-31,844.39600,307.53800,536.85800,98.47900,243.60600,-13.71700,355.80200,181.05600,4.27200,185.32800,48.96200,136.36600,136.36600,136.36600,210.07800,181.05600,44.15700,44.15700,3.09000,3.09000
2015-12-31,651.79000,214.99400,436.79600,76.42300,204.95100,-16.22600,297.60000,139.19600,11.29500,150.49100,44.70200,105.78900,105.78900,105.78900,162.40500,139.19600,44.15600,44.15600,2.40000,2.40000
2014-12-31,556.53600,158.97800,397.55800,53.60000,173.99100,-49.49600,277.08700,120.47100,1.32500,121.79600,49.14300,72.65300,72.65300,72.58100,137.41800,120.47100,44.15400,44.15400,1.63000,1.63000
2013-12-31,472.59500,130.07700,342.51800,40.88800,148.09100,0.00000,188.97900,153.53900,9.57000,163.10900,45.58300,117.52600,117.52600,117.50700,165.41800,153.53900,44.15300,44.15300,2.66000,2.66000
2012-12-31,373.60150,98.08570,275.51590,28.62690,117.23110,0.00000,145.85790,129.65790,10.55970,140.21750,38.87140,101.34610,101.34610,101.24730,138.61720,129.65790,44.14800,44.15000,2.30000,2.30000
2011-12-31,298.93160,72.05580,226.87580,23.34980,103.75380,,127.10370,99.77220,8.68400,108.45620,31.65980,76.79630,76.79630,76.78010,107.04020,99.77220,44.13800,44.15100,1.73000,1.73000
2010-12-31,216.71570,46.54990,170.16590,15.85600,79.71130,,95.56730,74.59860,-2.73290,71.86570,15.84060,56.02500,56.02500,56.02500,79.52020,74.59860,44.12400,44.14700,1.27000,1.27000
2009-12-31,172.84360,35.95810,136.88560,12.14050,68.71130,,80.85180,56.03370,-13.32090,42.71280,9.50400,33.20880,33.20880,33.20880,59.92750,56.03370,44.08700,44.14400,0.75000,0.75000
