,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,12745.00000,4094.00000,8651.00000,2621.00000,,3842.00000,4809.00000,-679.00000,4130.00000,860.00000,3270.00000,3270.00000,3268.00000,6030.00000,4809.00000,234.80000,235.60000,13.92000,13.88000
2021-12-31,11142.00000,3072.00000,8070.00000,2442.00000,,3623.00000,4447.00000,-569.00000,3878.00000,873.00000,3005.00000,3005.00000,3003.00000,5628.00000,4447.00000,246.90000,248.10000,12.16000,12.11000
2020-12-31,9789.00000,2875.00000,6914.00000,2373.00000,-385.00000,3912.00000,3002.00000,-472.00000,2530.00000,517.00000,2013.00000,2013.00000,2010.00000,4156.00000,3002.00000,255.10000,256.60000,7.88000,7.84000
2019-12-31,11296.00000,3418.00000,7878.00000,2751.00000,0.00000,3889.00000,3989.00000,-498.00000,3491.00000,769.00000,2722.00000,2722.00000,2717.00000,5128.00000,3989.00000,263.30000,265.60000,10.32000,10.25000
2018-12-31,11458.00000,3472.00000,7986.00000,2925.00000,0.00000,4027.00000,3959.00000,-490.00000,3469.00000,803.00000,2666.00000,2666.00000,2660.00000,5063.00000,3959.00000,277.70000,280.20000,9.58000,9.51000
2017-12-31,10551.00000,2995.00000,7556.00000,2979.00000,,4034.00000,3522.00000,-394.00000,3128.00000,-2276.00000,5404.00000,5404.00000,5400.00000,4581.00000,3522.00000,287.90000,290.30000,18.76000,18.61000
2016-12-31,9888.00000,3045.00000,6843.00000,2808.00000,,3834.00000,3009.00000,-427.00000,2582.00000,914.00000,1668.00000,1668.00000,1663.00000,4039.00000,3009.00000,293.90000,296.00000,5.66000,5.62000
2015-12-31,10511.00000,3662.00000,6849.00000,2911.00000,,3965.00000,2884.00000,-442.00000,2442.00000,886.00000,1556.00000,1556.00000,1550.00000,3943.00000,2884.00000,301.90000,304.40000,5.13000,5.10000
2014-12-31,11624.00000,4201.00000,7423.00000,2897.00000,,3848.00000,3575.00000,-441.00000,3134.00000,1134.00000,2000.00000,2000.00000,1994.00000,4531.00000,3575.00000,309.40000,312.50000,6.44000,6.39000
2013-12-31,11245.00000,4070.00000,7175.00000,3002.00000,,3918.00000,3257.00000,-292.00000,2965.00000,1055.00000,1910.00000,1910.00000,1903.00000,4179.00000,3257.00000,311.90000,315.50000,6.10000,6.04000
2012-12-31,11040.00000,4040.00000,7000.00000,2960.00000,,3876.00000,3124.00000,-366.00000,2758.00000,1009.00000,1749.00000,1749.00000,1740.00000,4046.00000,3124.00000,320.90000,325.20000,5.42000,5.37000
2011-12-31,11172.00000,4123.00000,7049.00000,2974.00000,,3836.00000,3213.00000,-295.00000,2918.00000,1002.00000,1916.00000,1916.00000,1907.00000,4082.00000,3213.00000,345.50000,351.30000,5.52000,5.45000
2010-12-31,9516.00000,3313.00000,6203.00000,2708.00000,,3527.00000,2676.00000,-309.00000,2367.00000,871.00000,1496.00000,1496.00000,1488.00000,3502.00000,2676.00000,366.50000,371.80000,4.06000,4.00000
2009-12-31,7969.00000,2769.00000,5200.00000,2401.00000,,3238.00000,1962.00000,-340.00000,1622.00000,588.00000,1034.00000,1034.00000,1026.00000,2807.00000,1962.00000,367.10000,372.10000,2.79000,2.76000
