,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,41512.47000,29009.19000,12503.28000,1997.17800,-101.75600,2098.93000,10404.35000,-159.50200,10244.84000,2165.20400,8079.64000,8079.64000,7576.16500,11465.98000,10404.35000,262.34800,263.17600,28.88000,28.79000
2021-12-31,36483.94000,25458.53000,11025.41000,1706.60900,-62.16100,1768.76000,9256.64300,-55.78600,9200.85800,2078.48800,7122.37000,7122.37000,6795.15000,10121.21000,9256.64300,292.49100,293.39000,23.23000,23.16000
2020-12-31,20139.66000,17911.71000,2227.95100,615.04100,-613.64000,1228.68000,999.26950,-163.73100,835.53800,-0.49000,836.02800,836.02800,717.11400,1784.73600,999.26950,303.16800,303.27100,2.37000,2.36000
2019-12-31,22588.86000,19909.77000,2679.08400,711.24800,-66.91600,778.17000,1900.92000,-118.11400,1782.80700,411.89700,1370.91000,1370.91000,1264.10800,2635.57300,1900.92000,305.04000,305.50300,4.14000,4.14000
2018-12-31,25067.28000,20771.87000,4295.40800,860.72200,-110.00000,970.72000,3324.68600,-95.29500,3229.39100,748.30700,2481.08400,2481.08400,2351.42300,4044.32300,3324.68600,315.85800,316.73300,7.44000,7.42000
2017-12-31,20252.39000,17682.99000,2569.40600,687.53100,,687.53000,1881.87500,-131.91900,1749.95700,369.38600,1380.57100,1380.57100,1314.13900,2608.93600,1881.87500,319.99000,320.77300,4.11000,4.10000
2016-12-31,16208.12000,14182.21000,2025.90700,596.76100,,596.77000,1429.14600,-130.48700,1298.65900,398.24300,900.41600,900.41600,793.63900,2116.20000,1429.14600,319.56300,319.82200,2.48000,2.48000
2015-12-31,16439.28000,15325.39000,1113.89000,458.98900,-244.83300,703.82000,410.06740,-168.20200,241.86600,48.83600,193.03000,193.03000,79.21000,1110.08400,410.06740,320.56500,320.67900,0.25000,0.25000
2014-12-31,21105.14000,19255.90000,1849.23600,520.80500,-25.39300,546.20000,1303.03900,-155.75100,1147.28800,368.72400,778.56400,778.56400,677.01600,2027.46200,1303.03900,319.83800,320.12700,2.12000,2.11000
2013-12-31,19052.05000,17641.42000,1410.62500,467.90400,-14.00000,481.91000,928.72070,-137.59800,791.12300,205.59400,585.52900,585.52900,486.10600,1538.92900,928.72070,319.07700,319.26600,1.52000,1.52000
2012-12-31,19429.27000,17915.73000,1513.53900,454.90000,-30.00000,484.90000,1028.63900,-175.69800,852.94000,259.81400,593.12600,593.12600,502.90600,1635.66000,1028.63900,318.17200,318.24000,1.58000,1.58000
2011-12-31,20023.56000,18142.14000,1881.42000,439.52800,-13.94300,453.48000,1427.94900,-176.13700,1251.81200,390.82800,860.98400,860.98400,775.53500,2018.34900,1427.94900,316.99700,317.16100,2.45000,2.45000
2010-12-31,15844.63000,15060.88000,783.74510,331.45500,0.00000,331.46000,452.29000,-185.17500,267.11500,60.79200,206.32300,206.32300,132.26900,1034.89200,452.29000,315.96200,316.51000,0.42000,0.42000
2009-12-31,11190.30000,11035.90000,154.39260,351.27800,,351.28000,-196.88570,-217.09300,-413.97800,-176.80000,-237.17800,-237.17800,-295.55900,369.53720,-196.88570,314.87300,314.87300,-0.94000,-0.94000
