,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,9800.00000,4018.00000,5782.00000,3178.00000,-123.00000,4401.00000,1381.00000,-379.00000,1002.00000,-29.00000,1031.00000,1031.00000,,1031.00000,2719.00000,1381.00000,498.00000,501.00000,2.07000,2.06000
2021-12-31,9722.00000,3499.00000,6223.00000,3226.00000,-2637.00000,7079.00000,-856.00000,-233.00000,-1089.00000,-441.00000,-648.00000,-648.00000,,-648.00000,685.00000,-856.00000,504.00000,504.00000,-1.29000,-1.29000
2020-12-31,9603.00000,3056.00000,6547.00000,3115.00000,123.00000,4277.00000,2270.00000,31.00000,2301.00000,396.00000,1905.00000,1905.00000,,1905.00000,3890.00000,2270.00000,504.00000,507.00000,3.78000,3.76000
2019-12-31,10076.00000,3372.00000,6704.00000,3111.00000,-402.00000,4761.00000,1943.00000,7.00000,1950.00000,257.00000,1693.00000,1693.00000,,1693.00000,3477.00000,1943.00000,504.00000,507.00000,3.35000,3.33000
2018-12-31,9696.00000,3225.00000,6471.00000,3069.00000,54.00000,4173.00000,2298.00000,-443.00000,1855.00000,417.00000,1438.00000,1438.00000,,1438.00000,3740.00000,2298.00000,504.00000,507.00000,2.85000,2.83000
2017-12-31,9094.00000,2778.00000,6316.00000,2901.00000,0.00000,4887.00000,1429.00000,-161.00000,1268.00000,-306.00000,1574.00000,1574.00000,,1574.00000,3717.00000,1429.00000,505.00000,507.00000,3.12000,3.10000
2016-12-31,8966.00000,2901.00000,6065.00000,2991.00000,,4467.00000,1598.00000,-300.00000,1298.00000,411.00000,887.00000,887.00000,,887.00000,3386.00000,1598.00000,505.00000,508.00000,1.76000,1.75000
2015-12-31,10415.00000,3261.00000,7154.00000,2978.00000,,4192.00000,2962.00000,-282.00000,2680.00000,1001.00000,1679.00000,1679.00000,,1679.00000,4493.00000,2962.00000,505.00000,508.00000,3.32000,3.30000
2014-12-31,10886.00000,3886.00000,7000.00000,3150.00000,,4377.00000,2623.00000,-167.00000,2456.00000,938.00000,1518.00000,1518.00000,,1518.00000,4119.00000,2623.00000,506.00000,508.00000,3.00000,2.99000
2013-12-31,9968.00000,3536.00000,6432.00000,2955.00000,,4133.00000,2299.00000,-244.00000,2055.00000,812.00000,1243.00000,1243.00000,,1243.00000,3669.00000,2299.00000,506.00000,508.00000,2.46000,2.45000
2012-12-31,9781.00000,3719.00000,6062.00000,2730.00000,,3784.00000,2278.00000,-267.00000,2011.00000,736.00000,1275.00000,1275.00000,,1275.00000,3505.00000,2278.00000,506.00000,507.00000,2.52000,2.51000
2011-12-31,11079.00000,4747.00000,6332.00000,2614.00000,,3590.00000,2742.00000,-358.00000,2384.00000,977.00000,1407.00000,1407.00000,96.00000,1503.00000,3877.00000,2742.00000,505.94900,506.98200,2.97000,2.96000
2010-12-31,11793.00000,5261.00000,6532.00000,2640.00000,,3595.00000,2937.00000,-321.00000,2616.00000,1059.00000,1557.00000,1557.00000,7.00000,1564.00000,4047.00000,2937.00000,505.98500,507.04500,3.09000,3.08000
2009-12-31,12035.00000,5433.00000,6602.00000,2667.00000,,3486.00000,3116.00000,-480.00000,2636.00000,1042.00000,1594.00000,1594.00000,-2.00000,1592.00000,4075.00000,3116.00000,505.98600,507.06400,3.15000,3.14000
