,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7902.00000,2617.00000,5285.00000,2730.00000,,3911.00000,1374.00000,-459.00000,915.00000,201.00000,714.00000,714.00000,42.00000,756.00000,2607.00000,1374.00000,736.02700,736.90200,1.03000,1.02000
2021-12-31,5783.00000,1462.00000,4321.00000,1815.00000,,2897.00000,1424.00000,-903.00000,521.00000,503.00000,18.00000,18.00000,-1498.00000,-1480.00000,2545.00000,1424.00000,762.90200,764.81900,-1.93000,-1.93000
2020-12-31,5474.00000,1266.00000,4208.00000,1600.00000,,2622.00000,1586.00000,-632.00000,954.00000,314.00000,640.00000,640.00000,829.00000,1469.00000,2666.00000,1586.00000,768.59000,769.38400,1.91000,1.91000
2019-12-31,5602.00000,1432.00000,4170.00000,1695.00000,,2644.00000,1526.00000,-607.00000,919.00000,183.00000,736.00000,736.00000,1010.00000,1746.00000,2533.00000,1526.00000,728.51200,736.75400,2.39000,2.37000
2018-12-31,7785.00000,1544.00000,6241.00000,2295.00000,,3389.00000,2852.00000,-567.00000,2285.00000,458.00000,1827.00000,1827.00000,,1827.00000,4024.00000,2852.00000,704.43900,708.61900,2.59000,2.58000
2017-12-31,7447.00000,1444.00000,6003.00000,2094.00000,,3102.00000,2901.00000,-989.00000,1912.00000,784.00000,1128.00000,1128.00000,,1128.00000,4006.00000,2901.00000,685.24000,687.33400,1.64000,1.64000
2016-12-31,7517.00000,1497.00000,6020.00000,2158.00000,,3084.00000,2936.00000,-386.00000,2550.00000,648.00000,1902.00000,1902.00000,,1902.00000,3942.00000,2936.00000,677.59200,680.44600,2.80000,2.79000
2015-12-31,7669.00000,1718.00000,5951.00000,2237.00000,,3120.00000,2831.00000,-763.00000,2068.00000,465.00000,1603.00000,1603.00000,-921.00000,682.00000,3773.00000,2831.00000,669.81400,672.58600,1.01000,1.01000
2014-12-31,7852.00000,1889.00000,5963.00000,2173.00000,,3096.00000,2867.00000,-738.00000,2129.00000,692.00000,1437.00000,1437.00000,300.00000,1728.00000,3855.00000,2867.00000,653.50400,665.97300,2.64000,2.61000
2013-12-31,7263.00000,1751.00000,5512.00000,2108.00000,,2951.00000,2561.00000,-833.00000,1728.00000,360.00000,1368.00000,1368.00000,-238.00000,1124.00000,3470.00000,2561.00000,608.98300,663.07300,1.85000,1.76000
2012-12-31,12132.00000,4392.00000,7740.00000,3143.00000,-484.00000,4714.00000,3026.00000,-1017.00000,2009.00000,518.00000,1491.00000,1491.00000,40.00000,1512.00000,4312.00000,3026.00000,580.27600,581.62600,2.61000,2.60000
2011-12-31,12737.00000,5199.00000,7538.00000,2993.00000,-484.00000,4437.00000,3101.00000,-900.00000,2201.00000,691.00000,1510.00000,1510.00000,2.00000,1495.00000,4316.00000,3101.00000,550.39500,550.95200,2.71000,2.70000
2010-12-31,8521.00000,3722.00000,4799.00000,1994.00000,-383.00000,2933.00000,1866.00000,-627.00000,1239.00000,263.00000,976.00000,976.00000,-17.00000,934.00000,2646.00000,1866.00000,431.34500,431.56900,2.17000,2.17000
2009-12-31,7449.00000,3700.00000,3749.00000,1698.00000,-396.00000,2853.00000,896.00000,-358.00000,538.00000,105.00000,433.00000,433.00000,-7.00000,407.00000,1756.00000,896.00000,376.08200,376.40600,1.08000,1.08000
