,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5371.80000,1619.00000,3752.80000,2228.30000,2228.30000,1524.50000,-242.50000,1282.00000,296.40000,985.60000,985.60000,3559.10000,4544.70000,2186.40000,1524.50000,105.90000,106.80000,42.92000,42.55000
2021-12-31,4833.80000,1426.20000,3407.60000,2072.00000,2166.40000,1241.20000,-209.30000,1031.90000,226.60000,805.30000,805.30000,347.30000,1152.60000,1965.00000,1241.20000,105.30000,106.50000,10.95000,10.82000
2020-12-31,4022.40000,1194.10000,2828.30000,1745.40000,1745.40000,1082.90000,-221.60000,861.30000,187.50000,673.80000,673.80000,275.90000,949.70000,1585.40000,1082.90000,104.60000,105.70000,9.08000,8.98000
2019-12-31,4727.70000,1587.60000,3140.10000,1811.80000,1811.80000,1328.30000,729.10000,2057.40000,417.40000,1640.00000,1640.00000,127.90000,1767.90000,1744.40000,1328.30000,103.90000,105.10000,17.02000,16.82000
2018-12-31,5191.20000,1911.70000,3279.50000,1883.10000,1883.10000,1396.40000,-198.00000,1198.40000,254.00000,944.40000,944.40000,,944.40000,1769.70000,1396.40000,103.20000,104.40000,9.15000,9.05000
2017-12-31,4607.50000,1742.70000,2864.80000,1654.60000,1654.60000,1210.20000,-175.50000,1034.70000,62.90000,971.79990,971.79990,,971.80000,1562.40000,1210.20000,102.20000,103.50000,9.51000,9.39000
2016-12-31,3789.90000,1457.50000,2332.40000,1277.80000,1277.80000,1054.60000,-114.00000,940.60000,282.00000,658.60000,658.60000,,658.60000,1300.70000,1054.60000,101.30000,102.50000,6.50000,6.43000
2015-12-31,3582.39500,1417.74900,2164.64600,1136.72800,1136.72800,1027.91800,-25.57300,1002.34500,306.27800,696.06700,696.06700,,696.06700,1236.31500,1027.91800,100.61600,101.59700,6.92000,6.85000
2014-12-31,3549.49400,1447.59500,2101.89900,1102.42600,1102.42600,999.47290,-78.01700,921.45600,275.42300,646.03300,646.03300,,646.03300,1200.76000,999.47290,99.91600,100.88400,6.47000,6.40000
2013-12-31,3238.12800,1355.20000,1882.92800,1040.56700,1040.56700,842.36080,-88.23100,754.13000,215.83700,538.29300,538.29300,,538.29300,1035.46900,842.36080,99.12300,100.20900,5.43000,5.37000
2012-12-31,2993.48900,1321.77200,1671.71700,914.13000,914.13000,757.58720,-70.90600,686.68100,203.32100,483.36000,483.36000,,483.36000,914.73410,757.58720,97.70200,99.55800,4.95000,4.86000
2011-12-31,2797.08900,1281.52500,1515.56400,855.02500,855.02500,660.53910,-55.55200,604.98700,177.74000,427.24700,427.24700,,427.24700,803.04410,660.53910,95.95900,98.38600,4.45000,4.34000
2010-12-31,2386.11200,1110.98600,1275.12600,760.83200,760.83200,514.29420,-65.90000,448.39400,125.81400,322.58000,322.58000,,322.58000,639.67720,514.29420,94.24200,96.65300,3.42000,3.34000
2009-12-31,2049.66800,1006.53000,1043.13800,647.74200,647.74200,395.39600,-55.62800,339.76800,100.28700,239.48100,239.48100,,239.48100,501.41700,395.39600,90.68500,92.82000,2.64000,2.58000
