,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,14439.00000,4482.00000,9957.00000,5381.00000,-259.00000,7659.00000,2298.00000,-955.00000,1343.00000,556.00000,787.00000,2285.00000,0.00000,2094.00000,4317.00000,2298.00000,315.15900,316.37800,6.65000,6.62000
2021-12-31,12857.00000,3218.00000,9639.00000,4937.00000,-1593.00000,8385.00000,1254.00000,-1035.00000,219.00000,99.00000,120.00000,1463.00000,0.00000,1254.00000,3109.00000,1254.00000,311.75500,313.03600,4.03000,4.01000
2020-12-31,11370.00000,2388.00000,8982.00000,4484.00000,-307.00000,6457.00000,2525.00000,-1036.00000,1489.00000,249.00000,1240.00000,2255.00000,1850.00000,3764.00000,4191.00000,2525.00000,291.07700,292.25200,12.93000,12.88000
2019-12-31,10829.00000,2671.00000,8158.00000,3962.00000,0.00000,5531.00000,2627.00000,-893.00000,1734.00000,315.00000,1419.00000,1999.00000,363.00000,2055.00000,4196.00000,2627.00000,277.90400,282.03300,7.40000,7.29000
2018-12-31,10102.00000,2923.00000,7179.00000,3622.00000,,5113.00000,2066.00000,-1352.00000,714.00000,-49.00000,763.00000,938.00000,188.00000,924.00000,3557.00000,2066.00000,268.07200,269.85200,3.45000,3.42000
2017-12-31,9640.00000,2774.00000,6866.00000,3383.00000,,4819.00000,2047.00000,-799.00000,1248.00000,938.00000,310.00000,382.00000,-31.00000,256.00000,3483.00000,2047.00000,251.54500,252.30000,1.02000,1.01000
2016-12-31,10183.00000,3532.00000,6651.00000,3724.00000,134.00000,4902.00000,1749.00000,75.00000,1824.00000,389.00000,1435.00000,1519.00000,,1370.00000,3061.00000,1749.00000,250.21700,251.15500,5.48000,5.46000
2015-12-31,10231.00000,3605.00000,6626.00000,3457.00000,26.00000,4681.00000,1945.00000,-241.00000,1704.00000,341.00000,1363.00000,1448.00000,,1349.00000,3195.00000,1945.00000,248.24900,250.92300,5.43000,5.37000
2014-12-31,11035.00000,4591.00000,6444.00000,3506.00000,56.00000,4606.00000,1838.00000,-314.00000,1524.00000,300.00000,1224.00000,1262.00000,,1161.00000,2994.00000,1838.00000,245.89100,250.65500,4.72000,4.63000
2013-12-31,10557.00000,4013.00000,6544.00000,3547.00000,-86.00000,4746.00000,1798.00000,-368.00000,1430.00000,366.00000,1064.00000,1088.00000,,1001.00000,2911.00000,1798.00000,243.86300,249.33200,4.10000,4.01000
2012-12-31,9647.00000,3531.00000,6116.00000,3474.00000,7.00000,4557.00000,1559.00000,-616.00000,943.00000,59.00000,884.00000,920.00000,,859.00000,2649.00000,1559.00000,241.34700,246.69300,3.56000,3.48000
2011-12-31,10036.00000,4009.00000,6027.00000,3305.00000,,4281.00000,1746.00000,-23.00000,1723.00000,394.00000,1329.00000,1381.00000,,1331.00000,2722.00000,1746.00000,239.72000,241.52300,5.55000,5.51000
2010-12-31,9003.00000,3695.00000,5308.00000,3083.00000,,3949.00000,1359.00000,-572.00000,787.00000,133.00000,654.00000,703.00000,,709.00000,2225.00000,1359.00000,244.73600,247.94200,2.90000,2.86000
2009-12-31,8106.00000,3181.00000,4925.00000,2844.00000,,3619.00000,1306.00000,170.00000,1476.00000,422.00000,1054.00000,1122.00000,,1119.00000,2081.00000,1306.00000,243.33900,247.38400,4.60000,4.52000
