,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,36884.00000,22854.00000,14030.00000,10325.00000,10325.00000,3705.00000,-351.00000,3354.00000,512.00000,2842.00000,2842.00000,2822.00000,10046.00000,3705.00000,237.00000,239.70000,11.91000,11.77000
2021-12-31,34816.00000,20298.00000,14518.00000,9720.00000,9720.00000,4798.00000,-340.00000,4458.00000,796.00000,3662.00000,3662.00000,3635.00000,10711.00000,4798.00000,248.50000,250.80000,14.63000,14.49000
2020-12-31,31981.00000,19123.00000,12858.00000,9282.00000,9282.00000,3576.00000,-339.00000,3237.00000,540.00000,2697.00000,2697.00000,2678.00000,9138.00000,3576.00000,253.50000,254.60000,10.56000,10.52000
2019-12-31,31581.00000,19133.00000,12448.00000,8966.00000,8966.00000,3482.00000,-344.00000,3138.00000,516.00000,2622.00000,2622.00000,2603.00000,8846.00000,3482.00000,260.00000,262.30000,10.01000,9.92000
2018-12-31,30282.00000,18291.00000,11991.00000,8678.00000,8678.00000,3313.00000,-352.00000,2961.00000,438.00000,2523.00000,2523.00000,2504.00000,8497.00000,3313.00000,267.40000,269.80000,9.37000,9.28000
2017-12-31,28902.00000,17467.00000,11435.00000,8336.00000,8336.00000,3099.00000,-369.00000,2730.00000,674.00000,2056.00000,2056.00000,2041.00000,8078.00000,3099.00000,276.00000,278.60000,7.39000,7.33000
2016-12-31,27625.00000,15070.00000,12555.00000,8139.00000,8139.00000,4416.00000,-363.00000,4053.00000,1039.00000,3014.00000,3014.00000,2992.00000,9227.00000,4416.00000,288.10000,291.00000,10.39000,10.28000
2015-12-31,26815.00000,13723.00000,13092.00000,7979.00000,7979.00000,5113.00000,-373.00000,4740.00000,1301.00000,3439.00000,3439.00000,3414.00000,9816.00000,5113.00000,310.60000,313.90000,10.99000,10.88000
2014-12-31,27174.00000,13870.00000,13304.00000,7846.00000,7846.00000,5458.00000,-369.00000,5089.00000,1397.00000,3692.00000,3692.00000,3665.00000,10204.00000,5458.00000,338.80000,342.50000,10.82000,10.70000
2013-12-31,26191.00000,13307.00000,12884.00000,7578.00000,7578.00000,5306.00000,-361.00000,4945.00000,1272.00000,3673.00000,3673.00000,3646.00000,9994.00000,5306.00000,370.30000,374.30000,9.84000,9.74000
2012-12-31,25740.00000,14676.00000,11064.00000,7520.00000,7520.00000,3544.00000,-378.00000,3166.00000,693.00000,2473.00000,2473.00000,2454.00000,8281.00000,3544.00000,386.20000,389.80000,6.35000,6.30000
2011-12-31,25446.00000,16276.00000,9170.00000,7432.00000,7432.00000,1738.00000,-386.00000,1352.00000,-74.00000,1426.00000,1426.00000,1414.00000,6416.00000,1738.00000,415.80000,420.50000,3.40000,3.36000
2010-12-31,25112.00000,13210.00000,11902.00000,7208.00000,7208.00000,4694.00000,-388.00000,4306.00000,1090.00000,3216.00000,3216.00000,3188.00000,9308.00000,4694.00000,476.50000,482.50000,6.69000,6.62000
2009-12-31,24680.00000,12408.00000,12272.00000,7179.00000,7179.00000,5093.00000,-382.00000,4711.00000,1089.00000,3622.00000,3622.00000,3622.00000,9703.00000,5093.00000,563.20000,568.60000,6.38000,6.33000
