,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,9597.40000,4358.90000,5238.50000,2191.70000,,3314.30000,1924.20000,-191.60000,1732.60000,322.90000,1409.70000,1409.70000,,1408.10000,3046.80000,1924.20000,315.40000,316.10000,4.46000,4.45000
2021-12-31,8316.00000,3311.00000,5005.00000,2215.80000,,3290.10000,1714.90000,-216.10000,1498.80000,200.30000,1298.50000,1298.50000,,1300.30000,2789.20000,1714.90000,315.40000,316.30000,4.12000,4.11000
2020-12-31,7241.70000,2319.50000,4922.20000,2240.20000,,3216.10000,1706.10000,-276.80000,1429.30000,227.90000,1201.40000,1201.40000,,1199.90000,2682.00000,1706.10000,315.40000,316.50000,3.80000,3.79000
2019-12-31,7523.10000,2678.80000,4844.30000,2386.60000,,3312.90000,1531.40000,-271.70000,1259.70000,125.00000,1134.70000,1134.70000,,1134.00000,2457.70000,1531.40000,315.40000,316.70000,3.60000,3.58000
2018-12-31,7679.50000,2897.90000,4781.60000,2467.40000,,3313.20000,1468.40000,-238.10000,1230.30000,169.80000,1060.50000,1060.50000,,1059.30000,2314.20000,1468.40000,315.50000,316.90000,3.36000,3.34000
2017-12-31,7648.50000,2822.80000,4825.70000,2251.00000,,3049.60000,1776.10000,-187.70000,1588.40000,383.50000,1204.90000,1204.90000,,1203.70000,2574.70000,1776.10000,315.60000,317.20000,3.81000,3.79000
2016-12-31,7472.30000,2647.40000,4824.90000,2366.00000,,3128.60000,1696.29900,-189.60000,1506.70000,566.50000,940.20000,940.20000,,939.00000,2458.89900,1696.29900,315.60000,316.90000,2.98000,2.96000
2015-12-31,5926.10000,2240.10000,3686.00000,1873.70000,,2435.50000,1250.50000,-176.40000,1074.10000,433.80000,640.30000,640.30000,,638.50000,1834.00000,1250.50000,271.10000,272.70000,2.36000,2.34000
2014-12-31,4997.10000,2259.40000,2737.70000,1234.20000,,1625.60000,1112.10000,-160.90000,951.20000,361.70000,589.50000,589.50000,,588.30000,1529.10000,1112.10000,225.60000,227.50000,2.61000,2.59000
2013-12-31,4519.00000,1827.10000,2691.90000,1271.70000,,1611.80000,1080.10000,-163.60000,916.50000,337.90000,578.60000,578.60000,,577.40000,1476.10000,1080.10000,227.60000,229.70000,2.54000,2.51000
2012-12-31,4246.40000,1644.40000,2602.00000,1237.50000,0.00000,1601.70000,1000.30000,-147.70000,852.60000,306.30000,546.30000,546.30000,,546.30000,1372.00000,1000.30000,230.20000,232.80000,2.37000,2.35000
2011-12-31,4486.40000,1898.40000,2588.00000,1370.50000,,1700.70000,887.30000,-110.60000,776.70000,263.90000,512.80000,512.80000,13.40000,526.20000,1223.70000,887.30000,232.60000,235.40000,2.26000,2.24000
2010-12-31,4202.50000,1851.40000,2351.10000,1433.50000,198.40000,1540.70000,810.39990,-106.10000,704.30000,249.90000,454.40000,454.40000,2.10000,456.50000,929.39990,810.39990,233.80000,236.70000,1.95000,1.93000
2009-12-31,4100.90000,1971.70000,2129.20000,1356.60000,230.70000,1468.90000,660.30000,-69.10000,591.20000,215.50000,375.70000,375.70000,6.70000,382.40000,776.50010,660.30000,233.80000,235.90000,1.64000,1.62000
